country,name,percentage
SRB,Венгерский,3.8
Я,Лури,2.0
НИЧ,"¿Qué te parece si empiezo con una cita famosa del autor español Miguel de Cervantes Saavedra? Dijo: ""El mundo es un escenario y todos los hombres y mujeres son meros actores"". Esta frase captura la esencia de lo que podemos lograr juntos. ¡Ahora, adelante, cuéntame sobre tu solicitud de traducción!",100.0
Стоп,Португальский,100.0
Х,Венгерский,98.2
CO,"¿Qué te parece si empiezo con una cita famosa del autor español Miguel de Cervantes Saavedra? Dijo: ""El mundo es un escenario y todos los hombres y mujeres son meros actores"". Esta frase captura la esencia de lo que podemos lograr juntos. ¡Ahora, adelante, cuéntame sobre tu solicitud de traducción!",100.0
ПК,Хинди,2.0
СЛБ,"Translate:

""Вы любите кофе?""",1.0
Да,Arabic,100.0
Макс,Португальский,4.0
Афг,Паштунский,35.0
SF,Финляндский,93.5
WAFU,"Извините, я не понимаю ваш запрос. Пожалуйста, повторите ваш запрос на английском языке, и я с радостью переведу его для вас.",10.8
МНСТ,"Translate:

""Вы любите кофе?""",100.0
"Нет, спасибо.",Коре́йский,100.0
ММ,Бамбара,80.0
МК,Turkish,3.0
АГ,"Translate:

""Вы любите кофе?""",100.0
Хонекс,Китайский,95.6
НМИС,Китайские языки,23.4
ФПОЛ,Полинезийский,31.4
Я,Arabic,1.0
ТМ,"Хорошо, я готова переводить только текст без каких-либо дополнительных комментариев или пояснений. Пожалуйста, предоставьте текст для перевода.",12.0
Узб,"Хорошо, я готова переводить только текст без каких-либо дополнительных комментариев или пояснений. Пожалуйста, предоставьте текст для перевода.",14.2
БиХ,Сербский/Хорватский,99.0
ПЛ,Польский,100.0
Казахстан,Казахстан,40.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Японский,100.0
БВИР,"Translate:

""Вы любите кофе?""",100.0
ПК,Брахуйи,1.0
РАМ,армянский,96.0
"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Нидерландский,56.0
Ч,Италиански,12.0
Н/Д,Креоль,1.6
"""Э""",Каталанский,17.0
Узб,Узбек,74.3
ТМ,Турецкий,72.0
Тука,"Translate:

""Вы любите кофе?""",100.0
МЯ,Бирманский,100.0
Н/Д,Папаменто,65.4
Хонекс,"Translate:

""Вы любите кофе?""",3.2
"I'm sorry, but I don't see any text to translate in your message. Please provide the text you would like me to translate from English to Russian, and I will be happy to assist you.","Извините, я не понимаю ваш запрос. Пожалуйста, повторите ваш запрос на английском языке, и я с радостью переведу его для вас.",100.0
Я,Персидский,58.0
ГВАМ,Чаморро,22.2
ПЖП,"Translate:

""Вы любите кофе?""",14.0
МНГ,Халх Монголь,90.0
"""Э""",басский,2.0
"Добро пожаловать в Coral! Я всегда готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.","Я могу помочь вам с переводом на немецкий язык. Пожалуйста, предоставьте текст, который нужно перевести.",1.0
ПК,Синдхи,12.0
ПК,Балоучи,3.0
МНЕ,Боснийский,5.5
Translation: Добро,Болгарский,100.0
ПК,Панджаби,48.0
Ч,"Я могу помочь вам с переводом на немецкий язык. Пожалуйста, предоставьте текст, который нужно перевести.",65.0
Афг,афганское персидское,50.0
МНЕ,Мон테네гро,22.0
РЭ,"Извините, я не понимаю ваш запрос. Пожалуйста, повторите ваш запрос на английском языке, и я с радостью переведу его для вас.",10.0
SRB,Сербский,88.3
