territoryid,territorydescription,regionid
3049,Холлис,3
80909,Колорадо Спрингс,2
10019,Нью-Йорк,1
55439,Миннеаполис,3
1730,Бедфорд,1
55113,Роузвилль,3
30346,Атланта,4
14450,Фейрпорт,1
94025,Парк Менло,2
80202,Денвер,2
48084,Трой,3
19713,Ньюард,1
60179,Hoffman Estatements,2
78759,Остин,4
29202,Колумбия,4
85251,Скоттсдейл,2
27403,Гринсборо,1
10038,Нью-Йорк,1
7960,Морристаун,1
98052,Редмонд,2
95008,Кэмпбелл,2
1581,Вестборо,1
1833,Жоржтоу,1
6897,Уилтон,1
8837,Эдисон,1
33607,Тампа,4
32859,Орландо,4
53404,Расин,3
90405,Санта-Моника,2
72716,Бентонвилль,4
2116,Бостон,1
60601,Чикаго,2
19428,Филадельфия,3
20852,Роквилль,1
2903,Провидение,1
95060,Санта-Круз,2
48304,Блумфилдские холмы,3
40222,Луисвилль,1
85014,Феникс,2
44122,Бичвуд,3
98104,Сиэтл,2
3801,Портсмут,3
98004,Бельвью,2
2184,Мозги,1
45839,Финдлей,3
94105,Сан-Франциско,2
2139,Кембридж,1
31406,Саванна,4
95054,Санта-Клара,2
11747,Мельвиль,1
75234,Даллас,4
48075,Саутфилд,3
27511,Кэри,1
