year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
2010,CF,M,BOS,NHL,TBL,NHL,4,3,0,21,21,
1990,DSF,E,MNS,NHL,CHI,NHL,4,2,0,23,16,
2009,CQF,E,SJS,NHL,COL,NHL,4,2,0,19,11,
1979,Pre,B,BUF,NHL,VAN,NHL,3,1,0,15,7,
1996,CQF,A,NJD,NHL,MTL,NHL,4,1,0,22,11,
1976,Pre,D,TOR,NHL,PIT,NHL,2,1,0,13,10,
1935,SF,D,TOR,NHL,NYA,NHL,2,1,0,6,3,
1968,SF,F,STL,NHL,LAK,NHL,4,0,0,16,5,
1969,QF,C,STL,NHL,MNS,NHL,4,2,0,20,16,
1920,F,,VML,PCHA,SEA,PCHA,2,0,0,13,2,TG
1996,CQF,H,ANA,NHL,PHO,NHL,4,3,0,17,17,
1996,CQF,G,DET,NHL,STL,NHL,4,2,0,13,12,
1984,DSF,C,PHI,NHL,NYR,NHL,3,0,0,14,10,
1955,SF,B,DET,NHL,TOR,NHL,4,1,0,14,10,
2010,CSF,I,TBL,NHL,WAS,NHL,4,0,0,16,10,
1923,F,,MTL,NHL,OTS,NHL,2,0,0,5,2,TG
1996,CSF,I,NYR,NHL,NJD,NHL,4,1,0,10,5,
1914,F,,OT1,NHA,MOW,NHA,1,1,0,4,1,TG
1996,SCF,O,DET,NHL,PHI,NHL,4,0,0,16,6,
1931,SF,A,NYR,NHL,MTL,NHL,3,1,0,13,9,
1982,DF,K,CHI,NHL,MNS,NHL,4,1,0,22,16,
1931,QF,C,MTM,NHL,DTF,NHL,1,0,1,3,1,TG
1977,QF,,NEW,WHA,EDO,WHA,4,1,0,23,9,
1998,CSF,L,COL,NHL,DET,NHL,4,2,0,21,14,
1982,DSF,C,NYR,NHL,PHI,NHL,3,0,0,18,9,
1925,SF,,VIC,WCHL,SAS,WCHL,1,0,1,4,3,TG
2007,CQF,F,SJS,NHL,CAL,NHL,4,3,0,19,17,
1992,DSF,F,TOR,NHL,DET,NHL,4,3,0,24,30,
1994,CQF,G,VAN,NHL,STL,NHL,4,3,0,27,27,
1934,SF,D,MTM,NHL,NYR,NHL,1,0,1,5,4,TG
1936,QF,B,MTM,NHL,BOS,NHL,2,1,0,8,6,
1939,QF,B,TOR,NHL,CHI,NHL,2,0,0,5,3,
1976,SF,I,MTL,NHL,NYI,NHL,4,2,0,19,13,
2006,SCF,O,AND,NHL,OTT,NHL,4,1,0,16,11,
1981,DF,I,QUE,NHL,BOS,NHL,4,3,0,28,26,
1938,QF,B,TOR,NHL,NYA,NHL,2,0,0,6,0,
2000,CQF,H,STL,NHL,SJS,NHL,4,2,0,16,11,
