year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1921,WCHL,REG,6,3,1,2,7,8,,,,,,,,
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1983,NHL,NYR,5,2,3,0,14,13,87,0,4,23,0,0,21,1
1961,NHL,MTL,6,2,4,0,13,19,83,,,,,,,
2010,NHL,LAK,6,2,4,0,20,20,85,0,5,24,0,2,23,0
1978,WHA,NEW,10,5,5,0,39,45,,,,,,,,
1972,NHL,CHI,16,10,6,0,60,53,155,,14,,1,9,,3
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
1966,NHL,NYR,4,0,4,0,8,14,58,,,,,,,
2011,NHL,NYR,20,10,10,0,43,41,218,2,13,73,0,11,69,0
1990,NHL,CHI,6,2,4,0,16,23,278,4,6,31,0,15,54,0
1981,NHL,EDM,5,2,3,0,23,27,178,2,3,18,0,9,26,3
1988,NHL,WAS,6,2,4,0,19,25,155,0,9,43,,9,34,1
1972,NHL,BUF,6,2,4,0,16,21,59,,4,,0,4,,0
1919,PCHA,SEA,2,1,1,0,7,3,,,,,,,,
1989,NHL,WAS,15,8,7,0,49,48,480,0,13,71,3,13,79,3
1998,NHL,NJD,7,3,4,0,18,21,86,2,5,27,0,4,26,1
2009,NHL,PHO,7,3,4,0,18,26,81,0,6,33,0,8,34,1
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
1977,NHL,BUF,8,3,5,0,22,22,188,0,4,29,0,7,22,0
1954,NHL,BOS,5,1,4,0,9,16,55,,,,,,,
1986,NHL,DET,16,9,7,0,45,40,426,0,9,56,1,9,58,1
1930,NHL,MTM,2,0,2,0,1,8,28,,,,,,,
2005,NHL,SJS,11,6,5,0,29,29,144,2,11,72,2,12,62,0
2003,NHL,SJS,17,10,7,0,38,32,216,0,11,81,3,6,72,1
1916,NHA,OT1,2,1,1,0,6,7,,,,,,,,
1918,NHL,OTS,5,1,4,0,18,26,69,,,,,,,
2007,NHL,OTT,4,0,4,0,5,16,85,0,1,13,0,6,23,0
1981,NHL,PIT,5,2,3,0,13,22,112,2,3,25,0,4,21,0
1953,NHL,DET,12,8,4,0,29,20,120,,,,,,,
2006,NHL,DET,18,10,8,0,48,35,244,10,19,103,2,12,91,4
1987,NHL,MTL,11,5,6,0,33,35,219,4,6,52,,5,50,1
2010,NHL,DET,11,7,4,0,36,28,125,0,8,43,0,11,46,0
1920,PCHA,SEA,2,0,2,0,2,13,,,,,,,,
1965,NHL,MTL,10,8,2,0,33,20,187,,,,,,,
2000,NHL,COL,23,16,7,0,69,41,256,6,23,116,2,13,92,0
1999,NHL,PHO,5,1,4,0,10,17,75,0,3,19,0,7,27,0
1957,NHL,BOS,12,6,6,0,42,32,147,,,,,,,
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
1961,NHL,CHI,12,6,6,0,34,31,191,,,,,,,
1927,NHL,PIP,2,1,1,0,4,6,12,,,,,,,
1928,NHL,BOS,5,5,0,0,9,3,76,,,,,,,
1975,NHL,LAK,9,5,4,0,17,27,151,2,5,41,2,11,43,0
1920,PCHA,VML,2,2,0,0,13,2,,,,,,,,
1982,NHL,WIN,3,0,3,0,9,14,74,0,6,17,3,2,11,0
1940,NHL,CHI,5,2,3,0,10,12,62,,,,,,,
1922,WCHL,REG,2,0,1,1,3,4,,,,,,,,
1988,NHL,VAN,7,3,4,0,20,26,160,2,7,44,,10,36,1
2010,NHL,BOS,25,16,9,0,81,53,396,4,10,88,1,15,96,4
2009,NHL,COL,6,2,4,0,11,19,67,4,2,15,0,5,26,0
2003,NHL,NAS,6,2,4,0,9,12,76,0,1,29,1,2,29,1
1970,NHL,MTL,20,12,8,0,75,63,379,,16,,2,17,,1
1951,NHL,DET,8,8,0,0,24,5,118,,,,,,,
1994,NHL,NJD,20,16,4,0,67,34,227,2,18,72,2,10,74,1
1982,NHL,VAN,4,1,3,0,14,17,136,0,2,20,0,4,18,0
1927,NHL,OTS,2,0,2,0,1,3,24,,,,,,,
2010,NHL,WAS,9,4,5,0,23,24,84,4,5,35,0,5,38,0
1971,NHL,MTL,6,2,4,0,14,19,76,,1,,0,3,,0
1998,NHL,DAL,23,16,7,0,64,44,279,2,13,107,0,9,95,3
1993,NHL,DET,7,3,4,0,27,21,98,2,5,35,1,6,36,2
