playerid,year,ppa,sha
dineego01,1987,2,
kennede01,1988,,2
wilsoca01,1988,19,
zezelpe01,1988,17,
tantito01,1989,9,
gartnmi01,1988,9,
tuckejo01,1989,6,
simpscr01,1987,10,1
maroima01,1988,3,
broteaa01,1990,1,
duguaro01,1987,2,
mckegto01,1989,3,
mcbeawa01,1988,1,
ysebapa01,1990,4,1
franclo01,1990,1,1
courtru01,1988,2,
hunteda01,1988,,1
lawlepa01,1987,3,
goulemi01,1989,15,1
konrost01,1988,1,1
cyrpa01,1987,1,
josepch01,1987,6,
butchga01,1990,3,2
tantito01,1990,5,
gartnmi01,1989,14,1
robergo01,1987,3,
carpebo01,1988,4,
allismi01,1987,5,
macivno01,1988,19,
joycebo01,1989,3,
cunnera01,1989,4,
coxecr01,1987,1,
proppbr01,1989,9,
tuckejo01,1990,1,
wilsoca01,1990,4,
hrdinji01,1990,4,
poulida02,1989,1,1
lawtobr01,1988,4,
archida01,1989,4,
bullami01,1988,13,
loisecl01,1990,1,1
dahlqch01,1990,,1
murphla01,1988,22,
wilsoca01,1987,9,3
ferrara01,1990,5,
huntema01,1990,4,
bennibr01,1989,5,
cullejo01,1990,29,
libaig01,1988,6,
smaildo01,1990,1,1
playfla01,1988,,1
norwole01,1990,3,
ruffli01,1988,1,
nylunga01,1988,1,
sandsto01,1989,20,
kurveto01,1990,15,
broteaa01,1989,3,
quinnda01,1990,18,
ledyagr01,1988,6,
ciccadi01,1988,10,1
frycemi01,1988,3,
stastpe01,1989,23,
brownje02,1989,24,
quinnda01,1989,15,1
mcdonhu01,1989,1,
krushmi01,1990,3,
crossdo01,1990,21,
klimape01,1989,11,
carsoji01,1989,5,
adamsgr01,1988,1,
huberwi01,1987,14,
hunteda01,1987,1,4
murphla01,1990,19,
larsore01,1988,14,
hardyma01,1987,10,1
kaspest01,1988,6,2
bradlbr01,1990,10,
laughcr01,1987,3,
petitmi01,1990,16,
hardyma01,1988,5,
jonssto01,1988,24,
sheehne01,1987,1,
erickbr01,1987,6,
brookbo01,1989,1,2
kontoch01,1987,6,
mckegto01,1990,7,
foligmi01,1990,1,
carsoli01,1987,1,1
bassebo01,1988,,1
momesse01,1990,1,
fentopa01,1990,2,
creigad01,1988,7,
malondo01,1988,2,
grahadi01,1987,7,1
donnemi01,1987,2,
pederba01,1989,7,1
