playerid,year,stint,tmid,s,g,gdg
cammami01,2011,1,MTL,0,3,0
brunnfa01,2008,1,DAL,4,1,0
mcdonan01,2007,2,STL,3,1,1
cullema01,2008,1,CAR,5,0,0
gagnesi01,2005,1,PHI,6,2,1
stollja01,2006,1,EDM,1,0,0
seminal01,2006,1,WAS,10,2,1
datsypa01,2007,1,DET,10,4,1
parisza01,2007,1,NJD,11,4,3
upshasc01,2006,2,PHI,1,0,0
bergepa01,2006,1,BOS,11,6,1
kolniju01,2006,1,FLO,1,0,0
smythry01,2008,1,COL,4,1,1
bonkra01,2008,1,NAS,2,0,0
sjostfr01,2008,1,NYR,9,3,2
leinovi01,2011,1,BUF,0,1,0
bourqre01,2006,1,CHI,1,0,0
jagrja01,2006,1,NYR,9,3,1
mitchto01,2007,1,SJS,2,0,0
larosch01,2011,1,CAR,0,2,0
anisiar01,2010,1,NYR,5,1,1
oreilca01,2011,1,NAS,0,1,0
staffdr01,2007,1,BUF,4,1,1
legwada01,2010,1,NAS,3,0,0
morrobr01,2009,1,DAL,2,0,0
richami02,2006,1,PHI,3,0,0
browndu01,2007,1,LAK,8,4,1
zubruda01,2005,1,WAS,2,1,0
hagmani01,2010,1,CAL,8,1,0
berglpa01,2011,1,STL,0,4,0
ferribe01,2009,1,SJS,1,0,0
raymoma01,2008,1,VAN,1,0,0
eliaspa01,2006,1,NJD,11,2,1
alfreda01,2005,1,OTT,8,2,1
hortona01,2007,1,FLO,10,3,1
okposky01,2008,1,NYI,4,0,0
satanmi01,2009,1,BOS,4,2,1
boothda01,2008,1,FLO,2,0,0
lecavvi01,2008,1,TBL,11,3,0
whitnra01,2007,1,CAR,1,0,0
molleos01,2008,1,LAK,1,0,0
gonchse01,2006,1,PIT,2,0,0
whiteto02,2008,1,ATL,2,1,1
gagnesi01,2006,1,PHI,6,1,0
purcete01,2009,2,TBL,2,1,1
malkiev01,2011,1,PIT,8,11,3
afinoma01,2005,1,BUF,5,3,2
browndu01,2010,1,LAK,7,2,1
kennety01,2010,1,PIT,3,0,0
moulsma01,2011,1,NYI,2,4,1
marlepa01,2009,1,SJS,7,2,1
kronwni01,2009,1,DET,2,1,1
kunitch01,2008,2,PIT,1,0,0
dadonev01,2010,1,FLO,1,0,0
oreilry01,2011,1,COL,2,5,2
carteje01,2006,1,PHI,2,0,0
bettsbl01,2006,1,NYR,1,0,0
royde01,2007,1,BUF,5,1,1
whitnra01,2005,1,CAR,5,4,0
stevegr01,2005,1,SJS,1,0,0
hejdaja01,2011,1,COL,6,11,3
pitkajo01,2006,1,PHI,1,0,0
malkiev01,2011,1,PIT,8,11,3
ekmanol01,2011,1,PHO,1,4,1
kovalil01,2005,1,ATL,10,1,0
robitra01,2007,1,OTT,1,0,0
ovechal01,2009,1,WAS,9,2,1
ovechal01,2008,1,WAS,7,2,0
stlouma01,2009,1,TBL,3,0,0
richabr01,2007,1,TBL,3,2,1
hagmani01,2009,1,TOR,1,1,0
mccleja01,2005,1,STL,4,2,0
eratma01,2007,1,NAS,5,2,2
doansh01,2009,1,PHO,9,2,0
froloal01,2005,1,LAK,4,3,1
mitchjo02,2011,1,NYR,0,4,0
bernist01,2010,1,FLO,1,1,1
ovechal01,2010,1,WAS,10,4,3
brunean01,2007,1,COL,1,0,0
mairad01,2009,1,BUF,1,0,0
pacioma01,2010,1,MTL,2,1,0
larosch01,2011,1,CAR,0,2,0
johnsmi01,2005,1,PHO,1,0,0
sedinda01,2006,1,VAN,6,1,1
pyorami01,2009,1,PHI,1,1,1
holmqmi01,2006,1,CHI,3,0,0
filatni01,2010,1,CBS,2,1,0
paveljo01,2009,1,SJS,9,3,2
reinpst01,2006,1,PHO,2,0,0
zettehe01,2009,1,DET,11,2,0
miettan01,2009,1,MIN,7,2,0
jokinol01,2008,2,CAL,1,1,1
lombama01,2005,1,CAL,3,1,0
zherdni01,2008,1,NYR,14,5,3
hedstjo01,2005,1,ANA,2,1,0
byfugdu01,2010,1,ATL,2,0,0
stumpjo01,2006,1,FLO,4,2,1
jonesbl01,2011,2,CAL,1,2,0
bellbr02,2008,1,OTT,1,0,0
wilsoky01,2010,1,CBS,5,2,2
zettehe01,2005,1,DET,4,2,0
prospva01,2008,1,TBL,5,0,0
bergfni01,2010,1,ATL,2,0,0
crosbsi01,2008,1,PIT,10,3,2
drurych01,2010,1,NYR,1,0,0
nealja01,2010,1,DAL,2,0,0
boyleda01,2008,1,SJS,7,2,0
richami02,2008,1,PHI,10,4,2
torrera01,2005,1,EDM,5,1,1
forsbpe01,2006,1,PHI,5,1,1
bergese01,2007,1,NYI,1,0,0
mielean01,2011,1,PHO,0,1,0
potito01,2006,1,NYI,2,0,0
willija01,2009,1,DET,9,3,0
pisanfe01,2006,1,EDM,3,1,0
staplti01,2008,1,TOR,1,1,1
kopitan01,2008,1,LAK,7,2,0
brierda01,2011,1,PHI,2,7,0
royde01,2010,1,BUF,2,1,1
parenpi01,2010,1,NYI,8,2,1
parisza01,2009,1,NJD,11,5,1
carteje01,2006,1,PHI,2,0,0
lupuljo01,2010,2,TOR,2,0,0
littlbr01,2011,1,WPG,2,5,2
richabr01,2006,1,TBL,12,5,2
burroal01,2009,1,VAN,1,1,0
latengu01,2009,1,MTL,1,0,0
novotji01,2008,1,CBS,1,0,0
arnasty01,2005,1,CHI,3,1,0
fraseco01,2010,1,EDM,1,0,0
hilbean01,2005,2,PIT,1,0,0
richami02,2011,1,LAK,3,9,2
byronpa01,2010,1,BUF,1,0,0
sykorpe01,2006,1,EDM,5,1,0
connech01,2010,1,PIT,1,0,0
gaborma01,2009,1,NYR,5,1,0
lehtije01,2007,1,DAL,2,0,0
stemple01,2006,1,STL,8,4,3
stepade01,2010,1,NYR,5,0,0
hortona01,2011,1,BOS,1,1,0
langeja01,2011,1,STL,0,3,0
coglian01,2010,1,EDM,2,0,0
phanedi01,2005,1,CAL,1,0,0
prongch01,2006,1,AND,1,0,0
gueribi01,2008,1,NYI,2,1,0
pyattto01,2011,1,TBL,0,1,0
fedotru01,2006,1,TBL,2,0,0
williju01,2008,2,LAK,1,1,1
whitnra01,2005,1,CAR,5,4,0
kopecto01,2009,1,CHI,3,1,0
frolimi01,2010,1,FLO,2,1,1
bernist01,2007,1,SJS,1,0,0
satanmi01,2005,1,NYI,10,7,5
steenal01,2009,1,STL,1,0,0
frolimi01,2009,1,FLO,5,1,0
charazd01,2007,1,BOS,2,1,0
jeffrdu01,2010,1,PIT,1,1,1
langkda01,2011,1,PHO,0,1,0
malonry01,2010,1,TBL,3,2,2
fedorse01,2007,1,CBS,2,0,0
upshasc01,2007,1,PHI,1,0,0
carteje01,2007,1,PHI,6,3,0
sakicjo01,2007,1,COL,5,3,2
oleszro01,2009,1,FLO,9,2,1
connoti01,2011,1,TOR,2,2,0
bouchpi02,2008,1,MIN,1,0,0
giroual01,2010,1,EDM,1,0,0
purcete01,2010,1,TBL,4,0,0
gagnesa01,2009,1,EDM,7,0,0
sturmma01,2007,1,BOS,8,1,1
tkachke01,2006,2,ATL,1,1,0
savarma01,2005,1,ATL,3,1,0
kunitch01,2007,1,AND,6,2,1
galiatj01,2009,1,COL,2,0,0
kaletpa01,2009,1,BUF,1,0,0
afinoma01,2005,1,BUF,5,3,2
ribeimi01,2005,1,MTL,1,1,0
richabr01,2007,1,TBL,3,2,1
demitpa01,2006,1,MIN,14,6,2
huntetr01,2009,1,NYI,2,1,1
gonchse01,2006,1,PIT,2,0,0
salmeto01,2006,1,CHI,1,0,0
belesma01,2009,1,AND,1,0,0
steckda01,2007,1,WAS,1,0,0
cullema01,2009,1,CAR,3,0,0
dupuipa01,2007,1,ATL,1,1,1
hechtjo01,2009,1,BUF,4,3,1
wandeto01,2009,1,DAL,1,0,0
wellwky01,2006,1,TOR,4,1,1
oleszro01,2007,1,FLO,3,0,0
shannry01,2007,1,VAN,4,1,1
carteje01,2011,1,CBS,0,2,0
barnama01,2005,1,CHI,2,1,0
maddejo01,2007,1,NJD,2,0,0
zajactr01,2011,1,NJD,1,1,1
hossama01,2011,1,CHI,0,4,0
pecami01,2007,1,CBS,4,1,0
vincoto01,2011,1,DAL,1,2,1
markoan01,2009,1,MTL,1,0,0
kunitch01,2009,1,PIT,2,1,1
roberga01,2006,1,FLO,1,0,0
huselkr01,2005,1,FLO,1,0,0
cammami01,2005,1,LAK,1,0,0
vasicjo01,2007,1,NYI,1,0,0
moentr01,2011,1,MTL,0,1,0
giroucl01,2009,1,PHI,5,3,2
potito01,2007,1,WAS,1,0,0
readma01,2011,1,PHI,4,6,1
morribr01,2010,1,CAL,2,0,0
zubruda01,2005,1,WAS,2,1,0
hewarja01,2005,1,WAS,1,0,0
mcdonan01,2009,1,STL,9,4,1
tambeje01,2007,1,NYI,1,1,1
belaner01,2011,1,EDM,0,2,0
staplti01,2010,1,ATL,1,1,1
moulsma01,2010,1,NYI,2,0,0
goligal01,2009,1,PIT,1,0,0
pisanfe01,2007,1,EDM,3,2,2
kapanni01,2005,1,DAL,1,0,0
eratma01,2011,1,NAS,1,6,1
staffdr01,2010,1,BUF,3,1,0
chriser01,2009,2,NYR,4,1,1
miettan01,2007,1,DAL,1,1,0
mccleja01,2005,1,STL,4,2,0
afanadm01,2006,1,TBL,2,1,1
nieuwjo01,2005,1,FLO,7,2,2
barnest01,2006,1,DAL,2,1,1
svatoma01,2009,1,COL,7,4,0
kovalal01,2010,2,PIT,6,3,2
alfreda01,2010,1,OTT,3,0,0
yorkmi01,2007,1,PHO,1,1,0
kotalal01,2008,2,EDM,2,2,1
ribeimi01,2006,1,DAL,9,4,2
schnema01,2007,1,AND,3,2,2
brulegi01,2010,1,EDM,3,0,0
weighdo01,2006,1,STL,11,6,1
satanmi01,2006,1,NYI,13,5,2
lehtije01,2008,1,DAL,3,2,0
jokinju01,2005,1,DAL,13,10,3
backeda01,2008,1,STL,1,0,0
pacioma01,2011,1,MTL,2,13,1
legwada01,2011,1,NAS,2,4,1
klepija01,2005,1,WAS,2,0,0
willija01,2011,1,PIT,0,1,0
maddejo01,2011,1,FLO,0,2,0
hollwry01,2005,1,NYR,1,0,0
langeja01,2010,2,DAL,1,0,0
stlouma01,2011,1,TBL,1,2,0
whiteto02,2007,1,ATL,1,0,0
bouchpi02,2005,1,MIN,1,0,0
stlouma01,2009,1,TBL,3,0,0
shannry01,2007,1,VAN,4,1,1
gagnesa01,2009,1,EDM,7,0,0
downist01,2011,1,TBL,0,1,0
getzlry01,2006,1,AND,12,5,2
pennedu01,2007,1,EDM,1,0,0
recchma01,2007,1,PIT,1,0,0
lindsjo01,2011,1,COL,1,1,1
malkiev01,2007,1,PIT,5,0,0
eratma01,2010,1,NAS,7,2,1
bernist01,2005,1,SJS,1,0,0
stollja01,2005,1,EDM,3,1,0
palffzi01,2005,1,PIT,2,0,0
iginlja01,2010,1,CAL,1,0,0
hendrma01,2010,1,WAS,4,2,0
gomezsc01,2006,1,NJD,1,0,0
perrier01,2007,1,ATL,4,2,2
armstco01,2010,1,TOR,2,2,1
raymoma01,2009,1,VAN,4,1,0
myersty01,2009,1,BUF,3,1,1
nugenry01,2011,1,EDM,2,5,2
vanekth01,2010,1,BUF,6,5,1
carteje01,2008,1,PHI,5,0,0
mcdonan01,2006,1,AND,10,1,0
kozlovy01,2008,1,ATL,8,6,3
plattge01,2006,1,CBS,1,0,0
oreilca01,2010,1,NAS,6,3,1
roberga01,2006,1,FLO,1,0,0
zettehe01,2008,1,DET,9,3,0
landean01,2011,1,EDM,0,2,0
staaler01,2010,1,CAR,1,0,0
nedvepe01,2006,1,PHI,2,0,0
hossama01,2010,1,CHI,2,0,0
kovalil01,2008,1,ATL,5,1,0
tyutife01,2011,1,CBS,0,1,0
nashri01,2010,1,CBS,12,5,1
vanrija01,2011,1,PHI,1,2,0
moreaet01,2007,1,EDM,1,0,0
ottst01,2009,1,DAL,2,1,1
hamilje01,2007,1,CAR,4,2,0
svatoma01,2010,2,OTT,2,0,0
verstkr01,2010,2,PHI,2,0,0
vanekth01,2008,1,BUF,6,1,1
wheelbl01,2010,1,BOS,2,1,1
condrer01,2011,1,OTT,0,1,0
niedesc01,2008,1,AND,1,0,0
vlasima01,2009,1,SJS,1,0,0
vorobpa01,2005,1,CHI,3,2,0
selante01,2007,1,AND,4,3,0
anisiar01,2009,1,NYR,2,0,0
koivumi01,2010,1,MIN,6,3,1
huselkr01,2005,2,CAL,2,0,0
stollja01,2011,1,LAK,2,8,0
macarcl01,2009,1,BUF,2,0,0
leblalo01,2011,1,MTL,0,2,0
backsni02,2008,1,WAS,3,1,0
duchema01,2010,1,COL,6,0,0
stumpjo01,2005,1,FLO,3,0,0
nylanmi01,2008,1,WAS,3,1,1
callary01,2011,1,NYR,2,4,2
brindro01,2009,1,CAR,1,0,0
sturmma01,2006,1,BOS,11,4,2
shattke01,2011,1,STL,1,5,1
oshietj01,2008,1,STL,6,2,2
osullpa01,2007,1,LAK,5,4,3
nashri01,2005,1,CBS,8,3,2
parenpi01,2011,1,NYI,2,6,1
nashri01,2008,1,CBS,11,4,1
krejcda01,2009,1,BOS,10,4,3
mitchjo02,2008,1,TOR,2,1,1
samsose01,2010,1,CAR,2,1,1
vanekth01,2006,1,BUF,11,2,1
clymebe01,2006,1,WAS,1,0,0
ellerla01,2011,1,MTL,1,5,0
hemskal01,2007,1,EDM,16,6,4
