type,code,fullname
Division,SM,Smythe Division
Playoffs,SC,Won Stanley Cup
Division,CW,WHA Canadian Division
Round,SF,Semi-Finals
Division,AT,Atlantic Division
Playoffs,F,Lost Stanley Cup finals
Round,QF,Quarter-Finals
Round,DF,Division Finals
Playoffs,PRE,Lost NHL preliminary round
Division,NO,Norris Division
Conference,WC,Western Conference
Round,CQF,Conference Quarter-Finals
Division,WD,West Division
Playoffs,WCS,Won Challenge Series
Playoffs,NHLF,Lost NHL finals
Conference,CC,Campbell Conference
Division,SE,Southeast Division
Division,CE,Central Division
Round,SCSF,Stanley Cup Semi-Finals
Round,CF,Conference Finals
Round,WP,Western Playoff
Division,ED,East Division
Round,F,Finals
Playoffs,DF,Lost NHL division finals
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Round,ACF,Avco Cup Finals
Playoffs,DSF,Lost NHL division semi-finals
Division,CA,Canadian Division
Round,SCF,Stanley Cup Finals
Playoffs,NHAF,Lost NHA finals
Playoffs,PF,Lost PCHA finals
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Playoffs,SCSF,Lost Stanley Cup semi-finals
Division,EW,WHA East Division
Playoffs,AVF,Lost AVCO Cup finals
Round,Pre,Preliminary
Conference,WA,Wales Conference
Playoffs,WF,Lost WCHL finals
Division,NW,Northwest Division
Playoffs,WSF,Lost WCHL semi-finals
Conference,EC,Eastern Conference
Playoffs,CQF,Lost NHL conference quarter-finals
Round,DSF,Division Semi-Finals
Playoffs,SF,Lost NHL semi-finals
Division,PT,Patrick Division
Playoffs,AVC,Won AVCO Cup
Playoffs,QF,Lost NHL quarter-finals
Division,WW,WHA West Division
Division,AD,Adams Division
Playoffs,CF,Lost NHL conference finals
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Playoffs,CSF,Lost NHL conference semi-finals
Round,CSF,Conference Semi-Finals
Playoffs,AVSF,Lost AVCO Cup semi-finals
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Division,AM,American Division
Division,PC,Pacific Division
Division,NE,Northeast Division
