year,lgid,tmid,oppid,w,l,t,otl
2000,NHL,CAR,TOR,1,2,0.0,0.0
2003,NHL,CBS,TOR,0,1,0.0,0.0
2011,NHL,NYI,NJD,2,4,,0.0
1980,NHL,CHI,WIN,3,1,0.0,
1992,NHL,TBL,NYR,1,2,0.0,
1932,NHL,CHI,TOR,2,2,2.0,
1960,NHL,MTL,NYR,11,2,1.0,
1997,NHL,PHO,NJD,0,2,0.0,
1967,NHL,PIT,MNS,4,3,3.0,
1978,NHL,PIT,COR,3,1,0.0,
1980,NHL,PHI,MTL,1,2,1.0,
1995,NHL,FLO,PIT,1,3,0.0,
2011,NHL,FLO,OTT,1,2,,1.0
1992,NHL,CHI,OTT,2,0,0.0,
1992,NHL,HAR,STL,1,2,0.0,
1985,NHL,PHI,MTL,2,1,0.0,
2011,NHL,NAS,DAL,2,2,,0.0
2000,NHL,MTL,CAL,0,1,1.0,1.0
2008,NHL,STL,CHI,4,1,,1.0
1974,WHA,TOT,MFS,2,4,0.0,
1986,NHL,PHI,BUF,2,1,0.0,
2010,NHL,SJS,VAN,1,2,,1.0
1979,NHL,PHI,TOR,1,1,2.0,
1982,NHL,EDM,PHI,1,2,0.0,
2011,NHL,OTT,WPG,3,1,,0.0
2010,NHL,MIN,PHI,0,1,,0.0
2003,NHL,PIT,LAK,0,1,0.0,0.0
1998,NHL,TBL,WAS,2,3,0.0,
2003,NHL,FLO,NJD,1,2,0.0,1.0
2001,NHL,NYI,MTL,1,2,1.0,0.0
2011,NHL,VAN,CAL,3,2,,1.0
2006,NHL,SJS,NYR,0,1,,0.0
2008,NHL,CHI,BOS,0,1,,1.0
1992,NHL,NYI,CAL,2,0,0.0,
1984,NHL,QUE,STL,2,1,0.0,
2006,NHL,CAL,DET,2,2,,0.0
1998,NHL,NAS,ANA,2,2,0.0,
1933,NHL,BOS,MTL,5,1,0.0,
2007,NHL,NYI,PHO,1,0,,0.0
2001,NHL,CAR,PIT,2,0,2.0,0.0
1986,NHL,NJD,WAS,1,6,0.0,
2006,NHL,TBL,NJD,3,1,,0.0
1979,NHL,WIN,DET,1,3,0.0,
1981,NHL,EDM,COR,5,2,1.0,
1986,NHL,TOR,PHI,1,1,1.0,
2010,NHL,BOS,EDM,1,0,,0.0
1922,WCHL,EDE,SAC,5,2,1.0,
2003,NHL,TOR,NJD,1,1,2.0,0.0
2001,NHL,CBS,EDM,1,3,0.0,0.0
2008,NHL,NYI,MIN,0,2,,0.0
1979,NHL,COR,ATF,0,4,0.0,
1983,NHL,NYI,QUE,1,2,0.0,
1982,NHL,BOS,PIT,2,1,0.0,
2007,NHL,DAL,MTL,1,0,,0.0
1996,NHL,WAS,FLO,2,1,2.0,
1981,NHL,DET,PHI,0,2,1.0,
2002,NHL,DET,WAS,1,0,0.0,0.0
2006,NHL,NJD,BUF,2,2,,0.0
1929,NHL,NYR,PIP,6,0,0.0,
1996,NHL,PHI,TBL,2,2,1.0,
2001,NHL,TBL,BOS,0,1,1.0,2.0
2011,NHL,CHI,DET,4,0,,2.0
1978,NHL,DET,COR,3,0,1.0,
2011,NHL,MIN,NYR,0,1,,0.0
2006,NHL,CAL,SJS,1,3,,0.0
2010,NHL,OTT,TOR,3,3,,0.0
1994,NHL,MTL,NJD,2,2,0.0,
1929,NHL,MTL,PIP,2,0,2.0,
2002,NHL,NAS,NYI,1,0,0.0,1.0
1932,NHL,CHI,MTM,2,2,2.0,
1999,NHL,BUF,TOR,2,2,0.0,1.0
1974,NHL,DET,KCS,3,1,0.0,
1928,NHL,TOR,NYR,1,3,0.0,
2007,NHL,TOR,DET,1,0,,0.0
1974,NHL,MTL,STL,1,2,1.0,
2002,NHL,DAL,CAL,1,0,2.0,1.0
1988,NHL,MTL,CHI,1,0,2.0,
1988,NHL,NYI,WAS,3,4,0.0,
2010,NHL,COL,NAS,0,4,,0.0
1978,NHL,BUF,PIT,0,2,2.0,
1986,NHL,QUE,MNS,2,0,1.0,
1916,NHA,OT1,MOW,5,0,0.0,
2011,NHL,TBL,DAL,1,0,,0.0
1976,NHL,PHI,LAK,4,0,0.0,
2000,NHL,MIN,ANA,2,1,0.0,1.0
1948,NHL,NYR,MTL,4,5,3.0,
2003,NHL,CHI,MIN,1,3,0.0,0.0
2009,NHL,EDM,VAN,2,3,,1.0
2003,NHL,ATL,MTL,1,3,0.0,0.0
1972,NHL,PIT,CLF,2,2,2.0,
1930,NHL,MTM,TOR,2,3,1.0,
1981,NHL,HAR,STL,2,1,0.0,
1996,NHL,STL,NYI,1,0,1.0,
1930,NHL,PHQ,MTM,1,3,0.0,
1990,NHL,PHI,VAN,2,1,0.0,
1979,NHL,MNS,MTL,1,3,0.0,
1978,NHL,TOR,BOS,1,5,2.0,
2002,NHL,NYR,FLO,3,1,0.0,0.0
1997,NHL,DET,MTL,2,0,0.0,
1993,NHL,WAS,PIT,2,1,1.0,
2011,NHL,DAL,STL,1,3,,0.0
2006,NHL,PIT,PHI,8,0,,0.0
1992,NHL,EDM,MTL,0,2,0.0,
1996,NHL,NYR,STL,1,1,0.0,
1947,NHL,CHI,BOS,7,3,2.0,
1983,NHL,CAL,STL,2,0,1.0,
2009,NHL,PHI,CAR,4,0,,0.0
1984,NHL,WIN,NYR,3,0,0.0,
1995,NHL,WIN,OTT,2,0,0.0,
1975,NHL,DET,MTL,0,5,1.0,
1969,NHL,MNS,MTL,2,2,2.0,
1976,NHL,COR,LAK,0,2,2.0,
2009,NHL,PHI,CAL,1,0,,0.0
1987,NHL,VAN,MTL,0,2,1.0,
2010,NHL,STL,CHI,2,2,,2.0
2008,NHL,ATL,NJD,1,3,,0.0
1980,NHL,PIT,CHI,1,3,0.0,
1993,NHL,TBL,BUF,2,1,1.0,
2011,NHL,EDM,COL,3,2,,1.0
1948,NHL,DET,CHI,9,3,0.0,
1979,NHL,MNS,NYR,2,1,1.0,
1985,NHL,WAS,BUF,1,1,1.0,
1976,NHL,PIT,PHI,1,3,0.0,
2005,NHL,FLO,BOS,2,2,,0.0
1952,NHL,NYR,CHI,3,10,1.0,
2009,NHL,WAS,CAR,3,1,,2.0
1994,NHL,BOS,WAS,0,2,1.0,
1972,NHL,CHI,STL,3,3,0.0,
1993,NHL,TBL,VAN,0,2,0.0,
1991,NHL,DET,HAR,2,0,0.0,
1993,NHL,PHI,EDM,0,2,0.0,
1991,NHL,NYR,VAN,2,0,1.0,
1989,NHL,QUE,PIT,1,2,0.0,
2000,NHL,PHO,CBS,1,2,1.0,0.0
1977,WHA,CIN,EDO,4,6,1.0,
1972,NHL,BOS,LAK,3,2,0.0,
2010,NHL,ATL,BOS,2,2,,0.0
2006,NHL,TBL,CAL,1,0,,0.0
2001,NHL,NYI,NAS,1,0,0.0,0.0
1974,WHA,PHR,TOT,1,3,2.0,
1986,NHL,BOS,PHI,1,2,0.0,
2006,NHL,PHO,WAS,1,0,,0.0
2002,NHL,CBS,PIT,1,0,0.0,0.0
2010,NHL,NAS,TBL,1,0,,0.0
1978,NHL,PIT,MNS,3,1,0.0,
1988,NHL,QUE,HAR,3,4,1.0,
2011,NHL,NYR,WAS,2,2,,0.0
1965,NHL,TOR,CHI,8,5,1.0,
2007,NHL,PHI,TBL,2,2,,0.0
2005,NHL,WAS,CAR,3,3,,2.0
1991,NHL,HAR,MNS,1,1,1.0,
1979,NHL,BUF,ATF,3,0,1.0,
2000,NHL,PHO,PHI,2,0,0.0,0.0
1977,NHL,CHI,CLE,3,1,0.0,
1972,NHL,NYI,LAK,1,4,0.0,
1993,NHL,BOS,BUF,1,3,1.0,
2011,NHL,MTL,BUF,1,3,,2.0
1999,NHL,NAS,PHO,1,2,1.0,0.0
2002,NHL,BOS,TBL,1,2,1.0,0.0
1993,NHL,MTL,STL,2,0,0.0,
2005,NHL,COL,EDM,4,3,,1.0
1992,NHL,WAS,LAK,2,0,0.0,
1998,NHL,PIT,FLO,4,1,0.0,
2006,NHL,MTL,COL,1,0,,0.0
1988,NHL,VAN,MNS,1,2,0.0,
1997,NHL,COL,NJD,0,2,0.0,
1997,NHL,NYI,BOS,1,2,1.0,
1996,NHL,TOR,NYI,2,0,0.0,
1989,NHL,HAR,MTL,3,4,1.0,
2010,NHL,CAL,STL,4,0,,0.0
1988,NHL,MNS,HAR,1,2,0.0,
1985,NHL,NYI,NJD,5,2,0.0,
2011,NHL,LAK,NYR,1,0,,0.0
1992,NHL,MNS,NYR,1,0,1.0,
1988,NHL,PIT,BOS,1,1,1.0,
1990,NHL,PHI,NYI,4,2,1.0,
1992,NHL,NJD,STL,1,0,1.0,
2005,NHL,CAL,DET,2,1,,1.0
1991,NHL,VAN,NYR,0,2,1.0,
2001,NHL,NJD,MIN,0,0,1.0,0.0
1940,NHL,TOR,NYR,5,3,0.0,
1921,NHL,MTL,HAM,7,1,0.0,
1996,NHL,DET,WAS,2,0,0.0,
1987,NHL,HAR,NYR,1,2,0.0,
1983,NHL,TOR,NJD,3,0,0.0,
2003,NHL,BOS,SJS,0,0,1.0,0.0
2007,NHL,DAL,DET,1,3,,0.0
2011,NHL,FLO,BOS,2,1,,1.0
2009,NHL,LAK,DAL,5,1,,0.0
1997,NHL,CHI,NYR,1,1,0.0,
2008,NHL,PHO,VAN,2,2,,0.0
2003,NHL,STL,MTL,0,1,0.0,0.0
1974,NHL,VAN,KCS,3,1,2.0,
1987,NHL,CHI,CAL,0,2,1.0,
1972,NHL,ATF,STL,0,3,3.0,
1981,NHL,CHI,NYI,0,3,0.0,
1975,WHA,IND,EDO,1,3,0.0,
1993,NHL,FLO,NJD,0,3,2.0,
1986,NHL,BOS,MTL,2,5,1.0,
1975,NHL,TOR,ATF,2,2,0.0,
1964,NHL,CHI,NYR,9,3,2.0,
1993,NHL,NJD,HAR,2,1,1.0,
1968,NHL,TOR,OAK,4,2,0.0,
1998,NHL,BUF,MTL,3,2,0.0,
2011,NHL,PHI,SJS,0,1,,0.0
2007,NHL,PIT,FLO,3,1,,0.0
1980,NHL,NYR,BUF,1,2,1.0,
1919,PCHA,VA2,VML,6,5,0.0,
1980,NHL,NYR,WAS,2,2,0.0,
1975,WHA,NEW,WIJ,0,4,0.0,
2006,NHL,NYI,BOS,3,0,,1.0
1993,NHL,PHI,SJS,1,1,0.0,
1978,NHL,MNS,LAK,1,3,0.0,
1989,NHL,NYR,CHI,1,0,2.0,
1992,NHL,PIT,OTT,3,1,0.0,
1984,NHL,PIT,STL,1,2,0.0,
2001,NHL,NYI,STL,1,0,0.0,0.0
1990,NHL,CHI,BUF,1,2,0.0,
1996,NHL,NYI,SJS,0,0,2.0,
2007,NHL,CHI,VAN,1,2,,1.0
1976,WHA,CAC,SDM,4,4,0.0,
2008,NHL,MTL,BOS,1,3,,2.0
1987,NHL,DET,VAN,2,1,0.0,
2008,NHL,PHO,TOR,1,0,,0.0
1998,NHL,SJS,DET,1,2,1.0,
1982,NHL,NJD,VAN,1,0,2.0,
1971,NHL,CLF,STL,0,3,3.0,
1937,NHL,NYR,NYA,4,1,1.0,
2010,NHL,TBL,NYR,4,0,,0.0
1986,NHL,BOS,WAS,1,1,1.0,
1975,NHL,NYR,CHI,2,0,3.0,
1999,NHL,COL,ANA,2,1,1.0,0.0
1992,NHL,NYR,STL,2,0,0.0,
2009,NHL,OTT,NYR,1,2,,1.0
1976,NHL,DET,NYR,1,3,0.0,
1975,NHL,KCS,MTL,1,3,0.0,
1997,NHL,STL,CHI,3,3,0.0,
1924,NHL,MTL,MTM,4,0,2.0,
2011,NHL,CAR,MIN,1,0,,0.0
