playerid,year,stint,tmid,w,l,sa,ga
quickjo01,2008,1,LAK,4,1,14,4
fernama01,2005,1,MIN,4,2,19,4
leclapa01,2007,1,CBS,3,4,23,10
dubnyde01,2009,1,EDM,2,1,11,3
varlasi01,2011,1,COL,8,0,24,2
enrotjh01,2010,1,BUF,3,0,19,5
norrefr01,2008,1,CBS,0,1,2,1
hardijo01,2005,1,MIN,1,0,3,1
masonch02,2005,1,NAS,2,0,5,0
luongro01,2009,1,VAN,2,3,14,5
leighmi01,2008,1,CAR,1,1,5,3
priceca01,2008,1,MTL,5,6,35,13
dubiewa01,2006,1,NYI,2,0,6,1
aubinje01,2007,1,LAK,1,1,4,2
eschero01,2005,1,PHI,1,2,8,4
turcoma01,2010,1,CHI,2,2,13,7
turcoma01,2008,1,DAL,5,6,43,16
hillejo01,2008,1,AND,5,1,31,5
priceca01,2011,1,MTL,5,8,40,14
andercr01,2010,2,OTT,2,1,12,1
caronse01,2005,1,PIT,0,3,10,6
weekeke01,2005,1,NYR,3,1,13,6
gigueje01,2011,1,COL,1,2,7,5
kolziol01,2007,1,WAS,2,4,34,11
weekeke01,2008,1,NJD,2,0,6,2
niittan01,2010,1,SJS,2,0,4,0
morrimi01,2005,1,EDM,5,2,24,6
sanfocu01,2006,1,STL,0,2,6,5
halakja01,2006,1,MTL,2,0,8,2
fleurma01,2010,1,PIT,8,2,38,6
crawfco01,2011,1,CHI,6,4,32,6
hedbejo01,2009,1,ATL,4,2,21,5
masonst01,2008,1,CBS,6,5,31,9
masonst01,2009,1,CBS,0,7,28,12
grahajo01,2005,1,TBL,4,1,16,4
lehtoka01,2009,1,DAL,1,0,4,0
lehtoka01,2011,1,DAL,7,3,39,9
gerbema01,2007,1,OTT,2,2,16,5
lalimpa01,2008,1,BUF,0,3,10,4
fleurma01,2005,1,PIT,0,2,5,4
backsni01,2009,1,MIN,2,7,38,14
niittan01,2005,1,PHI,3,4,24,10
peterju01,2011,1,CAR,0,2,6,3
belfoed01,2005,1,TOR,2,4,14,6
fleurma01,2008,1,PIT,3,4,22,6
khabini01,2009,1,EDM,2,2,12,4
halakja01,2011,1,STL,3,7,32,9
niemian02,2010,1,SJS,3,5,28,8
niittan01,2009,1,TBL,3,4,23,5
varlasi01,2009,1,WAS,3,4,33,9
munroad01,2005,1,CHI,0,1,4,2
masonch02,2011,1,WPG,1,1,8,3
vokouto01,2009,1,FLO,4,9,49,19
denisma01,2005,1,CBS,3,1,18,4
shielst01,2005,1,ATL,0,1,2,1
johnsch02,2009,1,NYR,0,1,5,2
bobrose01,2011,1,PHI,1,2,8,4
johnsbr02,2006,1,WAS,0,5,20,7
rolosdw01,2006,1,EDM,3,2,21,6
toskave01,2007,1,TOR,2,3,15,6
garonma01,2007,1,EDM,10,0,32,2
quickjo01,2009,1,LAK,8,6,51,17
johnsbr02,2011,1,PIT,0,1,3,2
bouchbr01,2008,1,SJS,1,1,6,2
labarja01,2008,2,VAN,0,2,9,5
niittan01,2008,1,PHI,2,3,18,6
josepcu01,2005,1,PHO,3,2,19,6
garonma01,2008,1,EDM,1,0,3,1
brodema01,2005,1,NJD,8,3,38,9
fernama01,2006,1,MIN,7,1,32,9
halakja01,2010,1,STL,3,4,29,10
raycran01,2008,1,COL,2,0,8,1
norrefr01,2007,1,CBS,0,4,10,4
conklty01,2006,1,CBS,1,1,5,2
hedbejo01,2005,1,DAL,4,0,17,3
rolosdw01,2006,1,EDM,3,2,21,6
toivoha01,2005,1,BOS,0,1,3,2
gigueje01,2007,1,AND,6,5,30,10
fernama01,2007,1,BOS,1,0,3,0
rasktu01,2009,1,BOS,5,4,33,10
leighmi01,2008,1,CAR,1,1,5,3
reimeja01,2010,1,TOR,1,3,11,3
gigueje01,2011,1,COL,1,2,7,5
lalimpa01,2009,1,BUF,0,2,13,5
kiprumi01,2007,1,CAL,3,3,17,6
reimeja01,2011,1,TOR,2,1,8,3
holtbbr01,2010,1,WAS,1,1,7,3
kolziol01,2007,1,WAS,2,4,34,11
bironma01,2007,1,PHI,2,6,20,13
smithmi02,2010,1,TBL,1,0,4,0
enrotjh01,2010,1,BUF,3,0,19,5
fernama01,2008,1,BOS,0,2,9,4
kiprumi01,2006,1,CAL,3,4,16,7
gerbema01,2007,1,OTT,2,2,16,5
rinnepe01,2008,1,NAS,5,2,24,5
hedbejo01,2009,1,ATL,4,2,21,5
peterju01,2011,1,CAR,0,2,6,3
johnsbr02,2005,1,WAS,3,1,13,2
macdojo01,2008,1,NYI,3,3,15,6
garonma01,2010,1,CBS,1,3,12,4
ellisda01,2009,1,NAS,2,1,10,2
halakja01,2010,1,STL,3,4,29,10
markkju01,2005,1,EDM,1,3,16,8
osgooch01,2006,1,DET,1,2,14,6
masonch02,2008,1,STL,3,4,18,7
tellqmi01,2005,1,TOR,1,1,5,2
millery01,2011,1,BUF,5,4,34,11
halakja01,2007,1,MTL,0,1,3,1
thomati01,2006,1,BOS,8,2,46,8
wardca01,2010,1,CAR,5,4,25,6
millery01,2008,1,BUF,8,2,40,9
budajpe01,2007,1,COL,1,2,9,4
backsni01,2011,1,MIN,5,6,32,15
leclapa01,2007,1,CBS,3,4,23,10
smithmi02,2008,1,TBL,2,7,27,15
labarja01,2008,1,LAK,0,3,7,6
thibajo01,2007,1,BUF,0,2,10,3
bironma01,2007,1,PHI,2,6,20,13
brodema01,2011,1,NJD,7,2,26,7
rolosdw01,2005,2,EDM,1,3,12,7
howarji01,2009,1,DET,5,7,54,17
masonch02,2010,1,ATL,2,2,17,4
howarji01,2010,1,DET,3,2,17,2
ellisda01,2007,1,NAS,2,1,9,4
gigueje01,2007,1,AND,6,5,30,10
smithmi02,2011,1,PHO,6,8,46,15
quickjo01,2009,1,LAK,8,6,51,17
johnsbr02,2008,1,WAS,0,1,2,1
vokouto01,2005,1,NAS,4,3,20,8
johnsbr02,2009,1,PIT,2,0,6,0
varlasi01,2011,1,COL,8,0,24,2
bacasja01,2005,1,STL,1,0,4,1
turcoma01,2006,1,DAL,8,4,46,11
thomati01,2010,1,BOS,1,5,19,9
valiqst01,2007,1,NYR,2,2,11,3
rinnepe01,2008,1,NAS,5,2,24,5
rolosdw01,2010,1,NYI,0,1,3,2
raycran01,2008,1,COL,2,0,8,1
mclenja01,2005,1,FLO,0,1,4,2
montoal01,2011,1,NYI,2,2,13,5
lehtoka01,2005,1,ATL,5,0,20,3
sanfocu01,2006,1,STL,0,2,6,5
budajpe01,2010,1,COL,3,0,14,1
leighmi01,2008,1,CAR,1,1,5,3
andercr01,2011,1,OTT,6,1,25,7
kolziol01,2005,1,WAS,4,5,44,15
varlasi01,2010,1,WAS,1,2,8,3
belfoed01,2005,1,TOR,2,4,14,6
rolosdw01,2008,1,EDM,4,4,24,5
lundqhe01,2006,1,NYR,8,4,50,9
niittan01,2006,1,PHI,1,4,23,6
khabini01,2006,1,CHI,4,4,33,11
howarji01,2011,1,DET,7,2,27,5
halakja01,2008,1,MTL,2,1,7,2
theodjo01,2005,1,MTL,1,1,6,1
khabini01,2009,1,EDM,2,2,12,4
vokouto01,2006,1,NAS,2,3,17,7
hedbejo01,2008,1,ATL,3,0,13,1
nabokev01,2011,1,NYI,5,1,18,4
legacma01,2006,1,STL,5,3,25,7
gerbema01,2007,1,OTT,2,2,16,5
fleurma01,2009,1,PIT,6,2,23,6
gigueje01,2006,1,AND,4,6,39,13
wardca01,2005,1,CAR,1,0,3,0
ersbeer01,2009,1,LAK,1,2,16,7
osgooch01,2007,1,DET,2,3,16,8
johnsbr02,2010,1,PIT,2,1,11,1
crawfco01,2010,1,CHI,4,3,19,3
labarja01,2007,1,LAK,2,1,10,5
turcoma01,2009,1,DAL,4,8,53,15
thomati01,2009,1,BOS,5,5,33,9
hackema01,2011,1,MIN,1,0,5,2
huetcr01,2008,1,CHI,2,2,12,5
grahajo01,2005,1,TBL,4,1,16,4
conklty01,2010,1,STL,0,2,7,6
brustba01,2006,1,LAK,1,1,5,1
clemmsc01,2005,1,NJD,1,1,7,3
thomati01,2011,1,BOS,7,1,26,6
priceca01,2011,1,MTL,5,8,40,14
backsni01,2008,1,MIN,5,2,21,5
clemmsc01,2008,1,NJD,2,1,12,3
huetcr01,2007,2,WAS,2,0,5,0
hillejo01,2011,1,AND,3,7,40,17
hardijo01,2009,1,MIN,2,0,10,1
rolosdw01,2005,1,MIN,0,1,8,2
fernama01,2005,1,MIN,4,2,19,4
andercr01,2010,2,OTT,2,1,12,1
lalimpa01,2007,1,CHI,3,0,9,2
