coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
pulfobo01c,1972,LAK,NHL,1,,78,31,36,11,,,,
pulfobo01c,1973,LAK,NHL,1,,78,33,33,12,5,1,4,0
pulfobo01c,1974,LAK,NHL,1,,80,42,17,21,3,1,2,0
pulfobo01c,1975,LAK,NHL,1,,80,38,33,9,9,5,4,0
pulfobo01c,1976,LAK,NHL,1,,80,34,31,15,9,4,5,0
pulfobo01c,1977,CHI,NHL,1,,80,32,29,19,4,0,4,0
pulfobo01c,1978,CHI,NHL,1,,80,29,36,15,4,0,4,0
pulfobo01c,1981,CHI,NHL,2,,28,12,14,2,15,8,7,0
pulfobo01c,1984,CHI,NHL,2,,27,16,7,4,15,9,6,0
pulfobo01c,1985,CHI,NHL,1,,80,39,33,8,3,0,3,0
pulfobo01c,1986,CHI,NHL,1,,80,29,37,14,4,0,4,0
pulfobo01c,1999,CHI,NHL,2,,58,28,24,6,,,,
satorte01c,1986,NYR,NHL,1,,19,5,10,4,,,,
hitchke01c,2007,CBS,NHL,1,,82,34,36,12,,,,
keenami01c,2007,CAL,NHL,1,,82,42,30,10,7,3,4,0
blaketo01c,1960,MTL,NHL,1,,70,41,19,10,6,2,4,0
ruffli01c,1998,BUF,NHL,1,,82,37,28,17,21,14,7,0
wilsojo01c,1979,PIT,NHL,1,,80,30,37,13,5,2,3,0
yeomi01c,2011,MIN,NHL,1,,82,35,36,11,,,,
greenpe01c,1920,OTS,NHL,1,,24,14,10,0,7,5,2,0
gretzwa01c,2009,PHO,NHL,1,,82,50,25,7,7,3,4,0
arboual01c,1983,NYI,NHL,1,,80,50,26,4,21,12,9,0
adamsja01c,1943,DET,NHL,1,,50,26,18,6,5,1,4,0
arboual01c,1981,NYI,NHL,1,,80,54,16,10,19,15,4,0
patrile01c,1911,VA1,PCHA,1,,16,7,9,0,,,,
carlyra01c,2006,AND,NHL,1,,82,48,20,14,21,16,5,0
stuarbr02c,1911,OT1,NHA,1,,18,9,9,0,,,,
suttedu01c,2000,FLO,NHL,2,,46,16,24,6,,,,
trotzba01c,2007,NAS,NHL,1,,82,41,32,9,6,2,4,0
trotzba01c,2006,NAS,NHL,1,,82,51,23,8,5,1,4,0
bouchfr01c,1942,NYR,NHL,1,,50,11,31,8,,,,
arboual01c,1990,NYI,NHL,1,,80,25,45,10,,,,
gallage01c,2005,CBS,NHL,1,,82,35,43,4,,,,
mulleki01c,2011,CAR,NHL,2,,57,25,20,12,,,,
sonmogl01c,1981,MNS,NHL,1,,80,37,23,20,4,1,3,0
irvindi01c,1933,TOR,NHL,1,,48,26,13,9,5,2,3,0
loughcl01c,1934,CHI,NHL,1,,48,26,17,5,2,0,1,1
hartce01c,1928,MTL,NHL,1,,44,22,7,15,3,0,3,0
evansja01c,1975,CLF,NHL,1,,80,27,42,11,,,,
wilkiia01c,1972,NRA,WHA,2,interim,1,1,0,0,,,,
bergemi03c,1980,QUE,NHL,2,,74,29,29,16,5,2,3,0
martija02c,1996,OTT,NHL,1,,82,31,36,15,7,3,4,0
geoffbe01c,1972,ATF,NHL,1,,78,25,38,15,,,,
trotzba01c,2008,NAS,NHL,1,,82,40,34,8,,,,
cassibr01c,2002,WAS,NHL,1,,82,39,35,8,6,2,4,0
sutteda01c,1992,CHI,NHL,1,,84,47,25,12,4,0,4,0
gulutgl01c,2011,DAL,NHL,1,,82,42,35,5,,,,
constke01c,1997,PIT,NHL,1,,82,40,24,18,6,2,4,0
