year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1991,NHL,EDM,16,8,8,0,49,54,340.0,0.0,14.0,78.0,0.0,17.0,90.0,1.0
1950,NHL,TOR,11,8,2,1,30,15,145.0,,,,,,,
1979,NHL,VAN,4,1,3,0,7,15,84.0,2.0,1.0,14.0,0.0,6.0,18.0,0.0
1967,NHL,LAK,7,3,4,0,21,26,114.0,,5.0,,1.0,4.0,,0.0
1954,NHL,DET,11,8,3,0,41,26,143.0,,,,,,,
1981,NHL,BOS,11,6,5,0,43,39,253.0,2.0,9.0,40.0,1.0,14.0,42.0,0.0
1938,NHL,MTL,3,1,2,0,5,8,39.0,,,,,,,
1973,WHA,HOU,14,12,2,0,71,35,,,,,,,,
1962,NHL,TOR,10,8,2,0,31,16,93.0,,,,,,,
2009,NHL,WAS,7,3,4,0,22,20,69.0,4.0,1.0,33.0,0.0,6.0,30.0,2.0
1986,NHL,MTL,17,10,7,0,67,54,433.0,6.0,16.0,60.0,2.0,11.0,63.0,3.0
2007,NHL,DET,22,16,6,0,72,41,243.0,4.0,20.0,106.0,0.0,14.0,98.0,6.0
1978,NHL,BOS,11,7,4,0,36,32,131.0,4.0,6.0,25.0,0.0,8.0,32.0,1.0
2008,NHL,STL,4,0,4,0,5,11,63.0,2.0,1.0,24.0,0.0,4.0,18.0,0.0
1977,NHL,ATF,2,0,2,0,5,8,24.0,0.0,0.0,4.0,1.0,3.0,6.0,0.0
1913,NHA,TBS,2,1,1,0,6,2,,,,,,,,
1982,NHL,EDM,16,11,5,0,80,50,372.0,0.0,14.0,72.0,2.0,18.0,74.0,10.0
2002,NHL,BOS,5,1,4,0,8,13,70.0,0.0,3.0,18.0,0.0,3.0,22.0,0.0
1927,NHL,OTS,2,0,2,0,1,3,24.0,,,,,,,
1974,WHA,TOT,6,2,4,0,27,29,,,,,,,,
2003,NHL,NYI,5,1,4,0,5,12,50.0,4.0,2.0,16.0,1.0,2.0,23.0,0.0
1989,NHL,CHI,20,10,10,0,69,65,532.0,6.0,18.0,109.0,1.0,22.0,109.0,5.0
1986,NHL,NYR,6,2,4,0,13,22,172.0,0.0,4.0,35.0,2.0,3.0,32.0,0.0
1989,NHL,CAL,6,2,4,0,24,29,149.0,6.0,2.0,33.0,1.0,10.0,46.0,2.0
1976,WHA,NEW,5,1,4,0,14,23,,,,,,,,
2006,NHL,TBL,6,2,4,0,14,19,110.0,2.0,4.0,26.0,0.0,7.0,28.0,1.0
1920,PCHA,VML,2,2,0,0,13,2,,,,,,,,
1931,NHL,MTM,4,1,1,2,6,5,24.0,,,,,,,
1987,NHL,LAK,5,1,4,0,18,30,178.0,4.0,8.0,38.0,,8.0,34.0,0.0
2001,NHL,STL,10,5,5,0,24,19,150.0,0.0,9.0,45.0,1.0,5.0,42.0,2.0
1950,NHL,MTL,11,5,6,0,23,25,86.0,,,,,,,
1979,NHL,LAK,4,1,3,0,10,21,73.0,2.0,1.0,16.0,2.0,3.0,15.0,2.0
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
2001,NHL,NYI,7,3,4,0,21,22,169.0,2.0,11.0,38.0,0.0,5.0,43.0,0.0
1990,NHL,VAN,6,2,4,0,16,26,154.0,0.0,5.0,23.0,0.0,5.0,24.0,1.0
