name,id,award,year,lgid,note
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
Mike Richter,richtmi01,Patrick,2008,NHL,
John Halligan,,Patrick,2006,NHL,
Len Ceglarski,,Patrick,1989,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
John Bucyk,bucykjo01,Patrick,1976,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Cammi Granato,,Patrick,2006,NHL,
Ed Snider,snideed01h,Patrick,1979,NHL,
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
George Gund,,Patrick,1995,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
John MacInnes,,Patrick,1985,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Brian Leetch,leetcbr01,Patrick,2006,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Fred Shero,sherofr01,Patrick,1979,NHL,
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Bud Poile,poilebu01,Patrick,1988,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
Gary Bettman,,Patrick,2000,NHL,
Robert Ridder,,Patrick,1993,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Bruce McNall,,Patrick,1992,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
Arthur Wirtz,wirtzar01h,Patrick,1984,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Lou Nanne,nannelo01,Patrick,1988,NHL,
Donald Clark,,Patrick,1974,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Lou Vairo,,Patrick,1999,NHL,
Reed Larson,larsore01,Patrick,2005,NHL,
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Bill Cleary,,Patrick,1996,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Peter Karmanos,,Patrick,1997,NHL,
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
John Mayasich,,Patrick,1997,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Walter Bush,bushwa01h,Patrick,1972,NHL,
George Leader,,Patrick,1975,NHL,
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
John B. Sollenberger,,Patrick,1970,NHL,posthumous
1960 U.S. Olympic Hockey Team,,Patrick,2001,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Raymond Bourque,bourqra01,Patrick,2002,NHL,
Jeff Sauer,,Patrick,2010,NHL,
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
Tom Fitzgerald,,Patrick,1977,NHL,
Stan Fischler,,Patrick,2006,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
William Tutt,tuttwi01h,Patrick,1977,NHL,
John Mariucci,mariujo01,Patrick,1976,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Bobby Orr,orrbo01,Patrick,1978,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
Brian Burke,,Patrick,2007,NHL,
Jack Parker,,Patrick,2009,NHL,
Bob Naegele,,Patrick,2007,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Mike Emrick,,Patrick,2003,NHL,
Bob Fleming,,Patrick,1994,NHL,
Tony Rossi,,Patrick,2010,NHL,
Dave Andrews,,Patrick,2009,NHL,
Joe Mullen,mullejo01,Patrick,1994,NHL,
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
Red Dutton,duttore01,Patrick,1992,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
