circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт_парк,Гран-при Альберта Парка,Мельбурн,Австралия,-37.8497,144.968,10.0,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
3,Бахрейн,Бахрейнский международный округ,Сахир,Бахрейн,26.0325,50.5106,,http://en.wikipedia.org/wiki/Bahreak_International_Circuit
5,истанбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,http://en.wikipedia.org/wiki/Istanbul_Park
6,Монако,Оккупационный округ Монако,Монте-Карло,Монако,43.7347,7.42056,,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,Вильнюв,Цистерна Жиль Вильнев,Монреаль,Канада,45.5,-73.5228,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,Magny_cours,Округ Невер-Магни-Курс,Волшебные каучуки,Франция,46.8642,3.16361,,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
10,хокенхайминг,Хокенхаймеринг,Хокенхайм,Германия,49.3278,8.56583,,http://en.wikipedia.org/wiki/Hockenheimring
11,Похмелье,Гунгаринг,Будапешт,Венгрия,47.5789,19.2486,,http://en.wikipedia.org/wiki/Hungaroring
12,Валенсия,Уличный округ Валенсии,Валенсия,Испания,39.4589,-0.331667,,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
14,Монза,Autodromo Nazionale di Monza,Монза,Италия,45.6156,9.28111,,http://en.wikipedia.org/wiki/Autodromo_naticonale_Monza
15,marina_bay,Улица Марина-Бей,Залив Марина,Сингапур,1.2914,103.864,,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,Фуджи,Fuji Speedway,Ояма,Япония,35.3717,138.927,,http://en.wikipedia.org/wiki/Fuji_Speedway
17,Шанхай,Шанхайский международный округ,Шанхай,Китай,31.3389,121.22,,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
20,urburging,Нюрбургринг,Нюрбург,Германия,50.3356,6.9475,,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,Имола,Autodromo Enzo e Dino Ferrari,Имола,Италия,44.3439,11.7167,,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
24,yas_marina,Округ Яс Марина,Абу-Даби,ОАЭ,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25,Гальвез,Аутродромо Хуан и Оскар Гальвес,Буэнос-Айрес,Аргентина,-34.6943,-58.4593,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
27,estoril,Autódromo do Estoril,Эсторил,Португалия,38.7506,-9.39417,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
28,Окияма,Международный округ Окаяма,Окаяма,Япония,34.915,134.221,,http://en.wikipedia.org/wiki/TI_Circuit
34,&lt; &lt; Рикард &gt; &gt;,Округ Пол Рикард,Кастелье,Франция,43.2506,5.79167,,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,йонгама,Корейский международный округ,Округ Ёнгам,Корейская Народно-Демократическая Республика,34.7333,126.417,,http://en.wikipedia.org/wiki/Korea_International_Circuit
36,jacarepagua,Autódromo Internacional Nelson Piquet,Рио-де-Жанейро,Бразилия,-22.9756,-43.395,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
38,бренды_хэтч,Шляпа с брендами,Кент,Соединенное Королевство,51.3569,0.263056,,http://en.wikipedia.org/wiki/Brands_Hatch
39,zandvoort,Парк Зандворт,Зандворт,Нидерланды,52.3888,4.54092,,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,Золдер,Золдер,Хьюстен-Золдер,Бельгия,50.9894,5.25694,,http://en.wikipedia.org/wiki/Zolder
