resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
179,26,7,5,14,13,11.0,11,11,0.0,59,,,21.0,9.0,1:33.367,198.224,11
389,36,26,5,19,17,,Р,21,0.0,28,,,22.0,21.0,1:28.953,214.616,29
889,59,33,13,18,17,15.0,15,15,0.0,76,,,71.0,13.0,1:17.329,155.491,12
1097,69,21,4,2,6,3.0,3,3,6.0,53,+23.953,5056366.0,13.0,7.0,1:33.564,223.432,1
1570,92,45,17,19,15,16.0,16,16,0.0,55,,,9.0,18.0,1:34.032,207.388,12
1758,102,31,3,3,7,4.0,4,4,5.0,70,+1:02.613,5788744.0,49.0,7.0,1:20.715,195.398,1
1989,113,2,15,9,4,,Р,15,0.0,46,,,,,,,5
2199,124,17,18,23,18,5.0,5,5,2.0,56,,,,,,,12
2302,128,22,6,2,2,,W,20,0.0,0,,,,,,,6
4270,218,75,20,15,16,,Р,22,0.0,5,,,,,,,10
4766,241,87,1,7,17,,Р,20,0.0,9,,,,,,,44
5066,253,89,29,10,21,,Р,24,0.0,0,,,,,,,10
6288,298,127,17,33,23,15.0,15,15,0.0,43,,,,,,,12
6570,307,105,29,9,0,,F,30,0.0,0,,,,,,,81
7208,326,103,33,29,25,,Р,22,0.0,12,,,,,,,23
7266,328,78,27,25,21,10.0,10,10,0.0,62,,,,,,,12
8516,372,122,37,16,9,,Р,23,0.0,6,,,,,,,5
9080,391,140,1,2,7,,Р,16,0.0,57,,,,,,,5
9771,418,102,32,12,1,3.0,3,3,4.0,68,+52.513,5651213.0,,,,,1
10380,441,110,27,26,7,,Р,20,0.0,0,,,,,,,3
13068,536,209,57,23,0,,F,29,0.0,0,,,,,,,81
13362,547,230,63,19,11,,Р,24,0.0,9,,,,,,,3
13427,550,172,27,26,8,1.0,1,1,9.0,72,1:46:56.4,6416400.0,,,,,1
14336,582,231,64,24,13,,Р,25,0.0,21,,,,,,,23
14481,588,229,64,34,17,9.0,9,9,0.0,51,,,,,,,11
14512,589,205,32,6,19,,Н,12,0.0,49,,,,,,,62
14684,595,250,63,18,18,,Р,24,0.0,0,,,,,,,4
14685,595,314,77,23,24,,Р,25,0.0,0,,,,,,,4
14686,595,200,63,19,17,,W,26,0.0,0,,,,,,,54
14889,602,199,34,7,2,,Р,20,0.0,12,,,,,,,6
15873,642,355,66,28,24,14.0,14,14,0.0,56,,,,,,,13
16189,655,306,82,6,6,5.0,5,5,2.0,65,+50.11,6858410.0,,,,,1
16522,674,370,66,11,20,14.0,14,14,0.0,13,,,,,,,11
17522,724,401,172,4,18,8.0,8,8,0.0,14,,,,,,,11
17594,726,418,26,17,8,,Р,18,0.0,14,,,,,,,5
17639,729,455,99,16,20,,Н,14,0.0,52,,,,,,,62
18055,745,493,172,16,13,9.0,9,9,0.0,96,,,,,,,14
18090,747,360,170,10,11,2.0,2,2,6.0,100,+52.1,10477600.0,,,,,1
18115,748,510,108,99,26,3.0,3,3,4.0,200,"+3:07,30",13158660.0,,,,,1
19083,793,589,132,32,19,6.0,6,6,0.0,95,,,,,,,15
19100,793,478,131,4,0,,F,23,0.0,0,,,,,,,81
19124,794,525,114,1,11,,Р,24,0.0,90,,,,,,,48
19169,797,641,131,50,5,4.0,4,4,3.0,89,,,,,,,11
19518,812,589,127,32,25,15.0,15,15,0.0,43,,,,,,,50
19529,813,647,6,5,1,1.0,1,1,8.5,90,2:50:00.0,10200000.0,,,,,1
21142,856,153,5,19,11,7.0,7,7,6.0,55,+49.538,5931532.0,55.0,8.0,1:40.940,200.257,1
21373,865,37,164,22,20,,Р,22,0.0,0,,,,0.0,,,3
21627,876,814,10,11,16,12.0,12,12,0.0,60,+1: 22.815,5553559.0,59.0,7.0,1:29.086,207.103,1
21950,891,820,206,23,16,19.0,19,19,0.0,42,,,31.0,21.0,1:54.924,219.4,12
22425,913,807,10,27,13,9.0,9,9,2.0,60,"+1:01,661",7266456.0,27.0,10.0,1:52.762,161.703,1
22464,915,18,1,22,4,4.0,4,4,12.0,53,"+30,234",5540978.0,47.0,4.0,1:41.964,206.472,1
22874,943,20,6,5,3,,Р,18,0.0,50,,,48.0,6.0,1:21.847,189.309,3
22984,951,1,131,44,10,2.0,2,2,18.0,53,"+25,022",5587019.0,36.0,4.0,1:40.266,209.969,1
