statusid,status
3,Несчастный случай
4,Столкновение
6,Коробка передач
9,Гидравлика
11,+1 лап
12,+2 лапы
13,+3 лапы
22,Приостановление действия
27,Шины
28,Сиденье водителя
29,Прокол
33,Переднее крыло
35,Заправка топливом
36,Колесо
37,Дроссельная заслонка
38,Рулевое управление
39,Технические вопросы
41,Разбитое крыло
44,Утечка нефти
45,+11 Лапы
47,Утечка воды
48,Топливный насос
50,+17 Лапы
51,Давление масла
56,Пожар двигателя
58,+26 лап
60,Закончилось топливо
61,Колесный орех
63,Пневматические
66,Огонь
68,Физическое
69,Топливная система
71,Топливная установка
72,Контроль за запуском
74,Топливо
75,Потеря мощности
80,3.2 Зажигание
82,Увечье
84,Аккумуляторная батарея
85,Стационарная
86,Полуслойный
88,+10 лапы
90,Не возобновляется
91,Переносчик
93,Ремень безопасности
95,Утечка топлива
96,Исключено
97,Не проходил предквалификационный отбор
98,Инжекторное впрыскивание
105,Свечи зажигания
106,Топливная труба
107,Повреждение глаз
109,5.1.1 Мост
111,+14 лап
112,+15 лапы
115,+22 лапы
116,+16 лапы
118,+29 лап
122,+44 лапы
126,Сверхзарядное устройство
127,+20 лап
128,+42 лапы
131,Мощность
133,+49 лап
134,+38 лапы
