driverid,driverref,number,forename,surname,dob,nationality,url
17,Веббер,,Марк,Веббер,1976-08-27,Австралия,http://en.wikipedia.org/wiki/mark_Webber
42,Пиццония,,Антониу,Пиццония,1980-09-11,Бразилия,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia
68,Такаги,,Тораносуке,Такаги,1974-02-12,Японский,http://en.wikipedia.org/wiki/Toranosuke_Takagi
89,Внутри,,Таки,Иноуэ,1963-09-05,Японский,http://en.wikipedia.org/wiki/Taki_Inoue
92,Гахот,,Бертран,Гашот,1962-12-23,Бельгийский,http://en.wikipedia.org/wiki/Bertrand_Gachot
96,Бульон,,Жан-Кристоф,Буллион,1969-12-27,Французский,http://en.wikipedia.org/wiki/Jean- Christope_Boullion
100,комы,,Эрик,Кома,1963-09-28,Французский,http://en.wikipedia.org/wiki/%C3-89rik_Comas
143,бартелы,,Майкл,Бартелы,1968-03-08,Немецкий,http://en.wikipedia.org/wiki/Michael_Bartels
182,Славаa,,Ники,Лауда,1949-02-22,Австрия,http://en.wikipedia.org/wiki/Niki_Lauda
234,Бранкателли,,Джанфранко,Бранкателли,1950-01-18,Итальянский,http://en.wikipedia.org/wiki/Gianfranco_Brancatelli
235,инк.,,Джеки,Иккс,1945-01-01,Бельгийский,http://en.wikipedia.org/wiki/Jacky_Ickx
238,Петрсон,,Ронни,Питерсон,1944-02-14,Шведский,http://en.wikipedia.org/wiki/Ronnie_Peterson
244,Коломбо,,Альберто,Коломбо,1946-02-23,Итальянский,http://en.wikipedia.org/wiki/Alberto_Colombo
272,Такахаши,,Кунимитсу,Такахаши,1940-01-29,Японский,http://en.wikipedia.org/wiki/Kunimitsu_Takahashi
288,Донохью,,Марк,Донохью,1937-03-18,Американцы,http://en.wikipedia.org/wiki/mark_Donohue
345,Родригез,,Педро,Родригес,1940-01-18,Мексика,http://en.wikipedia.org/wiki/Pedro_Rodr%C3Adguez_(gacing_driver)
361,храбрость,,Пирс,Мужество,1942-05-27,Британские,http://en.wikipedia.org/wiki/Piers_Courage
403,Фил_хилл,,Фил,Холм,1927-04-20,Американцы,http://en.wikipedia.org/wiki/Phil_Hill
476,Поездки,,Вольфганг,фон Трипс,1928-05-04,Немецкий,http://en.wikipedia.org/wiki/Wolfgang_graf_Berghe_von_Trips
541,colushart,,Рон,Флокхарт,1923-06-16,Британские,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing)
601,Гибсон,,Дик,Гибсон,1918-04-16,Британские,http://en.wikipedia.org/wiki/Dick_Gibson
640,расфасованные,,Тулу,Граффендарный,1914-05-18,Швейцария,http://en.wikipedia.org/wiki/Toulo_de_graffenried
673,Назарук,,Майк,Назарук,1921-10-02,Американцы,http://en.wikipedia.org/wiki/Mike_Nazaruk
733,Мельник,,Чет,Миллер,1902-07-19,Американцы,http://en.wikipedia.org/wiki/Chet_Miller
753,Кленк,,Ханс,Кленк,1919-10-28,Немецкий,http://en.wikipedia.org/wiki/Hans_Klenk
762,Роль,,Франко,Рол,1908-06-05,Итальянский,http://en.wikipedia.org/wiki/Franco_Rol
782,ƒжовер,,Хуан,ƒжовер,1903-11-23,Испанский,http://en.wikipedia.org/wiki/Juan_Jover
788,Фрай,,Джо,Фрай,1915-10-26,Британские,http://en.wikipedia.org/wiki/Joe_Fry
804,Манц,,Джонни,Манц,1918-09-18,Американцы,http://en.wikipedia.org/wiki/Johny_Manz
833,Мери,98.0,Роберто,Мери,1991-03-22,Испанский,http://en.wikipedia.org/wiki/Roberto_Merhi
