raceid,driverid,lap,position,time,milliseconds
27,3,24,13,1:18.596,78596
96,2,5,11,1:34.332,94332
220,81,55,12,1:13.166,73166
10,15,47,7,1:24.199,84199
959,826,14,18,1:22.638,82638
104,22,28,4,1:22.563,82563
975,817,10,4,1:17.623,77623
8,22,46,3,1:21.979,81979
90,31,55,5,1:27.584,87584
898,813,41,15,1:43.132,103132
206,44,24,11,1:44.109,104109
47,3,7,8,1:30.252,90252
4,15,22,2,1:36.402,96402
131,31,8,2,1:18.548,78548
234,77,34,2,1:48.526,108526
880,18,55,9,1:32.448,92448
934,817,4,11,1:44.842,104842
111,52,44,15,1:25.562,85562
977,822,21,1,1:08.989,68989
917,20,13,12,1:16.579,76579
113,35,68,12,1:10.191,70191
35,10,8,11,1:27.557,87557
981,830,13,20,1:25.997,85997
930,20,14,2,1:35.928,95928
980,828,12,18,1:53.142,113142
231,55,59,3,1:24.320,84320
347,20,55,3,1:17.183,77183
943,817,59,5,1:23.131,83131
876,39,30,23,1:34.349,94349
14,17,5,4,1:49.835,109835
75,22,61,9,1:17.398,77398
226,50,34,7,1:33.352,93352
204,57,40,2,1:29.187,89187
913,815,43,14,1:55.872,115872
337,808,12,11,2:06.633,126633
43,22,31,10,1:18.323,78323
65,26,47,15,1:44.271,104271
929,807,48,12,1:40.854,100854
