driverid,driverref,number,code,forename,surname,dob,nationality,url
1,Гамильтон,44.0,ХАМ,Льюис,Гамильтон,1985-01-07,Британские,http://en.wikipedia.org/wiki/Lewis_Hamilton
18,кнопка,22.0,БОЛЕЕ,Дженсон,Кнопка,1980-01-19,Британские,http://en.wikipedia.org/wiki/Jenson_Button
75,Накано,,,Синдзи,Накано,1971-04-01,Японский,http://en.wikipedia.org/wiki/Shinji_Nakano
103,Бернард,,,Эрик,Бернар,1964-08-24,Французский,http://en.wikipedia.org/wiki/%C3-89ric_Bernard
113,Адамс,,,Филипп,Адамс,1969-11-19,Бельгийский,http://en.wikipedia.org/wiki/filippe_Adams
195,Гуэрреро,,,Роберто,Герреро,1958-11-16,Колумбия,http://en.wikipedia.org/wiki/Roberto_Gererro
268,Хейер,,,Ханс,Привет.,1943-03-16,Немецкий,http://en.wikipedia.org/wiki/Hans_Heyer
297,ладони,,,Торстен,Палм,1947-07-23,Шведский,http://en.wikipedia.org/wiki/Torsten_Palm
331,Буэно,,,Луис,Буэнос-Айрес,1937-01-16,Бразилия,http://en.wikipedia.org/wiki/Luiz_Bueno
365,Хехн,,,Юбер,Хане,1935-03-28,Немецкий,http://en.wikipedia.org/wiki/Hubert_Hahne
426,Басси,,,Джорджио,Басси,1934-01-20,Итальянский,http://en.wikipedia.org/wiki/Giorgio_Bassi
442,Кунке,,,Курт,Кунке,1910-04-30,Немецкий,http://en.wikipedia.org/wiki/Kurt_Kuhnke
522,Мрачно,,,Бобби,Скрипка,1924-09-04,Американцы,http://en.wikipedia.org/wiki/Bobby_Grim
576,Кейд,,,Фил,Кейд,1916-06-12,Американцы,http://en.wikipedia.org/wiki/Fhil_cade
596,Элисиан,,,Эд,Элизиан,1926-12-09,Американцы,http://en.wikipedia.org/wiki/Ed_Elisian
653,Деви,,,Джимми,Дейвис,1929-08-08,Американцы,http://en.wikipedia.org/wiki/Jimmy_Davies
669,Бира,,,Принц,Бира,1914-07-15,Тайский,http://en.wikipedia.org/wiki/ Prince_Bira
692,Гельфрих,,,Тео,Гельфрич,1913-05-13,Немецкий,http://en.wikipedia.org/wiki/Teo_Helfrich
750,Бруды,,,Адольф,Грубияны,1899-10-15,Немецкий,http://en.wikipedia.org/wiki/Adolf_Brudes
835,Джолион_пальмер,30.0,ПАЛ,Джолион,Палмер,1991-01-20,Британские,http://en.wikipedia.org/wiki/Jolyon_Palmer
