statusid,status
2,Дисквалифицированные
3,Несчастный случай
4,Столкновение
5,Двигатель
6,Коробка передач
7,Передача
8,Сцепление
9,Гидравлика
10,Электротехническое оборудование
12,+2 лапы
14,+4 лапы
15,+5 Лапы
18,+8 лапы
19,+9 лап
20,Отскочила.
21,Радиатор
22,Приостановление действия
23,Тормозные системы
29,Прокол
30,Водитель
31,Выбыли в отставку
34,Давление воды
35,Заправка топливом
36,Колесо
37,Дроссельная заслонка
39,Технические вопросы
40,Электроника
41,Разбитое крыло
42,Пожар теплозащитных экранов
43,Выхлоп
44,Утечка нефти
58,+26 лап
59,Прокол шины
60,Закончилось топливо
61,Колесный орех
62,Не классифицированы
64,Обработка
67,Колесный подшипник
68,Физическое
69,Топливная система
72,Контроль за запуском
73,Раненые
74,Топливо
76,Вибрации
78,Безопасность
79,Водитель
80,3.2 Зажигание
81,Не отвечает требованиям
83,Шасси
84,Аккумуляторная батарея
85,Стационарная
86,Полуслойный
87,Кранкшафт
88,+10 лапы
89,Проблемы безопасности
91,Переносчик
93,Ремень безопасности
94,Нефтяной насос
95,Утечка топлива
96,Исключено
97,Не проходил предквалификационный отбор
98,Инжекторное впрыскивание
99,Распределитель
100,Водитель нездоров
101,Турбо
102,Косяк CV
105,Свечи зажигания
106,Топливная труба
109,5.1.1 Мост
110,Водяная труба
112,+15 лапы
113,+25 лап
114,+18 Лапы
115,+22 лапы
116,+16 лапы
117,+24 лапы
118,+29 лап
119,+23 лапы
121,Магнито
122,+44 лапы
123,+30 лап
124,+19 лап
125,+46 лапы
126,Сверхзарядное устройство
128,+42 лапы
129,Пропуск зажигания в двигателе
130,Ущерб от столкновения
133,+49 лап
134,+38 лапы
135,Тормозной трубопровод
