raceid,driverid,lap,position,time,milliseconds
24,6,15,10,1:20.503,80503
101,30,25,1,1:15.735,75735
909,3,66,1,1:21.791,81791
90,13,39,10,1:29.359,89359
859,17,64,1,1:16.018,76018
345,9,37,6,1:42.630,102630
952,832,28,6,1:32.053,92053
64,14,18,12,1:19.500,79500
348,9,17,19,1:35.224,95224
206,30,22,3,1:41.655,101655
979,822,14,3,1:23.459,83459
202,64,11,11,1:25.079,85079
189,68,3,13,1:46.928,106928
890,4,64,5,1:25.907,85907
876,819,59,19,1:32.023,92023
34,12,29,9,1:37.927,97927
842,2,15,7,1:45.316,105316
885,817,19,13,1:22.502,82502
917,813,47,16,1:14.810,74810
223,79,5,22,1:28.185,88185
872,818,5,16,1:32.406,92406
68,29,40,19,1:44.665,104665
881,8,49,7,1:42.473,102473
223,14,48,2,1:24.996,84996
135,14,16,6,1:19.375,79375
936,831,32,15,1:32.743,92743
907,817,58,10,1:13.981,73981
222,35,10,2,1:40.825,100825
69,33,1,21,1:50.567,110567
974,154,27,7,1:17.318,77318
222,14,16,13,1:41.586,101586
103,2,4,14,3:02.683,182683
51,2,21,5,1:44.946,104946
951,836,43,18,1:41.907,101907
953,154,71,14,1:20.926,80926
230,64,54,6,1:54.380,114380
78,32,67,8,1:19.189,79189
197,30,24,2,1:21.487,81487
143,56,3,9,1:20.726,80726
160,14,39,4,1:28.812,88812
139,11,1,13,1:27.730,87730
874,818,37,13,1:37.818,97818
892,17,31,3,1:27.972,87972
17,2,25,8,1:41.953,101953
917,818,27,11,1:21.221,81221
44,3,11,12,1:24.179,84179
849,1,33,2,1:37.814,97814
934,807,28,8,1:38.355,98355
41,17,43,3,1:18.324,78324
144,14,42,2,1:25.941,85941
347,3,41,9,1:18.979,78979
105,47,28,18,1:45.816,105816
101,22,23,12,1:18.462,78462
353,807,45,7,1:52.180,112180
106,15,28,12,1:36.067,96067
129,35,63,8,1:11.963,71963
166,57,60,2,1:21.625,81625
936,18,49,10,1:30.781,90781
81,22,36,7,1:22.891,82891
80,17,24,13,1:19.617,79617
66,26,17,17,1:32.556,92556
71,8,21,13,1:28.149,88149
71,11,20,16,1:48.898,108898
117,51,35,18,1:20.438,80438
196,21,77,2,1:27.701,87701
841,13,13,11,1:54.060,114060
867,817,9,16,1:47.282,107282
341,16,40,8,1:27.679,87679
182,55,51,14,1:31.023,91023
66,4,11,3,1:29.427,89427
32,1,57,3,1:47.545,107545
183,44,2,19,1:22.324,82324
52,9,66,4,1:14.654,74654
179,25,25,16,1:28.651,88651
848,814,41,10,1:45.554,105554
936,832,12,11,1:30.071,90071
111,4,16,9,1:25.674,85674
68,14,2,11,1:50.662,110662
143,8,43,7,1:18.204,78204
105,4,11,4,1:34.582,94582
17,20,46,1,1:41.400,101400
225,63,10,11,1:38.986,98986
348,808,16,8,1:59.407,119407
143,49,8,5,1:18.911,78911
62,13,35,2,1:13.742,73742
958,18,57,19,1:27.437,87437
51,5,55,9,1:39.655,99655
870,1,56,1,1:26.125,86125
