circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт_парк,Гран-при Альберта Парка,Мельбурн,Австралия,-37.8497,144.968,10.0,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,Сепанг,Международный округ &lt; &lt; Сепанг &gt; &gt;,Куала-Лумпур,Малайзия,2.76083,101.738,,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,Бахрейн,Бахрейнский международный округ,Сахир,Бахрейн,26.0325,50.5106,,http://en.wikipedia.org/wiki/Bahreak_International_Circuit
4,Каталония,Барселонско-Каталунийский округ,Монмело,Испания,41.57,2.26111,,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,истанбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,http://en.wikipedia.org/wiki/Istanbul_Park
6,Монако,Оккупационный округ Монако,Монте-Карло,Монако,43.7347,7.42056,,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,Вильнюв,Цистерна Жиль Вильнев,Монреаль,Канада,45.5,-73.5228,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,Magny_cours,Округ Невер-Магни-Курс,Волшебные каучуки,Франция,46.8642,3.16361,,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,Серебряный камень,Серебряный цикл,Серебряный камень,Соединенное Королевство,52.0786,-1.01694,,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,хокенхайминг,Хокенхаймеринг,Хокенхайм,Германия,49.3278,8.56583,,http://en.wikipedia.org/wiki/Hockenheimring
11,Похмелье,Гунгаринг,Будапешт,Венгрия,47.5789,19.2486,,http://en.wikipedia.org/wiki/Hungaroring
13,СПА,Граница Спа-Франкоршам,СПА,Бельгия,50.4372,5.97139,,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,Монза,Autodromo Nazionale di Monza,Монза,Италия,45.6156,9.28111,,http://en.wikipedia.org/wiki/Autodromo_naticonale_Monza
15,marina_bay,Улица Марина-Бей,Залив Марина,Сингапур,1.2914,103.864,,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,Фуджи,Fuji Speedway,Ояма,Япония,35.3717,138.927,,http://en.wikipedia.org/wiki/Fuji_Speedway
