raceid,driverid,stop,lap,time,duration,milliseconds
841,13,2,31,17:52:28,24.500,24500
884,1,2,25,14:42:21,20.132,20132
890,818,3,50,15:18:45,23.756,23756
965,815,1,10,14:21:31,23.350,23350
930,832,1,14,14:25:58,22.859,22859
973,817,1,21,14:33:54,21.811,21811
842,15,1,13,16:27:03,25.516,25516
962,821,2,18,20:39:52,30.307,30307
845,5,3,41,15:07:42,23.068,23068
976,154,2,14,17:31:36,21.069,21069
863,807,2,19,15:36:18,22.446,22446
878,39,1,25,13:48:53,24.497,24497
881,1,3,30,16:58:00,21.549,21549
855,18,3,36,16:06:38,20.998,20998
854,4,1,10,20:23:15,30.621,30621
960,4,1,9,14:24:32,16:38.234,998234
976,822,1,1,17:07:00,36.262,36262
857,814,1,2,15:06:50,21.525,21525
945,822,3,29,17:57:10,29.592,29592
877,155,1,25,17:53:36,19.529,19529
917,13,1,5,14:09:42,23.220,23220
945,832,2,28,17:54:59,22.063,22063
874,17,2,26,15:48:48,20.691,20691
907,16,2,43,14:57:38,22.449,22449
948,817,3,42,17:32:47,21.981,21981
858,16,1,16,17:32:35,20.356,20356
850,814,1,23,14:42:05,23.676,23676
907,1,2,39,14:51:40,22.555,22555
866,10,1,24,14:36:31,25.520,25520
912,154,1,20,14:34:42,25.098,25098
885,13,1,26,14:39:26,25.331,25331
843,813,1,10,15:21:35,23.160,23160
842,4,2,26,16:49:19,23.894,23894
966,826,1,13,13:23:20,22.665,22665
891,20,1,14,14:30:58,22.685,22685
863,808,3,39,16:10:35,23.167,23167
871,10,2,25,14:58:05,20.660,20660
845,15,2,29,14:48:41,21.723,21723
883,16,2,18,15:36:08,22.199,22199
959,837,2,32,14:48:35,20.919,20919
866,30,1,13,14:20:47,21.807,21807
967,825,3,28,15:37:43,24:44.474,1484474
942,154,1,1,14:06:27,27.621,27621
894,20,1,11,15:23:22,22.662,22662
899,18,2,43,15:00:19,23.788,23788
882,818,1,15,15:30:41,20.977,20977
962,822,4,32,21:07:22,1:03.680,63680
949,8,3,37,19:04:55,25.257,25257
982,1,4,29,21:10:11,28.466,28466
928,828,2,30,14:57:12,24.589,24589
849,10,1,11,13:24:52,25.416,25416
881,821,4,51,17:35:38,22.542,22542
881,817,3,33,17:04:13,22.008,22008
855,817,3,38,16:12:53,22.910,22910
936,3,4,46,15:17:13,17.780,17780
869,5,2,31,14:46:32,18.801,18801
851,5,2,24,14:43:45,22.147,22147
914,1,3,35,16:34:00,23.677,23677
883,807,3,41,16:14:30,22.814,22814
914,817,3,36,16:36:14,25.607,25607
893,154,2,25,20:52:13,30.293,30293
914,824,1,2,15:06:44,18:53.708,1133708
916,18,1,1,14:05:32,26.806,26806
962,4,3,34,21:10:00,30.381,30381
962,815,1,1,20:06:31,32.821,32821
850,16,1,22,14:39:56,20.839,20839
901,825,3,39,17:15:37,24.415,24415
880,1,2,31,17:52:21,22.015,22015
913,813,1,11,20:25:40,29.960,29960
965,835,1,15,14:30:43,24.071,24071
902,826,2,24,18:45:46,25.340,25340
886,820,1,38,14:55:52,21.374,21374
879,30,2,8,14:15:29,22.486,22486
927,18,2,21,15:43:48,25.581,25581
849,22,2,31,13:59:02,23.955,23955
