qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
562,44,18,11,7,18,1:21.335,,
687,50,5,4,4,11,1:27.223,1:26.232,
770,54,31,1,4,6,1:34.536,1:34.568,1:34.916
1142,77,15,7,16,4,1:30.700,,
1157,77,39,17,19,19,1:36.192,,
1441,125,22,6,2,3,1:35.891,,
1954,213,50,25,19,14,1:20.102,,
2099,227,56,6,2,7,1:20.931,,
2544,254,85,30,17,23,1:20.093,,
2557,255,63,25,4,12,1:41.355,,
2687,261,105,18,24,14,1:24.996,,
3070,5,17,9,14,5,1:20.689,1:20.007,1:21.049
3419,340,810,166,25,22,1:39.783,,
3553,346,155,15,23,12,1:31.851,1:31.421,
3671,351,155,15,23,10,1:48.908,1:47.559,1:47.884
3988,119,4,4,8,8,1:16.483,,
4103,91,22,6,2,3,1:33.756,,
4120,91,11,16,10,20,,,
4561,841,39,164,22,24,1:34.293,,
4924,858,13,6,6,6,1:41.592,1:39.623,1:39.695
4998,861,4,6,5,9,1:38.151,1:37.379,1:37.566
5543,884,18,1,5,14,1:23.166,1:22.355,
6082,909,3,131,6,1,1:17.631,1:17.109,1:16.540
6119,910,824,206,17,16,1:26.728,1:27.419,
6537,938,826,9,26,14,1:25.742,1:25.796,
7027,963,835,4,30,19,1:35.999,,
7056,965,830,9,33,4,1:36.613,1:36.857,1:35.747
7101,967,817,9,3,6,1:12.409,1:12.047,1:11.540
