managerid,awardid,yearid,lgid,tie,notes
coxbo01m,TSN Manager of the Year,1999,NL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
martibi02m,TSN Manager of the Year,1981,ML,,
coxbo01m,TSN Manager of the Year,1991,NL,,
larusto01m,TSN Manager of the Year,1992,AL,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
andersp01m,TSN Manager of the Year,1987,AL,,
bowala01m,BBWAA Manager of the year,2001,NL,,
coxbo01m,TSN Manager of the Year,2003,NL,,
girarjo01m,TSN Manager of the Year,2006,NL,,
tannech01m,TSN Manager of the Year,1972,ML,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
alstowa01m,TSN Manager of the Year,1963,ML,,
johnsda02m,TSN Manager of the Year,1997,AL,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
virdobi01m,TSN Manager of the Year,1974,ML,,
murtada01m,TSN Manager of the Year,1960,ML,,
houkra01m,TSN Manager of the Year,1961,ML,,
manueje01m,BBWAA Manager of the year,2000,AL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
leylaji99m,TSN Manager of the Year,2006,AL,,
andersp01m,BBWAA Manager of the year,1984,AL,,
virdobi01m,TSN Manager of the Year,1980,ML,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
freyji99m,BBWAA Manager of the year,1984,NL,,
melesa01m,TSN Manager of the Year,1965,ML,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
johnsda01m,TSN Manager of the Year,1975,ML,,
weaveea99m,TSN Manager of the Year,1979,ML,,
southbi01m,TSN Manager of the Year,1942,ML,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
dyered01m,TSN Manager of the Year,1946,ML,,
lasorto01m,TSN Manager of the Year,1988,NL,,
torrejo01m,BBWAA Manager of the year,1996,AL,Y,
harribu01m,TSN Manager of the Year,1947,ML,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
penato01m,TSN Manager of the Year,2003,AL,,
stengca01m,TSN Manager of the Year,1949,ML,,
freyji99m,TSN Manager of the Year,1984,ML,,
kellyto01m,TSN Manager of the Year,1991,AL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
lanieha01m,TSN Manager of the Year,1986,NL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
larusto01m,BBWAA Manager of the year,2002,NL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
herzowh01m,TSN Manager of the Year,1982,ML,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
foxch01m,TSN Manager of the Year,1971,ML,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
coxbo01m,TSN Manager of the Year,2004,NL,,
smithma01m,TSN Manager of the Year,1968,ML,,
andersp01m,BBWAA Manager of the year,1987,AL,,
bambege01m,TSN Manager of the Year,1978,ML,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
keanejo99m,TSN Manager of the Year,1964,ML,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
williji03m,TSN Manager of the Year,1999,AL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
stanked01m,TSN Manager of the Year,1952,ML,,
robinfr02m,TSN Manager of the Year,1989,AL,,
rignebi01m,TSN Manager of the Year,1962,ML,,
larusto01m,TSN Manager of the Year,1983,ML,,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
bluegos01m,TSN Manager of the Year,1945,ML,,
larusto01m,BBWAA Manager of the year,1983,AL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
alstowa01m,TSN Manager of the Year,1959,ML,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
gardero01m,BBWAA Manager of the year,2010,AL,,
showabu99m,BBWAA Manager of the year,2004,AL,,
manueje01m,TSN Manager of the Year,2000,AL,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
stengca01m,TSN Manager of the Year,1958,ML,,
williji03m,BBWAA Manager of the year,1999,AL,,
bochybr01m,TSN Manager of the Year,1998,NL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
stengca01m,TSN Manager of the Year,1953,ML,,
coxbo01m,TSN Manager of the Year,1985,ML,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
murtada01m,TSN Manager of the Year,1970,ML,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
penato01m,BBWAA Manager of the year,2003,AL,,
melvibo01m,TSN Manager of the Year,2007,NL,,
mauchge01m,TSN Manager of the Year,1973,ML,,
durocle01m,TSN Manager of the Year,1954,ML,,
alstowa01m,TSN Manager of the Year,1955,ML,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
durocle01m,TSN Manager of the Year,1939,ML,,
torrejo01m,TSN Manager of the Year,1998,AL,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
guilloz01m,TSN Manager of the Year,2005,AL,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
rolfere01m,TSN Manager of the Year,1950,ML,,
durocle01m,TSN Manager of the Year,1951,ML,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
bowala01m,TSN Manager of the Year,2001,NL,,
bochybr01m,BBWAA Manager of the year,1996,NL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
leylaji99m,TSN Manager of the Year,1990,NL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
