yearid,teamid,lgid,playerid,salary
1999,SEA,AL,weaveer01,200000
1994,MON,NL,grissma02,3575000
1993,LAN,NL,strawda01,3800000
2003,PIT,NL,wellski01,370000
1994,DET,AL,flahejo01,140000
1988,NYA,AL,washicl01,480000
2010,LAN,NL,broxtjo01,4000000
1996,DET,AL,fieldce01,9237500
1988,DET,AL,trammal01,1000000
1992,SEA,AL,jonesca01,132500
2002,SFN,NL,fultzaa01,300000
2001,PIT,NL,arroybr01,225000
1985,LAN,NL,diazca01,120000
2010,CHN,NL,marshse01,950000
2011,MIN,AL,buterdr01,429000
2003,CHN,NL,aloumo01,9500000
2008,ARI,NL,petityu01,394000
2005,LAA,AL,greggke01,360000
1995,TEX,AL,worthcr01,205000
1989,PHI,NL,howelke01,225000
1986,SDN,NL,mcculla01,72000
2012,SEA,AL,ramirer01,480000
2005,WAS,NL,osunaan01,800000
1991,PHI,NL,akerfda01,165000
1989,SFN,NL,garresc01,706000
2012,NYA,AL,pinedmi01,528475
1990,MIN,AL,berenju01,750000
1992,BOS,AL,naehrti01,145000
2010,ATL,NL,pradoma01,440000
1998,OAK,AL,leshebr01,174000
1985,BOS,AL,clearma01,580000
2003,FLO,NL,cabremi01,165574
1992,NYN,NL,murraed02,4125000
2005,PIT,NL,castijo02,327000
1996,NYN,NL,clarkma01,1100000
1990,CHA,AL,guilloz01,1000000
2000,ANA,AL,hillke01,5600000
1990,LAN,NL,sharpmi01,135000
1995,TEX,AL,cookde01,440000
2012,CLE,AL,gomezje01,482700
1999,HOU,NL,caminke01,4500000
1997,CHA,AL,darwida01,475000
1991,CAL,AL,polonlu01,845000
2005,COL,NL,jennija01,2400000
2012,ATL,NL,francju02,480000
2008,MIN,AL,nathajo01,6000000
1999,MON,NL,mordemi01,325000
1991,SEA,AL,delucri01,100000
1995,BAL,AL,husonje01,265000
1993,TEX,AL,redusga01,500000
1998,CIN,NL,belinst01,835000
2000,TBA,AL,coxst01,200000
1996,TEX,AL,stevele01,109000
2009,KCA,AL,dejesda01,3600000
2011,ARI,NL,blanche01,1000000
2011,TEX,AL,blancan01,520000
2012,OAK,AL,mccarbr01,4275000
2005,SFN,NL,hergema01,1600000
1988,ATL,NL,jamesdi01,360000
2001,LAN,NL,shawje01,6383333
1992,CHA,AL,fernaal01,373333
2011,SEA,AL,fistedo01,436500
1993,CLE,AL,ortizju01,395000
1995,MIN,AL,lawtoma02,109000
2011,NYA,AL,cervefr01,455700
1989,CLE,AL,wojnaed01,77500
2000,BAL,AL,rapppa01,750000
1993,FLO,NL,santibe01,3400000
1985,PIT,NL,thompja01,1066667
1999,ARI,NL,swindgr01,1333333
1996,CAL,AL,langsma01,5000000
2010,HOU,NL,sullico01,700000
2003,HOU,NL,berkmla01,3500000
2004,SLN,NL,lunahe01,300000
2012,BAL,AL,reynoma01,7833333
1989,BOS,AL,romered01,68000
2004,FLO,NL,phelpto01,307500
2001,SDN,NL,kotsama01,2125000
1999,CHN,NL,moranmi01,2000000
1995,NYN,NL,bogarti01,165000
2001,CIN,NL,larueja01,235000
2012,SDN,NL,owingmi01,500000
1997,FLO,NL,mantema01,225000
2000,COL,NL,mantoje01,450000
2006,ARI,NL,grimsja01,825000
2010,FLO,NL,carrobr01,403500
1987,CIN,NL,conceda01,320000
2006,FLO,NL,treanma01,327000
2003,ATL,NL,hodgetr01,300000
2004,PHI,NL,liebemi01,7500000
1992,CHA,AL,thomafr04,620000
2006,ARI,NL,meddebr01,327000
2006,CHN,NL,millewa04,1000000
2004,MIN,AL,radkebr01,10750000
2011,SEA,AL,kennead01,750000
2010,FLO,NL,nunezle01,2000000
1996,SLN,NL,parreje01,675000
1987,NYA,AL,arnsbbr01,68000
2003,NYA,AL,anderja01,300000
2005,FLO,NL,coninje01,3000000
1995,OAK,AL,vanpoto01,397000
2009,LAA,AL,napolmi01,2000000
1995,BOS,AL,mcgeewi01,300000
1998,ANA,AL,anderga01,1500000
1998,ANA,AL,bolicfr01,178000
1998,ANA,AL,delucri01,400000
1998,ANA,AL,dicksja01,295000
1998,ANA,AL,disarga01,2800000
1998,ANA,AL,edmonji01,3175000
1998,ANA,AL,eenhoro01,182500
1998,ANA,AL,encaran01,180000
1998,ANA,AL,erstada01,550000
1998,ANA,AL,fieldce01,2800000
1998,ANA,AL,finlech01,5000000
1998,ANA,AL,garcica01,182500
1998,ANA,AL,glaustr01,170000
1998,ANA,AL,greento02,200000
1998,ANA,AL,harripe01,226500
1998,ANA,AL,hasegsh01,790000
1998,ANA,AL,hillke01,5000000
1998,ANA,AL,hollida01,1900000
1998,ANA,AL,holtzmi01,226500
1998,ANA,AL,jamesmi01,700000
1998,ANA,AL,martino01,425000
1998,ANA,AL,mashoda01,210000
1998,ANA,AL,mcdowja01,1500000
1998,ANA,AL,nevinph01,210000
1998,ANA,AL,olivaom01,1150000
1998,ANA,AL,palmeor01,189000
1998,ANA,AL,percitr01,1125000
1998,ANA,AL,pritcch01,171000
1998,ANA,AL,salmoti01,5000000
1998,ANA,AL,schmije01,170000
1998,ANA,AL,velarra01,850000
1998,ANA,AL,walbema01,700000
1998,ANA,AL,watsoal01,2900000
1998,ANA,AL,wilsotr01,225000
1998,ARI,NL,adamsjo02,210000
1998,ARI,NL,anderbr02,775000
1998,ARI,NL,batisto01,210000
1998,ARI,NL,bellja01,5000000
1998,ARI,NL,benesan01,6450000
1998,ARI,NL,benitya01,195000
1998,ARI,NL,blairwi01,3250000
1998,ARI,NL,bredebr01,190000
1998,ARI,NL,browsc01,225000
1996,CIN,NL,schoupe01,3300000
1992,PIT,NL,walkbo01,2025000
1987,PIT,NL,robinje01,180000
2012,MIA,NL,coghlch01,500000
2001,HOU,NL,cruzne01,285000
2009,ATL,NL,nortogr01,800000
2011,TOR,AL,campsh01,2250000
1985,BOS,AL,gedmari01,477500
2004,CHA,AL,schoesc01,1725000
2007,CHN,NL,wuertmi01,415000
1993,CLE,AL,martica02,500000
1993,HOU,NL,beller01,145000
1989,KCA,AL,pecotbi01,85000
1995,HOU,NL,stankan01,145000
2012,BAL,AL,markani01,12350000
1995,SEA,AL,newfima01,115000
1995,NYA,AL,macdobo01,260000
2003,NYA,AL,willibe02,12357143
1998,BOS,AL,buforda01,460000
1986,TEX,AL,willimi02,60000
2004,COL,NL,burnije01,1250000
2011,SDN,NL,luebkco01,415600
1995,FLO,NL,whitmda02,132000
1991,LAN,NL,candejo01,830000
2002,MON,NL,lloydgr01,3000000
2011,HOU,NL,pencehu01,6900000
2011,MIL,NL,hawkila01,4250000
1988,CAL,AL,petryda01,785000
2004,ANA,AL,guerrvl01,11000000
1990,PIT,NL,chambwe01,100000
1998,FLO,NL,counscr01,185000
1991,TOR,AL,timlimi01,100000
1996,TEX,AL,clarkwi02,5657365
1999,CHN,NL,gaettga01,2000000
1999,SLN,NL,mcgeewi01,1000000
2003,ARI,NL,batismi01,3375000
2010,SLN,NL,larueja01,950000
1998,MIL,NL,valenjo03,2136095
2011,BAL,AL,leede02,7250000
2006,PHI,NL,gordoto01,4500000
1985,NYA,AL,griffke01,1075000
1988,SFN,NL,hammaat01,750000
2002,HOU,NL,mathetj01,1000000
1999,LAN,NL,brumfja01,385000
1996,PHI,NL,rolensc01,109000
1986,ATL,NL,samplbi01,470000
2010,ARI,NL,boyerbl01,725000
2008,BAL,AL,cabreda01,2875000
1988,MIN,AL,newmaal01,100000
1987,NYA,AL,pedrial01,62500
2010,ARI,NL,gutieju01,411000
1993,ATL,NL,averyst01,560000
2012,CHN,NL,maholpa01,4250000
1991,SLN,NL,thompmi02,1516667
1993,BOS,AL,harrigr01,1500000
1991,TEX,AL,daughja01,205000
1996,MIN,AL,halech01,175000
1998,OAK,AL,mcdonja02,174000
2005,CLE,AL,davisja02,341700
1988,ATL,NL,hallal02,250000
2012,MIL,NL,ishiktr01,525000
1998,TBA,AL,santaju01,197500
1989,HOU,NL,davisgl01,1085000
1993,NYN,NL,manzajo01,109000
1989,CIN,NL,robinro01,350000
2011,MIL,NL,almoner01,414000
1992,NYA,AL,meulehe01,132500
2005,ATL,NL,jordabr01,600000
1994,SDN,NL,valenfe01,275000
2012,HOU,NL,weilaky01,481500
1996,MIN,AL,mahompa01,202500
1986,KCA,AL,saberbr01,925000
2004,ARI,NL,alomaro01,1000000
1988,PHI,NL,thompmi02,240000
2004,SLN,NL,tagucso01,1200000
2010,SLN,NL,molinya01,4312500
1994,BAL,AL,pennibr01,130000
1985,SFN,NL,laskebi01,355000
1991,CIN,NL,larkiba01,2100000
2005,MIL,NL,cirilje01,316000
1993,NYA,AL,kamiesc01,150000
2010,FLO,NL,rossco01,4450000
1990,NYA,AL,balbost01,900000
1996,CHA,AL,magrajo01,175000
1996,ML4,AL,fettemi01,1700000
1990,PHI,NL,herrto01,825000
2003,MIN,AL,gomezch02,500000
1994,CHN,NL,veresra01,160000
2002,FLO,NL,castrra01,216000
2010,HOU,NL,norribu01,401000
1998,HOU,NL,aloumo01,5020000
1995,MIN,AL,coleal01,500000
1996,SLN,NL,ludwier01,109000
2006,ATL,NL,gilesma01,3850000
2007,FLO,NL,jacobmi02,380000
1990,TOR,AL,virgioz02,275000
2008,BOS,AL,okajihi01,1275000
2006,DET,AL,rogerke01,8000000
1997,KCA,AL,bellja01,5000000
2008,DET,AL,verlaju01,1130000
2005,SFN,NL,lowryno01,322500
1995,TOR,AL,guzmaju01,2800000
1992,HOU,NL,gonzalu01,285000
2002,CHA,AL,johnsma02,320000
2002,LAN,NL,perezod01,625000
2011,BOS,AL,camermi01,7750000
1993,COL,NL,younger01,120000
1986,CHA,AL,kittlro01,400000
1989,BOS,AL,evansdw01,1100000
2008,SEA,AL,garcian01,390000
1985,DET,AL,morrija02,885000
2005,HOU,NL,brunter01,335000
2002,BAL,AL,roberwi01,260000
2012,DET,AL,martelu01,480000
1987,NYN,NL,lyonsba01,62500
2012,NYA,AL,aardsda01,500000
1989,TEX,AL,sosasa01,68000
2008,TOR,AL,hillaa01,410000
2003,FLO,NL,nealbl01,300000
1985,SLN,NL,jorgemi01,200000
2010,LAA,AL,santaer01,6000000
1997,ML4,AL,nilssda01,2700000
1998,LAN,NL,hollato01,700000
2003,SEA,AL,suzukic01,4666667
2012,OAK,AL,godfrgr01,480000
1996,ML4,AL,jahajo01,1100000
1995,ML4,AL,slusajo01,109000
1997,SFN,NL,vanlawi01,295000
1993,ML4,AL,fettemi01,240000
2003,SFN,NL,perezne01,1500000
2010,WAS,NL,batismi01,1000000
2000,BOS,AL,fryeje01,2500000
1994,MON,NL,walkela01,4025000
2003,FLO,NL,castrra01,300000
2010,LAN,NL,blakeca01,6250000
2004,NYN,NL,piazzmi01,16071429
1987,MIN,AL,berenju01,152500
2001,TEX,AL,davisdo02,250000
2011,MIN,AL,sloweke01,2700000
2012,BOS,AL,youklke01,12250000
1994,CIN,NL,greenwi01,125000
1985,TOR,AL,martibu01,356300
1985,TEX,AL,hootobu01,565000
1997,SFN,NL,thompro01,375000
2000,SEA,AL,garcifr02,325000
2007,LAN,NL,martiru01,387500
1997,SFN,NL,vizcajo01,2800000
1996,HOU,NL,hartgde01,130000
1995,NYN,NL,floredo01,109000
1995,SLN,NL,osbordo01,250000
2001,ATL,NL,verasqu01,3900000
2005,OAK,AL,blantjo01,316500
2003,SFN,NL,schmija01,5937500
2010,HOU,NL,myersbr01,3100000
1999,NYN,NL,lopezlu02,575000
2003,ARI,NL,mccraqu01,1750000
2004,CHN,NL,maddugr01,6000000
2012,PIT,NL,correke01,4000000
2012,MIL,NL,hartco01,9333333
1994,CHA,AL,raineti01,3650000
2003,LAN,NL,loducpa01,2636667
1996,CIN,NL,saboch01,200000
1991,CIN,NL,benzito01,705000
1999,ANA,AL,finlech01,5800000
1992,SDN,NL,lampkto01,116500
1994,CAL,AL,leitema01,600000
1992,TOR,AL,hentgpa01,109000
2003,LAN,NL,wardda01,1350000
1995,CHN,NL,hernajo01,135000
2010,PHI,NL,ruizca01,1900000
1998,ARI,NL,suppaje01,214000
2008,PHI,NL,durbich01,900000
2000,CLE,AL,alomaro01,7196656
2002,TEX,AL,perryhe01,900000
1999,HOU,NL,wagnebi02,2250000
2002,PIT,NL,vogelry01,212500
1999,OAK,AL,velanjo01,201000
2008,KCA,AL,germaes01,1000000
2003,COL,NL,ozunapa01,300000
2008,OAK,AL,duchsju01,1200000
