schoolid,schoolname,schoolcity,schoolstate,schoolnick
bakerks,Baker University,Baldwin City,KS,Wildcats
sfcc,South Florida Community College,Avon Park,FL,Panthers
charleswv,University of Charleston,Charleston,WV,Golden Eagles
rhodestn,Rhodes College,Memphis,TN,Lynx
brdgwatrva,Bridgewater College,Bridgewater,VA,Eagles
eutah,College of Eastern Utah,Price,UT,Golden Eagles
fresnost,"California State University, Fresno",Fresno,CA,Bulldogs
semost,Southeast Missouri State University,Cape Girardeau,MO,Red Hawks
nmhighland,New Mexico Highlands University,Las Vegas,NM,Cowboys
betheltn,Bethel College,McKenzie,TN,Royals
laverneca,University of La Verne,La Verne,CA,Leopards
andersonsc,Anderson College,Anderson,SC,Trojans
chicagost,Chicago State University,Chicago,IL,Cougars
ferrisst,Ferris State University,Big Rapids,MI,Bulldogs
clevst,Cleveland State University,Cleveland,OH,Vikings
bridgeport,University of Bridgeport,Bridgeport,CT,Purple Knights
indiana,Indiana University,Bloomington,IN,Hoosiers
ccri,Community College of Rhode Island,Warwick,RI,Knights
wminsterpa,Westminster College,New Wilmington,PA,Titans
maine,University of Maine,Orono,ME,Black Bears
philsmith,Philander Smith College,Little Rock,AR,Panthers
delawarest,Delaware State University,Dover,DE,Hornets
savcolad,Savannah College of Art and Design,Savannah,GA,Bees
utep,University of Texas at El Paso,El Paso,TX,Miners
biolaca,Biola University,La Mirada,CA,Eagles
willamette,Willamette University,Salem,OR,Bearcats
ursinus,Ursinus College,Collegeville,PA,Bears
sacstate,"California State University, Sacramento",Sacramento,CA,Hornets
utarl,University of Texas at Arlington,Arlington,TX,Mavericks
sflorida,University of South Florida,Tampa,FL,Bulls
shorterga,Shorter College,Rome,GA,Hawks
hofstra,Hofstra University,Hempstead,NY,Pride
oregonst,Oregon State University,Corvallis,OR,Beavers
pbsc,Palm Beach State College,Lake Worth,FL,Panthers
vcu,Virginia Commonwealth University,Richmond,VA,Rams
lockhaven,Lock Haven University of Pennsylvania,Lock Haven,PA,Bald Eagles
whitmanwa,Whitman College,Walla Walla,WA,Missionaries
cornell,Cornell University,Ithaca,NY,Big Red
pace,Pace University,New York,NY,Setters
georgemas,George Mason University,Fairfax,VA,Patriots
williamsma,Williams College,Williamston,MA,Ephs
tamukvill,Texas A&M University-Kingsville,Kingsville,TX,Javelinas
quincy,Quincy University,Quincy,IL,Hawks
salabama,University of South Alabama,Mobile,AL,Jaguars
riponwi,Ripon College,Ripon,WI,Red Hawks
nalabama,University of North Alabama,Florence,AL,Lions
ilcollege,Illinois College,Jacksonville,IL,Blueboys
lewisil,Lewis University,Romeoville,IL,Flyers
alcornst,Alcorn State University,Lorman,MS,Braves
hawaiihilo,University of Hawaii at Hilo,Hilo,HI,Vulcans
iupufw,Indiana University-Purdue University Fort Wayne,Fort Wayne,IN,Mastodons
newyorku,New York University,New York,NY,Violets
stjosephs,Saint Joseph's University,Philadelphia,PA,Hawks
emoryga,Emory University,Atlanta,GA,Eagles
shepherdwv,Shepherd College,Shepherdstown,WV,Rams
memphis,University of Memphis,Memphis,TN,Tigers
washburn,Washburn University of Topeka,Topeka,KS,Ichabods
portlandst,Portland State University,Portland,OR,Vikings
coloradost,Colorado State University,Fort Collins,CO,Rams
franklinin,Franklin College,Franklin,IN,Grizzlies
haskellks,Haskell Indian Nations University,Lawrence,KS,Indians
columbia,Columbia University,New York,NY,Lions
oregon,University of Oregon,Eugene,OR,Ducks
manhattan,Manhattan College,Riverdale,NY,Jaspers
mtolive,Mount Olive College,Mount Olive,NC,Trojans
grcanyon,Grand Canyon University,Phoenix,AZ,Antelopes
stxavieril,Saint Xavier University,Chicago,IL,Cougars
indianapa,Indiana University of Pennsylvania,Indiana,PA,Indians
murrayst,Murray State University,Murray,KY,Thoroughbreds
highpoint,High Point University,High Point,NC,Panthers
silledward,Southern Illinois University Edwardsville,Edwardsville,IL,Cougars
richmond,University of Richmond,Richmond,VA,Spiders
albany,"University at Albany, State University of New York",Albany,NY,Great Danes
chapmanca,Chapman University,Orange,CA,Panthers
baconeok,Bacone College,Muskogee,OK,Warriors
elizbthtwn,Elizabethtown College,Elizabethtown,PA,Blue Jays
lehigh,Lehigh University,Bethlehem,PA,Mountain Hawks
lemoynowen,LeMoyne-Owen College,Memphis,TN,Magicians
bloomsburg,Bloomsburg University of Pennsylvania,Bloomsburg,PA,Huskies
bucknell,Bucknell University,Lewisburg,PA,Bison
wmichigan,Western Michigan University,Kalamazoo,MI,Broncos
ohdominican,Ohio Dominican University,Columbus,OH,Panthers
millikin,Millikin University,Decatur,IL,Big Blue
lanecol,Lane College,Jackson,TN,Dragons
lsu,Louisiana State University,Baton Rouge,LA,Tigers
tennst,Tennessee State University,Nashville,TN,Tigers
drake,Drake University,Des Moines,IA,Bulldogs
harding,Harding University,Searcy,AR,Bison
ecentralok,East Central University,Ada,OK,Tigers
wconnst,Western Connecticut State University,Danbury,CT,Colonials
pugetsound,University of Puget Sound,Tacoma,WA,Loggers
chicago,University of Chicago,Chicago,IL,Maroons
ulala,University of Louisiana at Lafayette,Lafayette,LA,Ragin' Cajuns
stmartinwa,Saint Martin's College,Lacey,WA,Saints
samford,Samford University,Birmingham,AL,Bulldogs
