managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
hatfijo01m,1873,NY2,NA,1,28,11,17,4,Y
zimmedo01m,1980,BOS,AL,1,155,82,73,4,N
corrire01m,1950,CHA,AL,2,125,52,72,6,N
eliale01m,1988,PHI,NL,1,153,60,92,6,N
mutriji99m,1886,NY1,NL,1,124,75,44,3,N
lopezal01m,1959,CHA,AL,1,156,94,60,1,N
varshga01m,2004,PHI,NL,2,2,1,1,2,N
hargrmi01m,1999,CLE,AL,1,162,97,65,1,N
girarjo01m,2011,NYA,AL,1,162,97,65,1,N
murtada01m,1964,PIT,NL,1,162,80,82,6,N
williji99m,1884,SL4,AA,1,85,51,33,4,N
lasorto01m,1990,LAN,NL,1,162,86,76,2,N
bristda99m,1969,CIN,NL,1,163,89,73,3,N
farreja02m,1881,PRO,NL,1,51,24,27,2,Y
mccarjo99m,1931,NYA,AL,1,155,94,59,2,N
tannech01m,1975,CHA,AL,1,161,75,86,5,N
durocle01m,1953,NY1,NL,1,155,70,84,5,N
hodgegi01m,1970,NYN,NL,1,162,83,79,3,N
gleaski01m,1919,CHA,AL,1,140,88,52,1,N
mckeoja99m,1998,CIN,NL,1,162,77,85,4,N
ensje01m,1929,PIT,NL,2,35,21,14,2,N
johnsda02m,2000,LAN,NL,1,162,86,76,2,N
oneilst01m,1952,PHI,NL,2,91,59,32,4,N
mcgrajo01m,1919,NY1,NL,1,140,87,53,2,N
mcgrajo01m,1902,NY1,NL,3,65,25,38,8,Y
duffyhu01m,1901,MLA,AL,1,139,48,89,8,Y
greenda02m,1996,NYN,NL,1,131,59,72,4,N
cronijo01m,1935,BOS,AL,1,154,78,75,4,Y
alstowa01m,1965,LAN,NL,1,162,97,65,1,N
hackst01m,1956,CHN,NL,1,157,60,94,8,N
mckecbi01m,1925,PIT,NL,1,153,95,58,1,N
ryanco01m,1977,TEX,AL,3,6,2,4,2,N
clarkfr01m,1901,PIT,NL,1,140,90,49,1,Y
corrapa01m,1986,CLE,AL,1,163,84,78,5,N
meyerbi01m,1949,PIT,NL,1,154,71,83,6,N
andersp01m,1972,CIN,NL,1,154,95,59,1,N
leadlbo99m,1888,DTN,NL,2,40,19,19,5,N
robinwi01m,1916,BRO,NL,1,156,94,60,1,N
colliji01m,1906,BOS,AL,1,115,35,79,8,Y
craigro01m,1978,SDN,NL,1,162,84,78,4,N
muserto01m,1998,KCA,AL,1,161,72,89,3,N
stengca01m,1956,NYA,AL,1,154,97,57,1,N
fregoji01m,1978,CAL,AL,2,117,62,55,2,N
robinfr02m,1982,SFN,NL,1,162,87,75,3,N
mccarjo99m,1928,CHN,NL,1,154,91,63,3,N
lamonge01m,1993,CHA,AL,1,162,94,68,1,N
murtada01m,1963,PIT,NL,1,162,74,88,8,N
fregoji01m,2000,TOR,AL,1,162,83,79,3,N
lemonbo01m,1981,NYA,AL,2,25,11,14,6,N
johnsda02m,1999,LAN,NL,1,162,77,85,3,N
boudrlo01m,1960,CHN,NL,2,139,54,83,7,N
mckeoja99m,1989,SDN,NL,1,162,89,73,2,N
hardeme01m,1961,CLE,AL,2,1,1,0,5,N
shawkbo01m,1930,NYA,AL,1,154,86,68,3,N
