yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
1981,NWDIV,garvest01,LAN,NL,5,19,4,7,0,1,2,4,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1946,WS,brazlal01,SLN,NL,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1915,WS,shoreer01,BOS,AL,2,5,0,1,0,0,0,0,0,0.0,0,3,0.0,0.0,1.0,0.0,0.0
1946,WS,dimagdo01,BOS,AL,7,27,2,7,3,0,0,3,0,0.0,2,2,0.0,0.0,1.0,0.0,3.0
1971,NLCS,sanguma01,PIT,NL,4,15,1,4,0,0,0,1,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1888,WS,oneilti01,SL4,AA,10,37,8,9,1,0,2,11,0,,6,3,0.0,,,,
1987,WS,violafr01,MIN,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1993,ALCS,lavalmi01,CHA,AL,2,3,0,1,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2000,NLCS,benesan01,SLN,NL,1,3,1,1,0,0,0,0,0,0.0,0,2,0.0,0.0,1.0,0.0,0.0
2010,NLDS1,nixla01,CIN,NL,1,3,1,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1998,NLDS2,hidalri01,HOU,NL,1,4,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1924,WS,jonnacl01,NY1,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,NLDS2,fieldpr01,MIL,NL,4,14,1,1,0,0,1,2,0,0.0,2,5,2.0,0.0,0.0,1.0,0.0
2006,ALDS1,monrocr01,DET,AL,4,16,3,3,1,0,2,3,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1929,WS,simmoal01,PHA,AL,5,20,6,6,1,0,2,5,0,0.0,1,4,0.0,0.0,0.0,1.0,0.0
1939,WS,gordojo01,NYA,AL,4,14,1,2,0,0,0,1,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1998,NLDS2,henrydo01,HOU,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2002,ALDS1,coomero01,NYA,AL,1,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1998,WS,sweenma01,SDN,NL,3,3,0,2,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1972,NLCS,blassst01,PIT,NL,2,6,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,1.0
1911,WS,mathech01,NY1,NL,3,7,0,2,0,0,0,0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
1964,WS,howarel01,NYA,AL,7,24,5,7,1,0,0,2,0,0.0,4,6,2.0,1.0,0.0,0.0,1.0
1973,ALCS,grichbo01,BAL,AL,5,20,1,2,0,0,1,1,0,0.0,2,5,0.0,0.0,0.0,0.0,0.0
1987,NLCS,milneed01,SFN,NL,6,7,0,1,0,0,0,0,0,0.0,0,3,0.0,0.0,1.0,0.0,0.0
1996,NLDS2,smithoz01,SLN,NL,2,3,1,1,0,0,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
2001,WS,hitchst01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1939,WS,hildeor01,NYA,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1996,NLCS,osbordo01,SLN,NL,2,3,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1952,WS,holmeto01,BRO,NL,3,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,NLCS,lambmi01,HOU,NL,2,5,2,2,0,0,2,2,0,0.0,1,1,0.0,0.0,0.0,0.0,1.0
1944,WS,falloge01,SLN,NL,2,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1978,NLCS,bakerdu01,LAN,NL,4,15,1,7,2,0,0,1,0,0.0,3,0,0.0,0.0,0.0,0.0,1.0
2008,NLDS2,torresa01,MIL,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1999,NLCS,jonesan01,ATL,NL,6,23,5,5,0,0,0,1,0,1.0,4,3,0.0,0.0,1.0,0.0,1.0
2010,NLDS1,utleych01,PHI,NL,3,11,3,3,0,0,1,4,1,0.0,0,2,0.0,1.0,0.0,1.0,0.0
2008,NLDS1,dempsry01,CHN,NL,1,2,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1928,WS,maranra01,SLN,NL,4,13,2,4,1,0,0,0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0
2012,ALCS,pettian01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,,,,,
2004,NLDS2,perezed02,ATL,NL,3,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2009,NLCS,lidgebr01,PHI,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2000,WS,polonlu01,NYA,AL,2,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,NLDS1,maddugr01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,ALCS,kotsama01,BOS,AL,7,30,1,7,3,0,0,0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0
2004,ALDS1,cabreor01,BOS,AL,3,13,1,2,1,0,0,3,0,0.0,2,2,0.0,0.0,0.0,0.0,0.0
2005,NLDS2,francju01,ATL,NL,3,9,0,2,0,0,0,0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
1958,WS,bauerha01,NYA,AL,7,31,6,10,0,0,4,8,0,0.0,0,5,0.0,0.0,0.0,0.0,1.0
2008,WS,utleych01,PHI,NL,5,18,5,3,0,0,2,4,3,0.0,5,5,1.0,1.0,0.0,0.0,0.0
1911,WS,beckebe01,NY1,NL,3,3,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
1983,NLCS,hudsoch02,PHI,NL,1,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1989,WS,rileser01,SFN,NL,4,8,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1989,ALCS,leema02,TOR,AL,2,8,2,2,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1926,WS,jonessa01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2009,WS,molinjo01,NYA,AL,2,2,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2001,ALDS2,tejadmi01,OAK,AL,5,21,1,6,3,0,0,1,0,0.0,0,3,0.0,1.0,0.0,1.0,0.0
1974,NLCS,auerbri01,LAN,NL,1,1,0,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1941,WS,hermabi01,BRO,NL,4,8,0,1,0,0,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
1974,NLCS,taverfr01,PIT,NL,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0
2005,WS,ausmubr01,HOU,NL,4,16,1,4,1,0,0,0,0,0.0,1,3,0.0,1.0,1.0,0.0,1.0
1986,NLCS,ashbyal01,HOU,NL,6,23,2,3,1,0,1,2,0,0.0,2,1,0.0,0.0,0.0,0.0,1.0
1998,NLDS2,hoffmtr01,SDN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1974,ALCS,grichbo01,BAL,AL,4,16,2,4,1,0,1,2,0,0.0,0,1,0.0,0.0,0.0,0.0,1.0
1910,WS,reulbed01,CHN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1995,ALDS1,loftoke01,CLE,AL,3,13,1,2,0,0,0,0,0,0.0,1,3,0.0,1.0,0.0,0.0,0.0
1954,WS,heganji01,CLE,AL,4,13,1,2,1,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1996,WS,jonesch06,ATL,NL,6,21,3,6,3,0,0,3,1,0.0,4,2,0.0,0.0,0.0,1.0,1.0
2006,ALDS1,damonjo01,NYA,AL,4,17,3,4,0,0,1,3,0,0.0,1,2,0.0,0.0,0.0,0.0,0.0
1998,ALDS1,garcino01,BOS,AL,4,15,4,5,1,0,3,11,0,0.0,1,0,1.0,0.0,0.0,2.0,1.0
2001,NLDS1,karsast01,ATL,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,NLDS2,brunter01,HOU,NL,2,1,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2010,NLCS,rolliji01,PHI,NL,6,23,0,6,1,0,0,4,2,1.0,2,7,0.0,0.0,0.0,0.0,0.0
1985,WS,harpebr01,SLN,NL,4,4,0,1,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1993,NLCS,smoltjo01,ATL,NL,1,1,0,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1972,NLCS,roberbo01,PIT,NL,4,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2005,ALDS1,dyeje01,CHA,AL,3,10,1,2,0,0,0,0,0,0.0,1,2,0.0,1.0,0.0,0.0,0.0
1990,ALCS,gallemi01,OAK,AL,4,10,1,4,1,0,0,2,0,1.0,1,1,0.0,1.0,0.0,0.0,0.0
1964,WS,heganmi01,NYA,AL,3,1,1,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1982,WS,smithlo01,SLN,NL,7,28,6,9,4,1,0,1,2,2.0,1,5,0.0,0.0,0.0,0.0,0.0
1965,WS,pleisbi01,MIN,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,NLDS2,harvich01,HOU,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1970,ALCS,hendrel01,BAL,AL,1,5,2,2,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,1.0
1925,WS,fergual01,WS1,AL,2,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1988,NLCS,oroscje01,LAN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1972,WS,odombl01,OAK,AL,4,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1988,NLCS,elsteke01,NYN,NL,5,8,1,2,1,0,0,1,0,0.0,3,0,1.0,0.0,0.0,0.0,0.0
2004,NLDS1,cedenro01,SLN,NL,2,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2010,WS,molinbe01,TEX,AL,4,11,3,2,1,0,0,1,0,0.0,2,3,0.0,0.0,0.0,0.0,1.0
1919,WS,willile01,CHA,AL,3,5,0,1,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
2011,NLDS2,hairsje02,MIL,NL,5,16,2,6,2,0,0,3,0,0.0,2,1,,,,,
2012,ALDS1,chaveer01,NYA,AL,3,8,0,0,0,0,0,0,0,0.0,0,4,,,,,
2010,NLDS1,sweenmi01,PHI,NL,1,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1988,WS,davismi02,LAN,NL,4,7,3,1,0,0,1,2,2,0.0,4,0,0.0,0.0,0.0,0.0,0.0
1956,WS,skowrbi01,NYA,AL,3,10,1,1,0,0,1,4,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1924,WS,gowdyha01,NY1,NL,7,27,4,7,0,0,0,1,0,0.0,2,2,0.0,0.0,0.0,0.0,1.0
1980,NLCS,rosepe01,PHI,NL,5,20,3,8,0,0,0,2,0,2.0,5,3,2.0,0.0,0.0,0.0,0.0
1947,WS,brownbo03,NYA,AL,4,3,2,3,2,0,0,3,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
1975,WS,tiantlu01,BOS,AL,3,8,2,2,0,0,0,0,0,0.0,2,4,0.0,0.0,1.0,0.0,0.0
1971,WS,dobsopa01,BAL,AL,3,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
2002,WS,witasja01,SFN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1995,NLDS2,fonvich01,LAN,NL,3,12,1,6,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,1.0
1936,WS,lazzeto01,NYA,AL,6,20,4,5,0,0,1,7,0,0.0,4,4,0.0,0.0,1.0,0.0,0.0
2001,ALDS1,gonzaju03,CLE,AL,5,23,4,8,3,0,2,5,0,0.0,0,7,0.0,0.0,0.0,0.0,1.0
1985,WS,beckwjo01,KCA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1949,WS,colemje01,NYA,AL,5,20,0,5,3,0,0,4,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0
1996,WS,blausje01,ATL,NL,6,18,2,3,1,0,0,1,0,0.0,1,4,0.0,0.0,0.0,0.0,1.0
1974,ALCS,campabe01,OAK,AL,4,17,0,3,0,0,0,3,0,1.0,0,3,0.0,0.0,0.0,1.0,1.0
1987,ALCS,sheripa01,DET,AL,5,10,2,3,1,0,1,2,1,0.0,0,2,0.0,2.0,0.0,0.0,0.0
1991,NLCS,smilejo01,PIT,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1944,WS,bakerfl01,SLA,AL,2,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1980,NLCS,nolesdi01,PHI,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1960,WS,howarel01,NYA,AL,5,13,4,6,1,1,1,4,0,0.0,1,4,0.0,1.0,0.0,0.0,0.0
2006,NLDS2,meredcl01,SDN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1978,WS,pinielo01,NYA,AL,6,25,3,7,0,0,0,4,1,0.0,0,0,0.0,0.0,0.0,0.0,1.0
1973,ALCS,williea02,BAL,AL,5,18,2,5,2,0,1,4,0,0.0,2,2,0.0,0.0,0.0,0.0,0.0
1961,WS,zimmeje01,CIN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1971,ALCS,hunteca01,OAK,AL,1,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1999,WS,hernajo01,ATL,NL,2,5,0,1,1,0,0,2,1,0.0,0,2,0.0,0.0,0.0,0.0,0.0
2001,NLDS2,renteed01,SLN,NL,5,17,2,4,1,0,1,1,0,0.0,2,4,0.0,0.0,0.0,0.0,1.0
1941,WS,dimagjo01,NYA,AL,5,19,1,5,0,0,0,1,0,0.0,2,2,0.0,0.0,0.0,0.0,1.0
1986,NLCS,santara01,NYN,NL,6,17,0,3,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,1.0
2006,NLDS2,florera01,SLN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1999,NLDS1,powelja04,HOU,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1915,WS,cravaga01,PHI,NL,5,16,2,2,1,1,0,1,0,0.0,2,6,0.0,0.0,1.0,0.0,1.0
2007,ALDS1,hinsker01,BOS,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1939,WS,rolfere01,NYA,AL,4,16,2,2,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
1996,ALCS,aldremi01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1930,WS,rhemfl01,SLN,NL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1969,ALCS,powelbo01,BAL,AL,3,13,2,5,0,0,1,1,0,0.0,2,0,0.0,0.0,0.0,0.0,1.0
1995,NLDS2,piazzmi01,LAN,NL,3,14,1,3,1,0,1,1,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1955,WS,colemje01,NYA,AL,3,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1954,WS,mayswi01,NY1,NL,4,14,4,4,1,0,0,3,1,0.0,4,1,0.0,0.0,0.0,0.0,0.0
1974,NLCS,reussje01,PIT,NL,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
1998,NLDS2,sheetan01,SDN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1941,WS,frencla01,BRO,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1919,WS,grohhe01,CIN,NL,8,29,6,5,2,0,0,2,0,1.0,6,4,0.0,0.0,0.0,1.0,0.0
1982,WS,simmote01,ML4,AL,7,23,2,4,0,0,2,3,0,0.0,5,3,2.0,0.0,0.0,0.0,1.0
1997,NLDS2,sprinru01,HOU,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
