playerid,awardid,yearid,lgid,tie,notes
bakerfr01,Baseball Magazine All-Star,1911,AL,,3B
bendech01,Baseball Magazine All-Star,1911,AL,,P4
bushdo01,Baseball Magazine All-Star,1911,AL,,SS
carribi02,Baseball Magazine All-Star,1911,AL,,C2
chaseha01,Baseball Magazine All-Star,1911,AL,,1B
cobbty01,Baseball Magazine All-Star,1911,AL,,CF
collied01,Baseball Magazine All-Star,1911,AL,,2B
coombja01,Baseball Magazine All-Star,1911,AL,,P5
crawfsa01,Baseball Magazine All-Star,1911,AL,,LF
greggve01,Baseball Magazine All-Star,1911,AL,,P3
jacksjo01,Baseball Magazine All-Star,1911,AL,,RF
johnswa01,Baseball Magazine All-Star,1911,AL,,P1
stanaos01,Baseball Magazine All-Star,1911,AL,,C3
thomair01,Baseball Magazine All-Star,1911,AL,,C1
walshed01,Baseball Magazine All-Star,1911,AL,,P2
alexape01,Baseball Magazine All-Star,1911,ML,,P3
bakerfr01,Baseball Magazine All-Star,1911,ML,,3B
bresnro01,Baseball Magazine All-Star,1911,ML,,C1
chaseha01,Baseball Magazine All-Star,1911,ML,,1B
clarkfr01,Baseball Magazine All-Star,1911,ML,,LF
cobbty01,Baseball Magazine All-Star,1911,ML,,CF
collied01,Baseball Magazine All-Star,1911,ML,,2B
dooinre01,Baseball Magazine All-Star,1911,ML,,C2
greggve01,Baseball Magazine All-Star,1911,ML,,P4
jacksjo01,Baseball Magazine All-Star,1911,ML,,RF
johnswa01,Baseball Magazine All-Star,1911,ML,,P2
mathech01,Baseball Magazine All-Star,1911,ML,,P2
meyerch01,Baseball Magazine All-Star,1911,ML,,C3
ruckena01,Baseball Magazine All-Star,1911,ML,,P5
grissma02,ALCS MVP,1997,AL,,
alomasa02,All-Star Game MVP,1997,ML,,
aloumo01,Babe Ruth Award,1997,NL,,OF
biggicr01,Branch Rickey Award,1997,ML,,
clemero02,Cy Young Award,1997,AL,,
martipe02,Cy Young Award,1997,NL,,
edmonji01,Gold Glove,1997,AL,,OF
griffke02,Gold Glove,1997,AL,,OF
knoblch01,Gold Glove,1997,AL,,2B
mussimi01,Gold Glove,1997,AL,,P
palmera01,Gold Glove,1997,AL,,1B
rodriiv01,Gold Glove,1997,AL,,C
vizquom01,Gold Glove,1997,AL,,SS
willibe02,Gold Glove,1997,AL,,OF
willima04,Gold Glove,1997,AL,,3B
biggicr01,Gold Glove,1997,NL,,2B
bondsba01,Gold Glove,1997,NL,,OF
caminke01,Gold Glove,1997,NL,,3B
johnsch04,Gold Glove,1997,NL,,C
maddugr01,Gold Glove,1997,NL,,P
mondera01,Gold Glove,1997,NL,,OF
ordonre01,Gold Glove,1997,NL,,SS
snowjt01,Gold Glove,1997,NL,,1B
walkela01,Gold Glove,1997,NL,,OF
daviser01,Hutch Award,1997,ML,,
molitpa01,Lou Gehrig Memorial Award,1997,ML,,
griffke02,Most Valuable Player,1997,AL,,
walkela01,Most Valuable Player,1997,NL,,
hernali01,NLCS MVP,1997,NL,,
clemero02,Pitching Triple Crown,1997,AL,,
daviser01,Roberto Clemente Award,1997,ML,,
myersra01,Rolaids Relief Man Award,1997,AL,,
shawje01,Rolaids Relief Man Award,1997,NL,,
garcino01,Rookie of the Year,1997,AL,,
rolensc01,Rookie of the Year,1997,NL,,
garcino01,Silver Slugger,1997,AL,,SS
gonzaju03,Silver Slugger,1997,AL,,OF
griffke02,Silver Slugger,1997,AL,,OF
justida01,Silver Slugger,1997,AL,,OF
knoblch01,Silver Slugger,1997,AL,,2B
martied01,Silver Slugger,1997,AL,,DH
martiti02,Silver Slugger,1997,AL,,1B
rodriiv01,Silver Slugger,1997,AL,,C
willima04,Silver Slugger,1997,AL,,3B
bagweje01,Silver Slugger,1997,NL,,1B
biggicr01,Silver Slugger,1997,NL,,2B
blausje01,Silver Slugger,1997,NL,,SS
bondsba01,Silver Slugger,1997,NL,,OF
castivi02,Silver Slugger,1997,NL,,3B
gwynnto01,Silver Slugger,1997,NL,,OF
piazzmi01,Silver Slugger,1997,NL,,C
smoltjo01,Silver Slugger,1997,NL,,P
walkela01,Silver Slugger,1997,NL,,OF
clemero02,TSN All-Star,1997,AL,,RHP
garcino01,TSN All-Star,1997,AL,,SS
griffke02,TSN All-Star,1997,AL,,OF
johnsra05,TSN All-Star,1997,AL,,LHP
kaatji01,Gold Glove,1977,NL,,P
ramirar01,Hank Aaron Award,2008,NL,,
dibblro01,NLCS MVP,1990,NL,,
suttebr01,Babe Ruth Award,1982,NL,,RP
benchjo01,Most Valuable Player,1970,NL,,
dimagjo01,TSN All-Star,1942,ML,,OF
polanpl01,Gold Glove,2007,AL,,2B
dimagjo01,Baseball Magazine All-Star,1950,ML,,CF
fellebo01,TSN Major League Player of the Year,1940,ML,,
boddimi01,ALCS MVP,1983,AL,,
ripkeca01,Rookie of the Year,1982,AL,,
perryga01,Cy Young Award,1978,NL,,
fingero01,Rolaids Relief Man Award,1981,AL,,
lemonbo01,TSN Pitcher of the Year,1954,AL,,
aparilu01,Rookie of the Year,1956,AL,,
bonhati01,TSN All-Star,1942,ML,,P
musiast01,Most Valuable Player,1943,NL,,
nettlgr01,Gold Glove,1978,AL,,3B
roushed01,Baseball Magazine All-Star,1926,NL,,OF
chaseha01,Baseball Magazine All-Star,1909,AL,,1B
hubbeca01,TSN All-Star,1935,ML,,P
ryanno01,TSN Pitcher of the Year,1977,AL,,
sainjo01,Baseball Magazine All-Star,1948,ML,,P2
murphdw01,Gold Glove,1981,AL,,OF
friscfr01,Baseball Magazine All-Star,1933,NL,,2B
kentje01,TSN All-Star,2002,NL,,2B
suttebr01,Rolaids Relief Man Award,1982,NL,,
martipe02,Cy Young Award,2000,AL,,
pujolal01,Hank Aaron Award,2009,NL,,
murphda05,Gold Glove,1986,NL,,OF
musiast01,Baseball Magazine All-Star,1949,ML,,CF
kellge01,TSN All-Star,1951,ML,,3B
rosenal01,TSN All-Star,1953,ML,,3B
carltst01,Cy Young Award,1982,NL,,
tenacge01,World Series MVP,1972,ML,,
stargwi01,TSN All-Star,1965,NL,,OF
gardnla01,Baseball Magazine All-Star,1920,AL,,3B
oliveal01,Silver Slugger,1980,AL,,OF
hornsro01,Baseball Magazine All-Star,1919,NL,,SS
mcgwima01,Gold Glove,1990,AL,,1B
wyattwh01,Baseball Magazine All-Star,1942,ML,,P3
howarel01,Babe Ruth Award,1958,AL,,C
derripa01,Baseball Magazine All-Star,1938,ML,,P2
wettejo01,Rolaids Relief Man Award,1996,AL,,
drewjd01,All-Star Game MVP,2008,ML,,
blairpa01,Gold Glove,1970,AL,,OF
lezcasi01,Gold Glove,1979,AL,,OF
kalinal01,TSN Player of the Year,1963,AL,,
ramirma02,Silver Slugger,2006,AL,,OF
maddugr01,Cy Young Award,1992,NL,,
whitebi03,Gold Glove,1962,NL,,1B
cartega01,All-Star Game MVP,1981,ML,,
chaseha01,Baseball Magazine All-Star,1910,AL,,1B
hayesfr01,Baseball Magazine All-Star,1940,AL,,C
cuyleki01,Baseball Magazine All-Star,1931,NL,,CF
sierrru01,Silver Slugger,1989,AL,,OF
boggswa01,TSN All-Star,1985,AL,,3B
larkiba01,TSN All-Star,1999,NL,,SS
cabremi01,Hank Aaron Award,2012,AL,,
rodrial01,Gold Glove,2002,AL,,SS
newcodo01,Rookie of the Year,1949,NL,,
crawfsa01,Baseball Magazine All-Star,1908,AL,,CF
benchjo01,TSN All-Star,1972,NL,,C
batteea01,Gold Glove,1962,AL,,C
cartega01,Gold Glove,1982,NL,,C
sandbry01,TSN All-Star,1990,NL,,2B
dickebi01,Baseball Magazine All-Star,1942,AL,,C
helmsto01,Rookie of the Year,1966,NL,,
tenacge01,Babe Ruth Award,1972,AL,,C
carrocl02,TSN Fireman of the Year,1972,NL,,
schulfr01,Baseball Magazine All-Star,1908,NL,,RF
haineje01,Baseball Magazine All-Star,1927,NL,,P2
jackstr01,Baseball Magazine All-Star,1928,NL,,SS
whitede03,Gold Glove,1993,AL,,OF
ruthba01,Baseball Magazine All-Star,1930,AL,,RF
thompro01,Silver Slugger,1993,NL,,2B
burleri01,Silver Slugger,1981,AL,,SS
terrybi01,Baseball Magazine All-Star,1930,NL,,1B
rolliji01,Gold Glove,2009,NL,,SS
batteea01,TSN All-Star,1965,AL,,C
nehfar01,Baseball Magazine All-Star,1921,NL,,P2
rosebjo01,Gold Glove,1966,NL,,C
lemonbo01,TSN All-Star,1950,ML,,P
bankser01,TSN Player of the Year,1958,NL,,
benchjo01,Lou Gehrig Memorial Award,1975,ML,,
jacksre01,Most Valuable Player,1973,AL,,
templga01,TSN All-Star,1979,NL,,SS
edmonji01,Gold Glove,2001,NL,,OF
pagejo01,Babe Ruth Award,1949,AL,,P
berrayo01,Baseball Magazine All-Star,1949,AL,,C
dimagdo01,Baseball Magazine All-Star,1949,AL,,CF
henrito01,Baseball Magazine All-Star,1949,AL,,1B
kellge01,Baseball Magazine All-Star,1949,AL,,3B
michaca01,Baseball Magazine All-Star,1949,AL,,2B
pagejo01,Baseball Magazine All-Star,1949,AL,,P2
parneme01,Baseball Magazine All-Star,1949,AL,,P3
raschvi01,Baseball Magazine All-Star,1949,AL,,P1
stephve01,Baseball Magazine All-Star,1949,AL,,SS
wertzvi01,Baseball Magazine All-Star,1949,AL,,RF
willite01,Baseball Magazine All-Star,1949,AL,,LF
berrayo01,Baseball Magazine All-Star,1949,ML,,C
