playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
bystrma01,1984,1,PHI,NL,4,4,11,11,0,0,0,170,66,32,5,22,36,0.0,5.0,1.0,0,0.0,4,258.0,0,36,,,
earnsge01,1931,1,PHA,AL,21,7,43,30,23,3,6,845,255,115,16,75,152,0.0,3.0,,5,3.0,0,1174.0,11,130,,,
powelde01,1985,1,LAN,NL,1,1,16,2,0,0,1,88,30,17,7,13,19,0.0,5.0,3.0,3,1.0,0,133.0,6,19,,,
eddydo01,1970,1,CHA,AL,0,0,7,0,0,0,0,35,10,3,0,6,9,0.0,2.0,0.0,0,0.0,0,48.0,3,4,,,
daiglca01,2006,1,ARI,NL,0,0,10,0,0,0,0,37,14,5,1,6,7,,3.0,0.0,0,0.0,0,52.0,1,5,,,
stewada01,1981,1,LAN,NL,4,3,32,0,0,0,6,130,40,12,3,14,29,0.0,2.0,5.0,4,0.0,0,184.0,14,13,,,
shirlte01,1942,1,PHA,AL,0,1,15,1,0,0,1,107,37,21,0,22,10,0.0,5.0,,0,2.0,0,162.0,7,30,,,
wagnebi02,2000,1,HOU,NL,2,4,28,0,0,0,6,83,28,19,6,18,28,0.0,6.0,0.0,7,1.0,0,129.0,19,19,,,
boutoji01,1962,1,NYA,AL,7,7,36,16,3,1,2,399,124,59,9,59,71,0.0,3.0,1.0,2,0.0,1,560.0,12,63,,,
mcquige01,1911,1,CIN,NL,2,6,19,5,2,0,0,231,92,40,2,31,28,0.0,4.0,,0,4.0,0,334.0,8,60,,,
cookaa01,2008,1,COL,NL,16,9,32,32,2,1,0,634,236,93,13,48,96,,3.0,2.0,6,4.0,0,886.0,0,102,,,
yeargal01,1922,1,BSN,NL,0,1,1,1,1,0,0,21,5,1,1,2,1,0.0,1.0,,0,0.0,1,28.0,0,3,,,
walkelu01,1966,1,PIT,NL,0,1,10,1,0,0,0,30,8,5,0,15,7,0.0,4.0,2.0,2,1.0,0,55.0,2,9,,,
mongesi01,1982,1,PHI,NL,7,1,47,0,0,0,2,216,70,30,8,22,43,0.0,3.0,3.0,3,2.0,0,305.0,12,35,,,
baezda01,2005,1,TBA,AL,5,4,67,0,0,0,41,217,66,23,7,30,51,,2.0,0.0,0,2.0,0,308.0,64,27,,,
daviscu01,1937,1,CHN,NL,10,5,28,14,8,0,1,371,138,56,7,30,32,0.0,4.0,,0,5.0,0,527.0,8,64,,,
skopejo01,1903,1,DET,AL,2,2,6,5,3,0,0,118,46,15,0,13,14,0.0,3.0,,1,2.0,0,176.0,0,22,,,
merckke01,2003,1,CIN,NL,0,2,49,0,0,0,0,115,31,10,5,25,41,0.0,2.0,2.0,2,0.0,1,169.0,8,13,,,
leitema01,1992,1,DET,AL,8,5,35,14,1,0,0,336,116,52,9,43,75,0.0,4.0,5.0,3,3.0,0,475.0,7,57,,,
boltoto01,1990,1,BOS,AL,10,5,21,16,3,0,0,359,111,45,6,47,65,0.0,3.0,3.0,1,3.0,1,501.0,2,46,,,
langsma01,1995,1,CAL,AL,15,7,31,31,2,1,0,601,212,103,21,64,142,0.0,4.0,1.0,5,3.0,1,859.0,0,109,,,
oswalro01,2012,1,TEX,AL,4,3,17,9,0,0,0,177,79,38,11,11,59,,5.0,0.0,3,3.0,2,264.0,2,41,,,
niemara01,1986,1,NYN,NL,2,3,31,1,0,0,0,107,44,15,2,12,18,0.0,3.0,2.0,2,0.0,0,158.0,11,17,,,
woodsja01,2005,1,LAA,AL,1,1,28,0,0,0,0,83,30,14,7,8,20,,4.0,0.0,2,2.0,0,122.0,10,18,,,
silvajo01,1997,1,PIT,NL,2,1,11,4,0,0,0,109,52,24,4,16,30,0.0,5.0,3.0,0,1.0,1,174.0,0,26,,,
