resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
944,62,15,7,8,22,4.0,4,4,5.0,73,+23.604,5698803.0,37.0,5.0,1:13.269,205.969,1
23108,956,837,209,88,20,16.0,16,16,0.0,70,,,66.0,15.0,1:10.342,221.398,11
8882,384,137,32,1,8,,R,18,0.0,34,,,,,,,8
9283,399,122,37,16,22,9.0,9,9,0.0,67,,,,,,,13
16034,649,280,82,8,12,,R,16,0.0,41,,,,,,,3
18777,778,594,113,28,31,,R,20,0.0,138,,,,,,,8
20589,348,20,9,5,1,3.0,3,3,15.0,70,+19.252,6084823.0,70.0,1.0,1:22.362,191.491,1
6243,297,119,3,6,2,2.0,2,2,6.0,59,+39.094,5182085.0,,,,,1
20207,809,521,113,55,7,,R,23,0.0,107,,,,,,,25
5732,278,30,22,5,2,,R,20,0.0,32,,,,,,,9
1772,102,41,7,16,15,,R,18,0.0,31,,,13.0,16.0,1:22.525,191.112,40
301,32,13,6,2,1,13.0,13,13,0.0,61,+35.170,7071474.0,13.0,2.0,1:45.757,172.482,1
6264,297,92,33,29,11,,R,23,0.0,32,,,,,,,36
4057,209,55,22,7,11,7.0,7,7,0.0,72,+46.359,6768074.0,,,,,1
2544,140,63,7,24,13,8.0,8,8,0.0,52,,,,,,,11
14761,598,200,63,19,18,,R,19,0.0,4,,,,,,,8
169,26,1,1,22,4,1.0,1,1,10.0,60,1:39:09.440,5949440.0,16.0,3.0,1:32.817,199.398,1
11129,468,199,3,5,6,,R,19,0.0,21,,,,,,,4
16515,674,304,187,1,11,7.0,7,7,0.0,14,+6:31.0,8734200.0,,,,,1
2587,142,55,20,22,13,9.0,9,9,0.0,54,,,,,,,11
19450,809,677,113,62,18,,R,19,0.0,166,,,,,,,44
2449,135,44,16,12,7,,R,14,0.0,39,,,,,,,5
12964,533,203,6,12,5,10.0,10,10,0.0,74,,,,,,,11
838,57,35,2,17,9,8.0,8,8,1.0,60,+1:29.364,5848129.0,38.0,12.0,1:34.037,197.079,1
15749,637,346,66,16,3,9.0,9,9,0.0,66,,,,,,,12
21227,859,817,164,22,22,20.0,20,20,0.0,68,,,64.0,20.0,1:19.649,194.759,13
5019,252,14,3,6,1,1.0,1,1,10.0,71,1:41:52.145,6112145.0,,,,,1
3944,204,71,17,9,14,6.0,6,6,1.0,53,+1:06.688,4696988.0,,,,,1
23565,978,830,9,33,4,4.0,4,4,12.0,51,+52.125,4939555.0,51.0,2.0,1:30.678,233.878,1
20965,848,816,166,25,23,22.0,22,22,0.0,55,,,51.0,22.0,1:47.164,182.042,12
11249,472,208,37,19,0,,F,31,0.0,0,,,,,,,97
11574,484,199,3,2,2,1.0,1,1,9.0,62,2:00:23.66,7223660.0,,,,,1
7371,331,133,21,10,19,10.0,10,10,0.0,43,,,,,,,11
2334,130,2,15,7,15,8.0,8,8,0.0,76,,,,,,,12
13323,546,231,1,1,8,7.0,7,7,0.0,79,,,,,,,11
13267,543,253,56,29,19,,R,17,0.0,22,,,,,,,5
22172,901,813,208,13,16,,R,21,0.0,7,,,6.0,20.0,1:50.929,179.888,5
21805,884,3,131,9,1,6.0,6,6,8.0,66,+1:08.020,6024616.0,56.0,11.0,1:27.591,191.321,1
8115,362,156,25,3,9,10.0,10,10,0.0,78,,,,,,,12
20328,337,30,131,3,7,6.0,6,6,8.0,49,+44.163,6004559.0,45.0,11.0,2:00.204,188.649,1
11991,497,198,21,30,0,,F,28,0.0,0,,,,,,,81
5568,272,87,25,4,13,,R,14,0.0,66,,,,,,,3
10406,442,123,21,18,18,,R,19,0.0,38,,,,,,,5
420,38,21,4,3,7,8.0,8,8,1.0,57,+1:21.701,5689216.0,51.0,8.0,1:35.200,204.655,1
12476,515,231,59,20,8,,R,22,0.0,0,,,,,,,7
6740,312,99,39,17,0,,F,30,0.0,0,,,,,,,81
17352,716,289,66,18,3,,R,20,0.0,0,,,,,,,8
20230,800,513,135,12,16,,R,22,0.0,172,,,,,,,31
