coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
jacksst03,1996,VAN,NBA,2,6.0,33.0,0.0,0.0
gentral01,2008,PHO,NBA,2,18.0,13.0,0.0,0.0
mikkeve01,1968,MNP,ABA,2,6.0,6.0,0.0,0.0
maclejo01,1985,PHO,NBA,1,32.0,50.0,0.0,0.0
westppa01,1999,SEA,NBA,1,45.0,37.0,2.0,3.0
attleal01,1980,GSW,NBA,1,39.0,43.0,0.0,0.0
hannual01,1964,SFW,NBA,1,17.0,63.0,0.0,0.0
zasloma01,1968,NYA,ABA,1,17.0,61.0,0.0,0.0
adelmri01,1996,GSW,NBA,1,30.0,52.0,0.0,0.0
buckwbu01,1974,UTS,ABA,1,24.0,32.0,0.0,0.0
vanbrbu01,1974,NOJ,NBA,3,22.0,44.0,0.0,0.0
riverdo01,2005,BOS,NBA,1,33.0,49.0,0.0,0.0
brownhe01,1977,DET,NBA,1,9.0,15.0,0.0,0.0
beatyze01,1975,VIR,ABA,5,9.0,33.0,0.0,0.0
ayersra01,2003,PHI,NBA,1,21.0,31.0,0.0,0.0
loughke01,1985,WSB,NBA,2,7.0,6.0,2.0,3.0
dardeji01,1949,DNN,NBA,1,11.0,51.0,0.0,0.0
shuege01,1971,BAL,NBA,1,38.0,44.0,2.0,4.0
ramsaja01,1979,POR,NBA,1,38.0,44.0,1.0,2.0
littlge01,1994,DEN,NBA,2,3.0,13.0,0.0,0.0
johnsph01,1984,KCK,NBA,2,30.0,43.0,0.0,0.0
mcguidi01,1962,DET,NBA,1,34.0,46.0,1.0,3.0
carliri01,2011,DAL,NBA,1,36.0,30.0,0.0,4.0
wilkele01,2002,TOR,NBA,1,24.0,58.0,0.0,0.0
adubari01,1996,ORL,NBA,2,21.0,12.0,2.0,3.0
mccarba01,1973,KEN,ABA,1,53.0,31.0,4.0,4.0
bickebe01,1988,SEA,NBA,1,46.0,30.0,3.0,5.0
theusre01,2008,SAC,NBA,1,6.0,18.0,0.0,0.0
mchonmo01,1983,SAS,NBA,1,11.0,20.0,0.0,0.0
borylvi01,1955,NYK,NBA,2,9.0,12.0,0.0,0.0
heinsto01,1971,BOS,NBA,1,56.0,26.0,5.0,6.0
brownla01,2002,PHI,NBA,1,48.0,34.0,6.0,6.0
gatesfr01,1950,AND,NPBL,1,,,,
popovgr01,1997,SAS,NBA,1,56.0,26.0,4.0,5.0
cleamji01,1996,DAL,NBA,1,24.0,58.0,0.0,0.0
skilesc01,2003,CHI,NBA,3,19.0,47.0,0.0,0.0
vanbrbu01,1967,LAL,NBA,1,52.0,30.0,10.0,5.0
nelsodo01,1977,MIL,NBA,1,44.0,38.0,5.0,4.0
sloanje01,1980,CHI,NBA,1,45.0,37.0,2.0,4.0
mcmilda01,1950,TRI,NBA,1,9.0,14.0,0.0,0.0
