playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
abdulka01,Кареем,Кареем,,Абдул-Джаббар,,Фердинанд Льюис Алсиндор-младший.,,"Лев, Кап",С,0,0,85.0,225,Калифорнийский университет в Лос-Анджелесе,,1947-04-16,Нью-Йорк,Нью-Йорк,США,Мемориал Пауэра,Нью-Йорк,Нью-Йорк,США,0000-00-00,Привет! Как я могу тебе помочь?
barklch01,Шарль,Шарль,Wade,Баркли,,,,"Сэр Чарльз, Чак, Чукстер","Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",0,0,77.0,250,Авдон,,1963-02-20,Лидс,АЛ,США,Лидс,Лидс,АЛ,США,0000-00-00,Привет! Как я могу тебе помочь?
birdla01,Ларри,Ларри,Joe,Птица,,,,,Ф-Г,0,0,81.0,220,Индиана-Стейт,Индиана/Северный деревянный институт,1956-12-07,Западный Барден,В,США,Весёлая долина,Французский Лик,В,США,0000-00-00,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
bryanko01,Кобе,Кобе,Bean,Брэнт,,,,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод.",0,0,78.0,200,Ответ: нет,,1978-08-23,Филадельфия,ПА,США,Нижний Мерион,Ардмор,ПА,США,0000-00-00,Привет! Как я могу тебе помочь?
chambwi01,Уильям.,Вилтон,Norman,Камеран,,,,"Уилт, Уилт-придорожный, Большой Путь",С,0,0,85.0,250,Канзас,,1936-08-21,Филадельфия,ПА,США,Овербрук,Филадельфия,ПА,США,1999-10-12,Привет! Как я могу тебе помочь?
cowenda01,Дэв,Дэвид,William,Коуэнс,,,,"Дэв, Большая Красная",С-Ф,0,0,80.5,225,Флоридский государственный университет,,1948-10-25,Ньюпорт,КЭ,США,Центральный Католический,Ньюпорт,КЭ,США,0000-00-00,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
cunnibi01,Билли,Уильям,John,Куннингем,,,,"Билли, Мальчик-каангур",F-Ц,0,0,77.0,195,Северная Каролина,,1943-06-03,Бруклин,Нью-Йорк,США,Эрасмус Холл,Бруклин,Нью-Йорк,США,0000-00-00,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
danieme01,Мел,Мелвин,Joe,Даниэлы,,,,Мел,С,0,0,81.0,220,Новый Мексико,Бёрлингтон Джей Си,1944-07-20,Детройт,МИ,США,Персинг,Детройт,МИ,США,0000-00-00,Привет! Как я могу тебе помочь?
duncati01,Тим,Тимоти,Theodore,Дункан,,,,Тим,С-Ф,0,0,82.0,248,Вейк-Форест,,1976-04-25,Сен-Крюи,,IVS,Святого Дункана Episκοπальная,Сен-Крюи,,IVS,0000-00-00,Привет! Как я могу тебе помочь?
ervinju01,Юлий,Юлий,Winfield,Эрвинг,,,У,"Доктор Ж, Доктор",F-G-Ц,0,0,78.0,200,Массачусетс,,1950-02-22,Рузвельт,Нью-Йорк,США,Рузвельт,Рузвельт,Нью-Йорк,США,0000-00-00,Привет! Как я могу тебе помочь?
garneke01,Кевин,Кевин,Maurice,Гартн,,,,"К.Г., Большой билет","Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",0,0,83.0,220,Ответ: нет,,1976-05-19,Маулиндэн,С,США,Мауладельфия  / Академия Фарагут,Маулинд / Чикаго,СЦ/ИЛ,США,0000-00-00,Привет! Как я могу тебе помочь?
gilmoar01,Арнис,Арнис,,Гилмор,,,,А-Трен,С,0,0,86.0,240,Джексонвилл,Гарднер-Вебб,1948-09-21,Чипли,ФЛ,США,Рульак / Карвер,Чипли / Дотхан,ФЛ / АЛ,США,0000-00-00,Привет! Как я могу тебе помочь?
hawkico01,Кони,Кернелс,L.,Ховардс,,,,"Конни, Сокол",F-Ц,0,0,80.0,201,Айова (дпн),,1942-07-17,Бруклин,Нью-Йорк,США,Мальчики,Бруклин,Нью-Йорк,США,0000-00-00,Привет! Как я могу тебе помочь?
haywosp01,Спенсер,Спенсер,,Хайвуд,,,,,F-Ц,0,0,80.0,225,Детройт,Троицкое государственное сообщество,1949-04-22,Серебряный Город,МС,США,Макнаир/Персинг,Белзони/Детройт,МЭ/МИ,США,0000-00-00,Привет! Как я могу тебе помочь?
iversal01,Аллен,Аллен,Ezail,Иверсон,,,,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод.",0,0,72.0,165,Джорджтаун,,1975-06-07,Хэмптон,Да,США,Бетел,Хэмптон,Да,США,0000-00-00,Привет! Как я могу тебе помочь?
jamesle01,ЛеБроном,ЛеБроном,Raymone,Джеймс,,,,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",0,0,80.0,240,Ответ: нет,,1984-12-30,Акрон,ОХ,США,Сент-Винсент-Сент-Мэри,Акрон,ОХ,США,0000-00-00,Привет! Как я могу тебе помочь?
johnsma02,Эरवин,Эरवин,,Джонсон,,,Jr.,Магия,G-F,0,0,80.0,215,Майн-Сетл,,1959-08-14,Лансинг,МИ,США,Эверетт,Лансинг,МИ,США,0000-00-00,Привет! Как я могу тебе помочь?
