type,code,fullname
Офф-лей,"Предложение: ""I want to go shopping with you.""",Потеряная предварительная раунда НХЛ
Офф-лей,CQF,Утраченные игры четвертьфиналов конференции НХЛ
Деление,ЦВ,WХА Канадский дивизион
Офф-лей,АВЦ,Вон АВКО Кубок
Офф-лей,Ф,Пропущенные финалы Кубка Стэнли
Деление,СМ,Смидхи-дивизия
Около,CF,Финал Кубка
Офф-лей,CF,Пропущенные финалы конференции НХЛ
Офф-лей,SF,Потерянные полуфинальные матчи НХЛ
Офф-лей,СК,Вон Стэнли Кубок.
Около,Предложение,Предварительный
Деление,Калифорния,Канадское отделение
Офф-лей,ДДСФ,Периода полуфинальных матчей плей-офф НХЛ
Деление,НВ,Северо-Западный Отдел
Около,"К сожалению, я не понимаю, что вы имеете в виду под «DF». Можете ли вы уточнить ваш запрос?",Финал дивизиона
Около,АСС,Финал Кубка Авко
Около,WP,Западный плей-офф
Деление,WD,Западное отделение
Около,КФ,Четвертьфиналы
Около,SCФ,Финал Кубка Стэнли
Деление,ED,Восточный дивизион
Деление,АТ,Атлантический дивизион
Офф-лей,Авпред,Потери на предварительном раунде кубка АВК
Офф-лей,КФ,Потери в четвертьфиналах НХЛ
Офф-лей,НХЛФ,Пропущенные финалы НХЛ
Офф-лей,WSL,Вызов series Won
Деление,SE,Северо-Восточный дивизион
Офф-лей,ЛКЗ,Вы выиграли Кубок Стэнли / проиграли Серию вызовов
Деление,ВВ,Западный дивизион
Деление,ЦЕ,Центральный дивизион
Офф-лей,Авсф,Половин финалы Кубка АВКО
Офф-лей,Фонд защиты окружающей среды,Пропущенные полуфинальные матчи WCHL
Офф-лей,КФС,Пропущенные игры полуфинальной серии плей-офф НХЛ
Около,CQF,Квартальные матчи
Офф-лей,НХФ,Потери на заключительном этапе экзаменации НГА
Деление,ПК,Тихоокеанское отделение
Офф-лей,Н/Д,НД - Финалы Кубка Стэнли приостановлены (из-за эпидемии гриппа)
Около,Ф,Конец года
Около,ДДСФ,Семидневное чудо
Деление,ЕВ,Восточный дивизион WHA
Офф-лей,Авкф,Половина финала Кубка АВКО
Конференция,КК,Конференция Кэмпбелла
Офф-лей,AVF,Финал Кубка АВКО
Офф-лей,СЦСС,Половина финалов Кубка Стэнли
Конференция,ВЧ,Западная конференция
Конференция,ЭК,Восточная конференция
Офф-лей,ВФ,Потерянные финалы WCHL
Деление,АД,Отделение Адама
Около,SF,Семифиналы
Деление,НЕ,Восточный дивизион
Около,КФС,Семфиналы конференции
Деление,ПТ,Патрик Дивизион
Конференция,ВА,Конференция по Уэльсу
Деление,Нет,Норрис Дивизия
Деление,АМ,Американский дивизион
Офф-лей,ПФ,Утраченные финалы ПЧА
Офф-лей,"К сожалению, я не понимаю, что вы имеете в виду под «DF». Можете ли вы уточнить ваш запрос?",Проигрыш в финалах плей-офф НХЛ
Около,СЦСС,Полуфиналы Кубка Стэнли
