playerid,year,ppa,sha
manthmo01,1987,15,1
tuckejo01,1989,6,
libaig01,1988,6,
cyrpa01,1987,1,
courtru01,1988,2,
chrisda01,1989,7,
archida01,1989,4,
bradlbr01,1990,10,
grahadi01,1987,7,1
bennibr01,1989,5,
hullbr01,1987,10,
carsoli01,1987,1,1
dineego01,1987,2,
broteaa01,1990,1,
smaildo01,1990,1,1
joycebo01,1989,3,
thibagi01,1989,2,
lawtobr01,1989,1,
nylunga01,1988,1,
coxecr01,1987,1,
frasecu01,1987,2,
norwole01,1990,3,
hrdinji01,1990,4,
paslagr01,1990,3,1
mcbeawa01,1988,1,
zezelpe01,1990,5,1
maclebr01,1988,8,
sanipev01,1989,2,
kurveto01,1990,15,
duguaro01,1987,2,
skrikpe01,1990,5,
hardyma01,1987,10,1
murphla01,1988,22,
brownro01,1990,10,
ysebapa01,1990,4,1
foligmi01,1990,1,
gartnmi01,1988,9,
wilsoca01,1988,19,
carsoji01,1989,5,
butchga01,1990,3,2
robergo01,1987,3,
laughcr01,1987,3,
klimape01,1989,11,
wilsoca01,1987,9,3
samueul01,1990,,2
krushmi01,1990,3,
ciccadi01,1988,10,1
deblolu01,1990,,1
quinnda01,1990,18,
smaildo01,1990,1,1
linseke01,1989,8,
robergo01,1987,3,
ciccadi01,1988,10,1
bradlbr01,1990,10,
butchga01,1990,3,2
deblolu01,1990,,1
johanca01,1988,7,
ysebapa01,1990,4,1
mcdonhu01,1989,1,
coxecr01,1987,1,
charbjo01,1988,1,
zezelpe01,1988,17,
gingrga01,1987,9,
josepch01,1987,6,
lawtobr01,1989,1,
norwole01,1990,3,
maclebr01,1988,8,
duguaro01,1987,2,
makelmi01,1989,1,
lawlepa01,1987,3,
sandsto01,1989,20,
klimape01,1989,11,
frasecu01,1987,2,
dineego01,1988,2,
pavesji01,1987,1,
wellsja01,1989,3,2
brownro01,1990,10,
macivno01,1988,19,
ruffli01,1988,1,
cullejo01,1990,29,
hullbr01,1987,10,
tuckejo01,1989,6,
chrisda01,1989,7,
konrost01,1988,1,1
crossdo01,1990,21,
hardyma01,1988,5,
erickbr01,1987,6,
foligmi01,1990,1,
thibagi01,1989,2,
quinnda01,1989,15,1
broteaa01,1989,3,
hardyma01,1987,10,1
courtge01,1987,7,
archida01,1989,4,
momesse01,1990,1,
poulida02,1989,1,1
ferrara01,1990,5,
carpebo01,1988,4,
lawtobr01,1988,4,
petitmi01,1987,9,1
kurveto01,1990,15,
nichobe01,1989,37,1
murphla01,1988,22,
adamsgr01,1988,1,
franclo01,1990,1,1
adamsgr01,1989,1,
wilsoca01,1990,4,
lemiejo01,1989,1,1
carsoli01,1987,1,1
halwado01,1988,1,
mckegto01,1990,7,
pederma01,1990,7,
tuckejo01,1990,1,
libaig01,1988,6,
jonssto01,1988,24,
joycebo01,1989,3,
hrdinji01,1990,4,
cunnera01,1989,4,
tantito01,1989,9,
goulemi01,1989,15,1
malondo01,1988,2,
picarro02,1989,1,1
sanipev01,1989,2,
petitmi01,1990,16,
vaiveri01,1988,15,
zezelpe01,1990,5,1
nichobe01,1989,37,1
carsoli01,1987,1,1
archida01,1989,4,
kurveto01,1990,15,
robergo01,1987,3,
malondo01,1988,2,
hunteda01,1988,,1
konrost01,1988,1,1
lemiejo01,1989,1,1
nylunga01,1988,1,
crossdo01,1990,21,
brownro01,1990,10,
gingrga01,1987,9,
wilsoca01,1988,19,
kaspest01,1988,6,2
maclebr01,1988,8,
dineego01,1988,2,
cunnera01,1989,4,
petitmi01,1987,9,1
libaig01,1988,6,
thibagi01,1989,2,
gartnmi01,1988,9,
erickbr01,1987,6,
simpscr01,1987,10,1
huberwi01,1987,14,
dahlqch01,1990,,1
proppbr01,1989,9,
tantito01,1989,9,
picarro02,1989,1,1
mcbeawa01,1988,1,
larsore01,1988,14,
pederba01,1989,7,1
laughcr01,1987,3,
ledyagr01,1987,5,
adamsgr01,1989,1,
broteaa01,1989,3,
foligmi01,1990,1,
grahadi01,1987,7,1
rousebo01,1988,,1
kontoch01,1987,6,
wilsoca01,1990,4,
tuckejo01,1990,1,
zezelpe01,1988,17,
kennede01,1988,,2
ledyagr01,1988,6,
joycebo01,1989,3,
wilsoca01,1987,9,3
courtru01,1988,2,
playfla01,1988,,1
zezelpe01,1990,5,1
samueul01,1990,,2
iafraal01,1990,11,1
frycemi01,1988,3,
ciccadi01,1988,10,1
skrikpe01,1990,5,
hardyma01,1987,10,1
ysebapa01,1990,4,1
butchga01,1990,3,2
hullbr01,1987,10,
duguaro01,1987,2,
poulida02,1989,1,1
fentopa01,1990,2,
hrdinji01,1990,4,
huntema01,1990,4,
