playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
fitzpma01,1997,2,TBL,NHL,34,1938,7,24,1,5,1,102,975,,,,,,,,,
sawchte01,1963,1,DET,NHL,53,3140,25,20,7,2,5,138,,13,677,6,5,,0,1,31,
hallgl01,1966,1,CHI,NHL,32,1664,19,5,5,0,2,66,,3,176,1,2,,0,0,8,
besteal01,1991,1,DET,NHL,1,31,0,0,0,0,0,2,9,,,,,,,,,
hasekdo01,1993,1,BUF,NHL,58,3358,30,20,6,3,7,109,1552,7,484,3,4,,1,2,13,261
elliobr01,2008,1,OTT,NHL,31,1667,16,8,3,3,1,77,786,,,,,,,,,
henrygo01,1952,1,BOS,NHL,,,,,,,,,,3,163,0,2,,,0,11,
woodwa01,1975,2,TOT,WHA,13,781,6,7,0,0,0,62,474,,,,,,,,,
hebersa01,1922,1,SAC,WCHL,18,1218,4,12,2,,0,79,,,,,,,,,,
stuarhe01,1925,1,EDE,WCHL,30,1800,19,11,0,,2,77,,2,120,0,1,1,,0,5,
corsiji01,1978,1,QUN,WHA,40,2291,16,20,1,4,3,126,1242,2,66,0,1,,0,0,7,
puppada01,1995,1,TBL,NHL,57,3189,29,16,9,2,5,131,1605,4,173,1,3,,0,0,14,86
whiddbo01,1974,1,CLC,WHA,29,1654,9,16,1,0,0,89,918,,,,,,,,,
melocgi01,1972,1,CLF,NHL,59,3473,12,32,14,1,1,235,,,,,,,,,,
rutheji01,1979,1,DET,NHL,23,1326,6,13,3,1,1,92,,,,,,,,,,
herrode01,1984,1,PIT,NHL,42,2193,10,22,3,2,1,170,1362,,,,,,,,,
weekeke01,2001,2,CAR,NHL,2,120,2,0,0,0,0,3,41,8,408,3,2,,1,2,11,180
flahewa01,1992,1,SJS,NHL,1,60,0,1,0,0,0,5,46,,,,,,,,,
flahewa01,1995,1,SJS,NHL,24,1137,3,12,1,0,0,92,689,,,,,,,,,
maroije01,1953,1,CHI,NHL,2,120,0,2,0,,0,11,,,,,,,,,,
garrejo01,1974,1,MFS,WHA,58,3294,30,23,2,3,2,180,1890,12,726,6,6,,1,1,41,406
smithal02,1980,1,COR,NHL,37,1909,9,18,4,4,0,151,,,,,,,,,,
vachoro01,1976,1,LAK,NHL,68,4059,33,23,12,1,8,184,,9,520,4,5,,0,0,36,
vienma01,1975,1,TOT,WHA,26,1228,4,14,3,0,0,105,830,,,,,,,,,
josepcu01,1989,1,STL,NHL,15,852,9,5,1,0,0,48,435,6,327,4,1,,1,0,18,167
griggch01,1975,1,DOT,WHA,2,80,0,0,0,0,0,13,59,,,,,,,,,
worslgu01,1967,1,MTL,NHL,40,2213,19,9,8,1,6,73,,12,669,11,0,,0,1,21,
wetzeca01,1967,1,MNS,NHL,5,269,1,2,1,0,0,18,,,,,,,,,,
legacma01,2008,1,STL,NHL,29,1452,13,9,2,1,0,77,669,,,,,,,,,
snowga01,1995,1,PHI,NHL,26,1437,12,8,4,3,0,69,648,1,1,0,0,,0,0,0,0
madelda01,1992,1,OTT,NHL,2,90,0,2,0,0,0,10,44,,,,,,,,,
masonch02,2007,1,NAS,NHL,51,2692,18,22,6,5,4,130,1278,,,,,,,,,
aitkean01,1932,1,NYR,NHL,48,2970,23,17,8,,3,107,,8,488,6,1,1,,2,13,
puppada01,1994,1,TBL,NHL,36,2013,14,19,2,4,1,90,946,,,,,,,,,
johnsed01,1966,1,BOS,NHL,34,1880,8,21,2,1,0,116,,,,,,,,,,
littmda01,1991,1,BUF,NHL,1,60,0,1,0,0,0,4,29,,,,,,,,,
niemian02,2010,1,SJS,NHL,60,3524,35,18,6,2,6,140,1741,18,1044,8,9,,1,0,56,538
wolfebe01,1975,1,WAS,NHL,40,2134,5,23,7,2,0,148,,,,,,,,,,
karakmi01,1944,1,CHI,NHL,48,2880,12,29,7,,4,187,,,,,,,,,,
smithbi01,1974,1,NYI,NHL,58,3368,21,18,17,3,3,156,,6,333,1,4,,1,0,23,
stanied01,1975,1,STL,NHL,11,620,5,3,2,0,0,33,,3,206,1,2,,0,0,7,
stanied01,1983,1,WIN,NHL,1,40,0,0,0,0,0,8,20,,,,,,,,,
rupppa01,1963,1,DET,NHL,1,60,0,1,0,0,0,4,,,,,,,,,,
forbeja01,1922,1,HAM,NHL,24,1470,6,18,0,,0,110,,,,,,,,,,
schwama01,2006,1,STL,NHL,2,60,0,1,0,0,0,3,25,,,,,,,,,
hrivnji01,1991,1,WAS,NHL,12,605,6,3,0,1,0,35,274,,,,,,,,,
dubiewa01,2007,1,NYI,NHL,20,1132,9,9,1,3,0,51,627,,,,,,,,,
smithbi01,1977,1,NYI,NHL,38,2154,20,8,8,2,2,95,,1,47,0,0,,0,0,1,
barrato01,1995,1,PIT,NHL,49,2799,29,16,2,5,2,160,1626,10,558,4,5,,2,1,26,337
evanscl01,1957,1,BOS,NHL,1,60,0,0,1,,0,4,,,,,,,,,,
astroha01,1979,1,COR,NHL,49,2574,9,27,6,3,0,161,,,,,,,,,,
jenseal01,1982,1,WAS,NHL,40,2358,22,12,6,1,1,135,1140,3,139,1,2,,0,0,10,
taylobo02,1971,1,PHI,NHL,6,320,1,2,2,0,0,16,,,,,,,,,,
balesmi01,1992,1,BOS,NHL,1,25,0,0,0,1,0,1,10,,,,,,,,,
brodatu01,1946,1,TOR,NHL,60,3600,31,19,10,,4,172,,11,680,8,3,,,1,27,
hainsge01,1923,1,SAC,WCHL,30,1849,15,12,3,,4,73,,,,,,,,,,
liutmi01,1987,1,HAR,NHL,60,3532,25,28,5,3,2,187,1620,3,160,1,1,,0,0,11,82
gilbegi01,1973,1,BOS,NHL,54,3210,34,12,8,0,6,158,,16,977,10,6,,1,1,43,
cudewi01,1933,2,DET,NHL,29,1860,15,6,8,,4,47,,9,593,4,5,0,,1,21,
tabarri01,1994,2,CAL,NHL,5,202,2,0,1,0,0,5,93,1,19,0,0,,0,0,0,9
reimeja01,2010,1,TOR,NHL,37,2080,20,10,5,3,3,90,1134,,,,,,,,,
bierkza01,1999,1,TBL,NHL,12,509,4,4,1,0,0,31,308,,,,,,,,,
thibajo01,1996,1,MTL,NHL,61,3397,22,24,11,5,1,164,1815,3,179,0,3,,2,0,13,101
theodjo01,1995,1,MTL,NHL,1,9,0,0,0,0,0,1,2,,,,,,,,,
wilsodu01,1971,1,VAN,NHL,53,2870,16,30,3,1,1,173,,,,,,,,,,
reeceda01,1975,1,BOS,NHL,14,777,7,5,2,1,2,43,,,,,,,,,,
oneilmi01,1996,1,ANA,NHL,1,31,0,0,0,0,0,3,10,,,,,,,,,
moogan01,1995,1,DAL,NHL,41,2228,13,19,7,6,1,111,1106,,,,,,,,,
passmst01,2002,1,CHI,NHL,11,617,2,5,2,0,0,38,284,,,,,,,,,
flahewa01,2000,1,NYI,NHL,20,1017,6,10,0,3,1,56,470,,,,,,,,,
durnabi01,1946,1,MTL,NHL,60,3600,34,16,10,,4,138,,11,719,6,5,,,1,23,
bibeapa01,1944,1,BOS,NHL,26,1530,6,18,2,,0,116,,7,437,3,4,,,0,22,
varlasi01,2009,1,WAS,NHL,26,1527,15,4,6,0,2,65,718,6,349,3,3,,1,0,14,153
brodatu01,1950,1,TOR,NHL,31,1833,14,11,5,,6,68,,8,492,5,1,,,2,9,
beaurst01,1993,1,WIN,NHL,13,418,0,4,1,0,0,34,211,,,,,,,,,
staubro01,1994,2,BUF,NHL,6,317,2,3,0,0,0,20,150,,,,,,,,,
simmoga01,1976,2,LAK,NHL,4,240,1,2,1,1,0,16,,1,20,0,0,,0,0,1,
millery01,2003,1,BUF,NHL,3,178,0,3,0,0,0,15,73,,,,,,,,,
trembvi01,1980,1,TOR,NHL,3,143,0,3,0,0,0,16,,,,,,,,,,
mckenbi01,1973,1,DET,NHL,13,720,4,4,4,0,1,43,,,,,,,,,,
malarcl01,1987,1,WAS,NHL,54,2926,24,20,4,2,4,154,1340,4,193,0,2,,0,0,15,95
beaupdo01,1995,2,TOR,NHL,8,336,0,5,0,1,0,26,170,2,20,0,0,,0,0,2,13
lapoino01,1977,1,CIN,WHA,13,647,5,6,1,2,0,50,345,,,,,,,,,
lumleha01,1946,1,DET,NHL,52,3120,22,20,10,,3,159,,,,,,,,,,
legacma01,1999,1,DET,NHL,4,240,4,0,0,0,0,11,117,,,,,,,,,
walshed01,1978,1,EDO,WHA,3,144,0,2,0,0,0,9,55,,,,,,,,,
chadwed01,1959,1,TOR,NHL,4,240,1,2,1,,0,15,,,,,,,,,,
lemelre01,1989,1,BOS,NHL,43,2310,22,15,2,2,2,108,1002,3,135,0,1,,0,0,13,57
raynech01,1950,1,NYR,NHL,66,3940,19,28,19,,2,187,,,,,,,,,,
mclenja01,2003,2,NYR,NHL,4,244,1,3,0,1,0,12,97,,,,,,,,,
reidch01,1923,1,CAT,WCHL,30,1841,18,11,1,,4,72,,5,300,3,1,1,,1,9,
raynech01,1951,1,NYR,NHL,53,3180,18,25,10,,2,159,,,,,,,,,,
bourqcl01,1939,2,MTL,NHL,36,2210,9,24,3,,3,120,,,,,,,,,,
ranfobi01,1997,1,WAS,NHL,22,1183,7,12,2,3,0,55,555,,,,,,,,,
gardich01,1928,1,CHI,NHL,44,2758,7,29,8,,5,85,,,,,,,,,,
thomati01,2006,1,BOS,NHL,66,3619,30,29,4,7,3,189,1985,,,,,,,,,
liutmi01,1984,1,STL,NHL,32,1869,12,12,6,0,1,119,992,,,,,,,,,
halakja01,2006,1,MTL,NHL,16,912,10,6,0,2,2,44,469,,,,,,,,,
careyji01,1997,1,BOS,NHL,10,496,3,2,1,0,2,24,225,,,,,,,,,
mattsma01,1977,3,WIJ,WHA,4,190,1,2,0,0,0,14,93,,,,,,,,,
sawchte01,1967,1,LAK,NHL,36,1936,11,14,6,2,2,99,,5,280,2,3,,0,1,18,
grahajo01,2002,1,BOS,NHL,23,1352,11,9,2,0,1,61,625,,,,,,,,,
vanbijo01,1991,1,NYR,NHL,45,2526,27,13,3,4,2,120,1331,7,368,2,5,,2,0,23,179
vokouto01,1998,1,NAS,NHL,37,1954,12,18,4,4,1,96,1041,,,,,,,,,
drydeda01,1968,1,CHI,NHL,30,1479,11,11,2,1,3,79,,,,,,,,,,
