coachid,award,year,lgid,note
martija02c,Джек Адамс,1998,NHL,
irvindi01c,Вторая команда всех звёзд,1933,NHL,
francbo01c,Джек Адамс,2001,NHL,
keenami01c,Джек Адамс,1984,NHL,
rossar01c,Вторая команда всех звёзд,1942,NHL,
irvindi01c,Вторая команда всех звёзд,1930,NHL,
hartce01c,Вторая команда всех звёзд,1936,NHL,
irvindi01c,Первая сборная всех звёзд,1943,NHL,
murrabr01c,Джек Адамс,1983,NHL,
bouchfr01c,Первая сборная всех звёзд,1941,NHL,
barbebi01c,Джек Адамс,2000,NHL,
patrile01c,Первая сборная всех звёзд,1930,NHL,
irvindi01c,Вторая команда всех звёзд,1931,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
thomppa01c,Первая сборная всех звёзд,1939,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
patrile01c,Первая сборная всех звёзд,1933,NHL,
dayha01c,Вторая команда всех звёзд,1943,NHL,
arboual01c,Джек Адамс,1978,NHL,
quennjo01c,Джек Адамс,1999,NHL,
rossar01c,Первая сборная всех звёзд,1938,NHL,
dineebi01c,Смерц,1976,WHA,
berenre01c,Джек Адамс,1980,NHL,
irvindi01c,Первая сборная всех звёзд,1945,NHL,
burnspa01c,Джек Адамс,1997,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
weilaco01c,Первая сборная всех звёзд,1940,NHL,
vigneal01c,Джек Адамс,2006,NHL,
brophjo01c,Смерц,1978,WHA,
hartce01c,Вторая команда всех звёзд,1936,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
suttebr01c,Джек Адамс,1990,NHL,
patrile01c,Первая сборная всех звёзд,1931,NHL,
duttore01c,Вторая команда всех звёзд,1938,NHL,
kelleja01c,Балдвин,1972,WHA,
demerja01c,Джек Адамс,1987,NHL,
patrile01c,Первая сборная всех звёзд,1932,NHL,
irvindi01c,Первая сборная всех звёзд,1943,NHL,
hitchke01c,Джек Адамс,2011,NHL,
dayha01c,Вторая команда всех звёзд,1943,NHL,
rossar01c,Вторая команда всех звёзд,1942,NHL,
bylsmda01c,Джек Адамс,2010,NHL,
berenre01c,Джек Адамс,1980,NHL,
dineebi01c,Смерц,1977,WHA,
burnspa01c,Джек Адамс,1997,NHL,
patrile01c,Первая сборная всех звёзд,1933,NHL,
demerja01c,Джек Адамс,1986,NHL,
irvindi01c,Первая сборная всех звёзд,1944,NHL,
adamsja01c,Первая сборная всех звёзд,1936,NHL,
patrile01c,Первая сборная всех звёзд,1937,NHL,
patrile01c,Первая сборная всех звёзд,1935,NHL,
krommbo01c,Смерц,1975,WHA,
rossar01c,Вторая команда всех звёзд,1937,NHL,
sathegl01c,Джек Адамс,1985,NHL,
ruffli01c,Джек Адамс,2005,NHL,
adamsja01c,Первая сборная всех звёзд,1936,NHL,
hitchke01c,Джек Адамс,2011,NHL,
patrile01c,Первая сборная всех звёзд,1930,NHL,
burnspa01c,Джек Адамс,1992,NHL,
dayha01c,Вторая команда всех звёзд,1943,NHL,
demerja01c,Джек Адамс,1987,NHL,
adamsja01c,Вторая команда всех звёзд,1944,NHL,
demerja01c,Джек Адамс,1986,NHL,
suttebr01c,Джек Адамс,1990,NHL,
irvindi01c,Вторая команда всех звёзд,1940,NHL,
patrile01c,Первая сборная всех звёзд,1933,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
tippeda01c,Джек Адамс,2009,NHL,
bouchfr01c,Первая сборная всех звёзд,1941,NHL,
adamsja01c,Первая сборная всех звёзд,1942,NHL,
vigneal01c,Джек Адамс,2006,NHL,
irvindi01c,Первая сборная всех звёзд,1943,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
patrile01c,Первая сборная всех звёзд,1932,NHL,
patrile01c,Первая сборная всех звёзд,1934,NHL,
murrabr01c,Джек Адамс,1983,NHL,
rossar01c,Вторая команда всех звёзд,1942,NHL,
barbebi01c,Джек Адамс,2000,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
