year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1982,NHL,MTL,25,6,9.0,,17,18,5.0,,,,,,7,2,3,,9,2,2,,4,6,3,,7.0,4.0,2.0,,7.0,5.0,1.0,,7,5,2,,1,0,1,
1950,NHL,CHI,8,22,5.0,,5,25,5.0,,,,,,2,3,2,,7,5,1,,2,8,4,,0.0,12.0,2.0,,2.0,8.0,1.0,,0,11,0,,,,,
1924,NHL,MTL,10,5,0.0,,7,6,2.0,,,,,,,,,,1,0,0,,6,1,1,,4.0,5.0,1.0,,4.0,4.0,0.0,,2,1,0,,,,,
1988,NHL,NYI,19,18,3.0,,9,29,2.0,,,,,,4,5,1,,3,10,1,,3,9,0,,6.0,7.0,1.0,,5.0,7.0,1.0,,6,8,1,,1,1,0,
2009,NHL,BUF,25,10,,6,20,17,,4,,,,,8,2,,1,7,5,,1,9,4,,2,8.0,3.0,,3,1.0,4.0,,2,10,5,,1,2,4,,0
1988,NHL,CHI,16,14,10.0,,11,27,2.0,,,,,,3,9,1,,3,7,3,,4,8,0,,6.0,5.0,3.0,,6.0,3.0,3.0,,4,8,2,,1,1,0,
1942,NHL,MTL,14,4,7.0,,5,15,5.0,,,,,,1,0,0,,2,7,2,,3,5,2,,5.0,3.0,4.0,,6.0,4.0,0.0,,2,0,4,,,,,
1990,NHL,PHI,18,16,6.0,,15,21,4.0,,,,,,6,6,0,,11,4,2,,4,8,3,,6.0,4.0,1.0,,4.0,5.0,2.0,,2,10,2,,,,,
1978,WHA,SOV,0,0,0.0,,4,1,1.0,,,,,,,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,
1950,NHL,BOS,13,12,10.0,,9,18,8.0,,,,,,0,4,3,,4,7,2,,6,6,3,,6.0,3.0,3.0,,3.0,4.0,5.0,,3,6,2,,,,,
1975,WHA,SDM,24,12,4.0,,12,26,2.0,,,,,,3,3,1,,6,7,1,,7,4,2,,8.0,8.0,0.0,,6.0,6.0,0.0,,5,8,2,,1,2,0,
1987,NHL,TOR,14,20,6.0,,7,29,4.0,,,,,,6,4,0,,4,7,2,,4,8,2,,1.0,9.0,5.0,,4.0,8.0,1.0,,1,12,0,,1,1,0,
1979,NHL,STL,20,13,7.0,,14,21,5.0,,,,,,3,4,3,,5,9,1,,5,5,2,,8.0,3.0,3.0,,6.0,4.0,1.0,,4,9,2,,3,0,0,
1962,NHL,TOR,21,8,6.0,,14,15,6.0,,,,,,3,5,1,,7,4,1,,8,2,3,,7.0,6.0,2.0,,4.0,4.0,2.0,,6,2,3,,,,,
2008,NHL,WAS,29,9,,3,21,15,,5,,,,,5,3,,1,8,5,,2,11,3,,0,7.0,4.0,,1,9.0,3.0,,1,6,5,,2,4,1,,1
1998,NHL,SJS,17,15,9.0,,14,18,9.0,,,,,,1,6,2,,4,5,3,,5,5,3,,5.0,4.0,4.0,,5.0,7.0,2.0,,7,3,3,,4,3,1,
1996,NHL,STL,17,20,4.0,,19,15,7.0,,,,,,5,7,0,,8,4,0,,4,9,2,,8.0,3.0,2.0,,3.0,6.0,4.0,,5,5,1,,3,1,2,
1971,NHL,PHI,19,13,7.0,,7,25,7.0,,,,,,5,4,1,,2,7,3,,4,7,1,,3.0,8.0,3.0,,5.0,6.0,3.0,,7,5,2,,0,1,1,
1933,NHL,DET,15,5,4.0,,9,9,6.0,,,,,,,,,,6,3,0,,3,5,2,,5.0,2.0,5.0,,7.0,1.0,3.0,,3,3,0,,,,,
1923,WCHL,CAT,13,2,0.0,,5,9,1.0,,,,,,,,,,,,,,6,1,0,,7.0,5.0,0.0,,5.0,5.0,0.0,,0,0,1,,,,,
1973,WHA,NEW,26,11,2.0,,17,20,2.0,,,,,,7,3,1,,7,6,0,,8,5,0,,6.0,6.0,1.0,,6.0,6.0,1.0,,9,4,1,,0,1,0,
2007,NHL,MIN,25,11,,5,19,17,,5,,,,,7,3,,2,7,6,,0,8,6,,0,7.0,4.0,,1,7.0,5.0,,2,7,4,,4,1,0,,1
1991,NHL,BOS,23,11,6.0,,13,21,6.0,,,,,,3,6,2,,7,4,2,,7,6,1,,9.0,3.0,1.0,,3.0,6.0,3.0,,6,7,1,,1,0,2,
1993,NHL,STL,23,11,8.0,,17,22,3.0,,,,,,7,2,1,,5,4,4,,7,8,0,,7.0,4.0,2.0,,6.0,5.0,1.0,,5,7,1,,3,3,2,
1932,NHL,NYR,12,7,5.0,,11,10,3.0,,,,,,,,,,3,1,1,,7,3,2,,6.0,5.0,1.0,,4.0,4.0,3.0,,3,4,1,,,,,
2001,NHL,ANA,15,19,5.0,2,14,23,3.0,1,,,,,4,7,1,0,3,9,2,0,6,5,2,3,6.0,8.0,1.0,0,2.0,3.0,0.0,0,6,7,1,0,2,3,1,0
1990,NHL,CAL,29,8,3.0,,17,18,5.0,,,,,,9,4,0,,5,5,3,,8,5,1,,5.0,6.0,1.0,,8.0,2.0,2.0,,11,4,1,,,,,
1937,NHL,NYR,14,6,4.0,,13,9,2.0,,,,,,,,,,3,4,1,,7,3,1,,6.0,2.0,3.0,,8.0,3.0,0.0,,3,3,1,,,,,
1918,NHL,TOA,5,4,0.0,,0,9,0.0,,,,,,,,,,,,,,1,3,0,,2.0,5.0,0.0,,2.0,5.0,0.0,,,,,,,,,
1950,NHL,TOR,22,8,5.0,,19,8,8.0,,,,,,5,1,2,,9,3,2,,6,5,3,,5.0,2.0,3.0,,7.0,1.0,3.0,,9,4,0,,,,,
2002,NHL,PHI,21,10,8.0,2,24,10,5.0,2,,,,,7,1,2,0,4,5,4,0,6,4,2,1,10.0,4.0,0.0,1,6.0,3.0,3.0,0,9,3,2,2,3,0,0,0
2010,NHL,DET,21,14,,6,26,11,,4,,,,,6,2,,1,10,2,,1,8,5,,3,6.0,4.0,,1,9.0,5.0,,0,5,5,,4,3,2,,0
2005,NHL,MIN,23,16,,2,15,20,,6,,,,,6,4,,2,4,6,,1,8,7,,1,7.0,7.0,,0,4.0,2.0,,1,5,7,,2,4,3,,1
1971,NHL,BUF,11,19,9.0,,5,24,10.0,,,,,,3,7,2,,1,7,3,,4,8,4,,2.0,7.0,3.0,,3.0,6.0,3.0,,2,8,4,,1,0,0,
1968,NHL,NYR,27,7,4.0,,14,19,5.0,,,,,,6,3,0,,8,4,0,,5,7,3,,8.0,4.0,1.0,,5.0,5.0,2.0,,9,3,3,,,,,
1922,WCHL,SAC,7,9,0.0,,1,11,2.0,,,,,,,,,,,,,,1,4,1,,3.0,8.0,1.0,,3.0,6.0,0.0,,1,2,0,,,,,
1995,NHL,LAK,16,16,9.0,,8,24,9.0,,,,,,4,3,4,,7,7,1,,3,5,4,,3.0,8.0,2.0,,1.0,9.0,4.0,,4,6,2,,2,2,1,
1999,NHL,NYI,10,25,5.0,1,14,23,4.0,0,,,,,2,6,1,0,4,6,2,0,3,9,2,0,4.0,9.0,1.0,1,4.0,8.0,1.0,0,5,8,1,0,2,2,1,0
1919,NHL,OTS,11,1,0.0,,8,4,0.0,,,,,,,,,,,,,,2,0,0,,7.0,3.0,0.0,,7.0,1.0,0.0,,3,1,0,,,,,
1914,NHA,TBS,6,5,0.0,,2,7,0.0,,,,,,,,,,,,,,1,1,0,,6.0,3.0,0.0,,1.0,7.0,0.0,,0,1,0,,,,,
2009,NHL,CAL,20,17,,4,20,15,,6,,,,,7,4,,1,10,2,,2,6,6,,2,4.0,8.0,,3,3.0,3.0,,1,9,6,,0,1,3,,1
