year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1970,NHL,PHI,4,0,4,0,8,20,57,,4,,1,7,,0
1927,NHL,NYR,9,5,3,1,16,12,152,,,,,,,
1964,NHL,TOR,6,2,4,0,14,17,136,,,,,,,
1975,WHA,PHR,5,2,3,0,13,17,,,,,,,,
1952,NHL,DET,6,2,4,0,21,21,50,,,,,,,
1998,NHL,OTT,4,0,4,0,6,12,46,0,3,27,0,4,18,0
1986,NHL,MTL,17,10,7,0,67,54,433,6,16,60,2,11,63,3
1982,NHL,WAS,4,1,3,0,11,19,98,0,1,24,0,3,18,0
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1960,NHL,CHI,12,8,4,0,35,27,162,,,,,,,
1940,NHL,MTL,3,1,2,0,7,8,34,,,,,,,
1990,NHL,BOS,19,10,9,0,60,62,439,2,24,100,3,17,92,0
2006,NHL,BUF,16,9,7,0,44,39,162,0,11,88,1,14,75,0
2007,NHL,CAL,7,3,4,0,17,19,70,2,6,22,0,6,31,0
1933,NHL,CHI,8,6,1,1,19,12,51,,,,,,,
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
1985,NHL,STL,19,10,9,0,64,70,579,0,13,91,3,26,96,3
1933,NHL,MTL,2,0,1,1,3,4,8,,,,,,,
1999,NHL,COL,17,11,6,0,43,32,178,2,15,86,1,12,68,1
1983,NHL,EDM,19,15,4,0,94,56,460,4,17,76,3,20,89,3
1990,NHL,WAS,11,5,6,0,29,35,328,2,8,50,0,9,59,1
1920,NHL,TRS,2,0,2,0,0,7,24,,,,,,,
2009,NHL,VAN,12,6,6,0,43,41,175,6,11,50,2,17,54,0
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
1969,NHL,MNS,6,2,4,0,16,20,82,,7,,1,10,,0
1980,NHL,PHI,12,6,6,0,48,39,415,10,11,37,0,14,61,2
1990,NHL,PIT,24,16,8,0,95,68,571,12,26,137,4,25,120,3
2007,NHL,COL,10,4,6,0,26,33,134,2,10,48,4,10,44,1
1925,NHL,OTS,2,0,1,1,1,2,42,,,,,,,
1979,NHL,MNS,15,8,7,0,49,56,206,0,17,86,4,17,56,3
1990,NHL,MTL,13,7,6,0,47,42,333,4,13,68,2,12,68,3
1979,NHL,BUF,14,9,5,0,48,36,237,6,17,61,3,9,55,1
1988,NHL,BOS,10,5,5,0,29,30,229,2,6,47,,7,44,2
2011,NHL,STL,9,4,5,0,20,23,212,0,6,35,2,3,38,0
1954,NHL,TOR,4,0,4,0,6,14,60,,,,,,,
1999,NHL,SJS,12,5,7,0,27,37,164,2,10,63,2,13,61,2
2011,NHL,NYR,20,10,10,0,43,41,218,2,13,73,0,11,69,0
1939,NHL,NYR,12,8,4,0,29,20,137,,,,,,,
1917,PCHA,VML,2,1,0,1,3,2,,,,,,,,
1982,NHL,EDM,16,11,5,0,80,50,372,0,14,72,2,18,74,10
1982,NHL,STL,4,1,3,0,10,16,116,0,5,22,0,3,23,0
1926,NHL,OTS,6,3,0,3,12,4,85,,,,,,,
1930,NHL,CHI,9,5,3,1,15,14,98,,,,,,,
1991,NHL,EDM,16,8,8,0,49,54,340,0,14,78,0,17,90,1
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1944,NHL,TOR,13,8,5,0,24,30,62,,,,,,,
1989,NHL,BOS,21,13,8,0,62,59,421,12,15,93,1,9,88,3
1971,NHL,TOR,5,1,4,0,10,18,92,,3,,1,2,,1
1984,NHL,PHI,19,12,7,0,61,54,563,2,19,103,2,17,83,4
1992,NHL,PIT,12,7,5,0,50,37,200,0,12,52,5,9,61,2
1982,NHL,WIN,3,0,3,0,9,14,74,0,6,17,3,2,11,0
1971,NHL,PIT,4,0,4,0,8,14,71,,1,,1,0,,1
1978,NHL,CHI,4,0,4,0,3,14,45,0,0,9,0,2,11,0
1986,NHL,LAK,5,1,4,0,20,32,118,0,5,28,1,8,30,0
1989,NHL,HAR,7,3,4,0,21,23,143,2,3,34,1,8,32,0
2002,NHL,BOS,5,1,4,0,8,13,70,0,3,18,0,3,22,0
1968,NHL,TOR,4,0,4,0,5,24,119,,1,,2,8,,1
1988,NHL,HAR,4,0,4,0,11,18,111,0,1,15,,4,18,1
1987,NHL,CHI,5,1,4,0,17,21,188,0,8,29,,10,38,1
1920,PCHA,SEA,2,0,2,0,2,13,,,,,,,,
1997,NHL,COL,7,3,4,0,16,19,209,0,5,35,0,7,46,1
1997,NHL,BUF,15,10,5,0,46,32,268,2,16,89,1,9,90,2
1998,NHL,TOR,17,9,8,0,43,46,252,0,12,87,3,13,71,0
1948,NHL,MTL,7,3,4,0,14,17,103,,,,,,,
1991,NHL,STL,6,2,4,0,19,23,166,2,7,36,1,9,42,1
2003,NHL,NJD,5,1,4,0,9,14,28,0,3,18,0,4,12,0
1982,NHL,MNS,9,4,5,0,34,40,192,4,12,42,2,10,42,0
1980,NHL,MTL,3,0,3,0,6,15,62,0,2,17,0,1,12,0
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
