playerid,year,ppa,sha
goulemi01,1989,15,1
ciccadi01,1988,10,1
dineego01,1988,2,
zezelpe01,1990,5,1
pavesji01,1987,1,
johanca01,1988,7,
smaildo01,1990,1,1
crossdo01,1990,21,
brownro01,1990,10,
maclebr01,1988,8,
gingrga01,1987,9,
tuckejo01,1989,6,
duguaro01,1987,2,
norwole01,1990,3,
lemiejo01,1989,1,1
gartnmi01,1989,14,1
mcbeawa01,1988,1,
iafraal01,1990,11,1
murphla01,1988,22,
broteaa01,1989,3,
deblolu01,1990,,1
brownje02,1989,24,
franclo01,1990,1,1
mcdonhu01,1989,1,
bodgedo01,1988,25,1
ysebapa01,1990,4,1
wilsoca01,1988,19,
ruffli01,1988,1,
ledyagr01,1987,5,
bassebo01,1988,,1
loisecl01,1990,1,1
lawtobr01,1988,4,
linseke01,1989,8,
cyrpa01,1987,1,
konrost01,1988,1,1
frasecu01,1987,2,
malondo01,1988,2,
hardyma01,1987,10,1
klimape01,1989,11,
pederma01,1990,7,
pederba01,1989,7,1
tantito01,1990,5,
momesse01,1990,1,
libaig01,1988,6,
hunteda01,1987,1,4
sheehne01,1987,1,
manthmo01,1988,9,
carsoli01,1987,1,1
krushmi01,1990,3,
quinnda01,1989,15,1
picarro02,1989,1,1
nylunga01,1988,1,
sandsto01,1989,20,
kaspest01,1988,6,2
kontoch01,1987,6,
macdepa01,1989,2,
carpebo01,1988,4,
tuckejo01,1990,1,
proppbr01,1989,9,
mckegto01,1990,7,
lawlepa01,1987,3,
macivno01,1988,19,
huberwi01,1987,14,
actonke01,1988,,1
robergo01,1987,3,
