year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1977,WHA,CZE,CZE,,,10,,8,1,6,1.0,,3,,,21,40,Czechoslovakia,87,6,,,,,,
1957,NHL,BOS,BOS,,,4,F,70,27,28,15.0,,69,,,199,194,Boston Bruins,849,,,,,,,
2005,NHL,CAR,CAR,EC,SE,1,SC,82,52,22,,8,112,8,2,294,260,Carolina Hurricanes,1125,18,95,531,13,81,445,17
1987,NHL,EDM,EDM,CC,SM,2,SC,80,44,25,11.0,,99,,,363,288,Edmonton Oilers,2173,22,88,402,11,86,447,20
1976,NHL,TOR,TOR,WA,AD,3,QF,80,33,32,15.0,,81,,,301,285,Toronto Maple Leafs,1200,8,63,281,6,59,284,13
1953,NHL,DET,DET,,,1,SC,70,37,19,14.0,,88,,,191,132,Detroit Red Wings,814,,,,,,,
1972,NHL,PHI,PHI,,WD,2,SF,78,37,30,11.0,,85,,,296,256,Philadelphia Flyers,1756,12,74,257,4,68,360,10
1975,WHA,NEW,CAR,,EW,3,AVSF,80,33,40,7.0,,73,,,255,290,New England Whalers,1012,,46,259,4,56,271,15
1995,NHL,OTT,OTT,EC,NE,6,,82,18,59,5.0,,41,,,191,291,Ottawa Senators,1553,16,53,430,14,83,375,6
1974,WHA,TOT,BIR,,CW,2,AVQF,78,43,33,2.0,,88,,,349,304,Toronto Toros,883,,57,285,9,50,233,7
2009,NHL,NYI,NYI,EC,AT,5,,82,34,37,,11,79,8,6,222,264,New York Islanders,950,22,49,306,3,71,300,7
1985,NHL,TOR,TOR,CC,NO,4,DF,80,25,48,7.0,,57,,,311,386,Toronto Maple Leafs,1716,10,67,364,11,83,364,7
1909,NHA,OT1,STE,,,2,,12,9,3,0.0,,18,,,89,66,Ottawa Senators,,,,,,,,
1992,NHL,PHI,PHI,WA,PT,5,,84,36,37,11.0,,83,,,319,319,Philadelphia Flyers,1887,14,72,399,11,95,421,15
1919,PCHA,SEA,SEA,,,1,F,22,12,10,0.0,,24,,,59,55,Seattle Metropolitans,,,,,,,,
1977,WHA,QUN,COL,,,4,AVSF,80,40,37,3.0,,83,,,349,347,Quebec Nordiques,1185,14,79,277,10,60,269,11
1998,NHL,EDM,EDM,WC,NW,2,CQF,82,33,37,12.0,,78,,,230,226,Edmonton Oilers,1373,12,63,438,10,67,374,8
1920,NHL,MTL,MTL,,,3,,24,13,11,0.0,,26,,,112,99,Montreal Canadiens,325,,,,,,,
1959,NHL,CHI,CHI,,,3,SF,70,28,29,13.0,,69,,,191,180,Chicago Black Hawks,970,,,,,,,
1984,NHL,NYI,NYI,WA,PT,3,DF,80,40,34,6.0,,86,,,345,312,New York Islanders,1516,4,71,277,7,68,386,14
1990,NHL,NYI,NYI,WA,PT,6,,80,25,45,10.0,,60,,,223,290,New York Islanders,1723,8,51,317,12,78,353,9
2001,NHL,STL,STL,WC,CE,2,CSF,82,43,27,8.0,4,98,,,227,188,St. Louis Blues,1343,26,62,356,7,56,379,5
1911,PCHA,VA1,SPO,,,3,,16,7,9,0.0,,14,,,81,90,Victoria Aristocrats,,,,,,,,
1921,WCHL,SMJ,SAS,,,4,,24,5,19,0.0,,10,,,67,137,Saskatoon/Moose Jaw Sheiks,,,,,,,,
1978,NHL,TOR,TOR,WA,AD,3,QF,80,34,33,13.0,,81,,,267,252,Toronto Maple Leafs,1440,10,60,236,7,70,330,5
1938,NHL,DET,DET,,,5,SF,48,18,24,6.0,,42,,,107,128,Detroit Red Wings,242,,,,,,,
1973,NHL,PHI,PHI,,WD,1,SC,78,50,16,12.0,,112,,,273,164,Philadelphia Flyers,1750,10,60,269,6,49,422,20
1946,NHL,NYR,NYR,,,5,,60,22,32,6.0,,50,,,167,186,New York Rangers,418,,,,,,,
1972,NHL,LAK,LAK,,WD,6,,78,31,36,11.0,,73,,,232,245,Los Angeles Kings,888,14,52,295,10,31,229,4
1996,NHL,BOS,BOS,EC,NE,6,,82,26,47,9.0,,61,,,234,300,Boston Bruins,1369,4,46,310,6,56,308,15
2007,NHL,NYI,NYI,EC,AT,5,,82,35,38,,9,79,5,3,194,243,New York Islanders,1041,18,48,330,15,68,375,10
1971,NHL,CHI,CHI,,WD,1,SF,78,46,17,15.0,,107,,,256,166,Chicago Black Hawks,844,8,43,255,10,35,240,7
2009,NHL,TOR,TOR,EC,NE,5,,82,30,38,,14,74,4,4,214,267,Toronto Maple Leafs,1091,20,44,315,7,73,288,4
1942,NHL,NYR,NYR,,,6,,50,11,31,8.0,,30,,,161,253,New York Rangers,352,,,,,,,
1973,NHL,VAN,VAN,,ED,7,,78,24,43,11.0,,59,,,224,296,Vancouver Canucks,952,10,55,279,8,70,269,4
1992,NHL,CAL,CAL,CC,SM,2,DSF,84,43,30,11.0,,97,,,322,282,Calgary Flames,1951,12,85,447,9,83,492,15
2011,NHL,CBS,CBS,WC,CE,5,,82,29,46,,7,65,4,5,202,262,Columbus Blue Jackets,1037,16,49,317,8,64,274,7
2010,NHL,NJD,NJD,EC,AT,4,,82,38,39,,5,81,3,2,174,209,New Jersey Devils,765,18,34,237,8,40,241,3
1986,NHL,EDM,EDM,CC,SM,1,SC,80,50,24,6.0,,106,,,372,284,Edmonton Oilers,1721,26,70,318,8,74,372,28
2011,NHL,AND,ANA,WC,PC,5,,82,34,36,,12,80,3,7,204,231,Anaheim Ducks,980,18,45,271,5,51,283,4
1931,NHL,NYA,BKN,,CA,4,,48,16,24,8.0,,40,,,95,142,New York Americans,589,,,,,,,
2000,NHL,EDM,EDM,WC,NW,2,CQF,82,39,28,12.0,3,93,,,243,222,Edmonton Oilers,1287,10,59,398,4,62,382,13
1997,NHL,PIT,PIT,EC,NE,1,CQF,82,40,24,18.0,,98,,,228,188,Pittsburgh Penguins,1225,10,67,407,16,46,338,11
1991,NHL,EDM,EDM,CC,SM,3,CF,80,36,34,10.0,,82,,,295,297,Edmonton Oilers,1907,24,68,366,15,93,423,12
