year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1929,NHL,OTS,2,0,1,1,3,6,29,,,,,,,
1973,WHA,CHC,18,8,10,0,67,72,,,,,,,,
2003,NHL,NAS,6,2,4,0,9,12,76,0,1,29,1,2,29,1
1998,NHL,PIT,13,6,7,0,35,36,183,2,8,45,1,6,50,0
1974,NHL,LAK,3,1,2,0,6,7,82,0,2,9,0,0,9,0
1999,NHL,NJD,23,16,7,0,61,39,192,6,12,70,1,5,67,4
2009,NHL,SJS,15,8,7,0,41,41,163,0,14,71,0,9,49,1
1949,NHL,NYR,12,7,5,0,32,29,105,,,,,,,
1996,NHL,CHI,6,2,4,0,14,28,160,0,1,27,0,12,45,2
1955,NHL,MTL,10,8,2,0,42,18,159,,,,,,,
1956,NHL,NYR,5,1,4,0,12,22,48,,,,,,,
1975,WHA,IND,7,3,4,0,15,18,,,,,,,,
2001,NHL,TOR,20,10,10,0,44,49,389,4,13,90,0,20,99,0
1987,NHL,WIN,5,1,4,0,17,25,213,0,7,37,,10,35,1
1988,NHL,STL,10,5,5,0,35,34,216,6,8,56,,6,38,1
1967,NHL,PHI,7,3,4,0,17,17,142,,6,,3,4,,1
1954,NHL,TOR,4,0,4,0,6,14,60,,,,,,,
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
1955,NHL,TOR,5,1,4,0,10,14,65,,,,,,,
1990,NHL,DET,7,3,4,0,20,24,272,2,4,33,0,3,39,1
1971,NHL,TOR,5,1,4,0,10,18,92,,3,,1,2,,1
1968,NHL,BOS,10,6,4,0,40,20,226,,11,,1,7,,5
1989,NHL,WIN,7,3,4,0,22,24,110,0,7,36,2,6,33,0
1995,NHL,BOS,5,1,4,0,16,22,147,0,7,27,0,5,30,2
1994,NHL,NJD,20,16,4,0,67,34,227,2,18,72,2,10,74,1
1956,NHL,MTL,10,8,2,0,37,18,122,,,,,,,
1975,NHL,CHI,4,0,4,0,3,13,67,2,2,16,1,3,17,0
1973,WHA,CLC,5,1,4,0,9,18,,,,,,,,
1975,WHA,HOU,17,8,9,0,56,64,,,,,,,,
1997,NHL,NJD,6,2,4,0,12,13,92,0,3,23,0,4,25,2
1988,NHL,PIT,11,7,4,0,43,42,452,2,16,70,,17,69,1
1988,NHL,BUF,5,1,4,0,14,16,188,0,6,31,,5,30,2
1991,NHL,WIN,7,3,4,0,17,29,167,4,7,38,1,5,39,0
1931,NHL,CHI,2,1,1,0,2,6,18,,,,,,,
1970,NHL,BOS,7,3,4,0,26,28,190,,6,,0,5,,2
1996,NHL,DET,20,16,4,0,58,38,437,6,17,117,0,15,96,2
1991,NHL,WAS,7,3,4,0,27,25,139,0,7,37,1,11,34,1
2009,NHL,PHO,7,3,4,0,18,26,81,0,6,33,0,8,34,1
1973,NHL,PHI,17,12,5,0,54,36,578,,14,,1,9,,2
1987,NHL,HAR,6,2,4,0,20,23,81,0,5,26,,6,26,0
1926,NHL,MTM,2,0,1,1,1,2,18,,,,,,,
1996,NHL,MTL,5,1,4,0,11,22,105,0,0,16,3,9,28,2
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1948,NHL,BOS,5,1,4,0,10,16,50,,,,,,,
2011,NHL,OTT,7,3,4,0,13,14,107,0,4,26,0,5,32,0
1988,NHL,PHI,19,10,9,0,64,60,612,2,20,96,,26,119,8
1996,NHL,COL,17,10,7,0,59,41,380,6,21,95,4,7,86,0
1965,NHL,CHI,6,2,4,0,10,22,75,,,,,,,
2001,NHL,LAK,7,3,4,0,13,16,72,2,1,17,0,2,26,0
1950,NHL,BOS,6,1,4,1,5,17,72,,,,,,,
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
1981,NHL,MTL,5,2,3,0,16,11,201,2,4,36,1,3,26,3
1984,NHL,QUE,18,9,9,0,58,63,533,6,16,87,3,18,90,2
1943,NHL,MTL,9,8,1,0,39,14,102,,,,,,,
1980,NHL,CHI,3,0,3,0,9,15,43,2,1,11,0,3,11,1
1995,NHL,VAN,6,2,4,0,17,24,99,0,7,39,0,8,36,0
1992,NHL,BOS,4,0,4,0,12,19,56,0,4,22,1,5,19,1
1967,NHL,LAK,7,3,4,0,21,26,114,,5,,1,4,,0
1993,NHL,DAL,9,5,4,0,27,28,149,4,10,49,1,7,41,0
1998,NHL,OTT,4,0,4,0,6,12,46,0,3,27,0,4,18,0
1991,NHL,BUF,7,3,4,0,24,19,80,0,10,40,0,6,28,2
1983,NHL,STL,11,6,5,0,30,31,241,4,8,42,3,8,49,3
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
1941,NHL,NYR,6,2,4,0,12,13,60,,,,,,,
1935,NHL,TOR,9,4,5,0,25,27,76,,,,,,,
1991,NHL,EDM,16,8,8,0,49,54,340,0,14,78,0,17,90,1
1945,NHL,DET,5,1,4,0,10,16,22,,,,,,,
2010,NHL,BUF,7,3,4,0,18,22,109,2,7,31,0,5,35,0
1976,WHA,IND,9,5,4,0,33,34,,,,,,,,
1950,NHL,TOR,11,8,2,1,30,15,145,,,,,,,
1947,NHL,TOR,9,8,1,0,38,20,102,,,,,,,
1995,NHL,DET,19,10,9,0,58,46,302,4,20,112,1,13,89,5
