year,lgid,tmid,oppid,w,l,t,otl
2010,NHL,LAK,COL,4,0,,0
1996,NHL,DAL,PHI,0,1,1.0,
1972,WHA,QUN,ALB,3,3,0.0,
2000,NHL,WAS,SJS,0,1,0.0,0
1997,NHL,BOS,NYI,2,1,1.0,
2002,NHL,ANA,FLO,1,0,1.0,0
2000,NHL,BOS,LAK,0,1,1.0,0
2005,NHL,NJD,OTT,2,2,,0
1996,NHL,PHO,NYI,0,1,1.0,
2000,NHL,ANA,NYR,2,0,0.0,0
1980,NHL,PHI,EDM,2,2,0.0,
2001,NHL,BOS,COL,0,1,0.0,0
1980,NHL,WAS,BUF,0,2,2.0,
2008,NHL,TBL,CAL,1,0,,0
1999,NHL,TOR,FLO,2,1,0.0,0
1975,NHL,NYR,MTL,0,3,1.0,
1999,NHL,CAL,STL,0,3,1.0,1
1999,NHL,NYR,ATL,4,0,0.0,0
1993,NHL,ANA,HAR,2,0,0.0,
1982,NHL,CAL,LAK,3,3,2.0,
1996,NHL,LAK,COL,3,3,0.0,
2005,NHL,BUF,PIT,4,0,,0
1976,NHL,CLE,LAK,1,2,2.0,
2008,NHL,AND,NYI,0,1,,0
2006,NHL,LAK,CAR,0,1,,0
2008,NHL,MTL,SJS,1,0,,0
1998,NHL,DAL,BOS,2,0,0.0,
2008,NHL,FLO,TBL,3,1,,2
2007,NHL,PHO,NYI,0,1,,0
2011,NHL,LAK,TBL,1,0,,0
1982,NHL,LAK,HAR,2,1,0.0,
1999,NHL,EDM,FLO,0,1,1.0,0
1994,NHL,BUF,BOS,0,3,1.0,
2000,NHL,LAK,NYI,2,0,0.0,0
1976,WHA,QUN,SDM,4,2,0.0,
1989,NHL,PIT,WAS,5,2,0.0,
1983,NHL,VAN,WAS,1,2,0.0,
2002,NHL,BOS,CHI,0,2,0.0,0
1995,NHL,DET,PIT,1,1,0.0,
2002,NHL,COL,CBS,3,0,1.0,0
1981,NHL,CAL,TOR,1,0,2.0,
2010,NHL,CAR,DET,1,0,,0
1988,NHL,STL,PHI,3,0,0.0,
1990,NHL,QUE,NJD,1,2,0.0,
1984,NHL,DET,MNS,3,2,3.0,
1998,NHL,VAN,BOS,1,0,1.0,
1984,NHL,TOR,CAL,0,3,0.0,
1909,NHA,MOS,OT1,0,2,0.0,
1996,NHL,DET,SJS,4,0,0.0,
1992,NHL,TBL,MTL,1,1,0.0,
1984,NHL,PIT,NJD,2,5,0.0,
1995,NHL,WAS,OTT,4,0,0.0,
2001,NHL,PHO,BUF,1,1,0.0,0
2010,NHL,CAR,MIN,2,0,,0
1991,NHL,CHI,MTL,1,1,0.0,
1976,NHL,CHI,ATF,2,3,0.0,
2007,NHL,PHI,OTT,3,0,,1
1979,NHL,WIN,COR,2,1,1.0,
1982,NHL,LAK,PIT,1,2,0.0,
2000,NHL,FLO,PIT,1,1,1.0,1
2011,NHL,TOR,STL,1,0,,0
1995,NHL,STL,TBL,2,0,0.0,
1988,NHL,STL,TOR,6,2,0.0,
1985,NHL,WAS,NYR,3,3,1.0,
1993,NHL,PIT,QUE,1,4,0.0,
1974,WHA,CHC,HOU,0,6,0.0,
1972,WHA,PHB,NEW,4,4,0.0,
1998,NHL,LAK,PIT,1,1,0.0,
2011,NHL,WPG,CAL,0,1,,0
1990,NHL,MTL,STL,1,2,0.0,
1991,NHL,NYR,BOS,2,1,0.0,
2006,NHL,PIT,OTT,3,1,,0
1928,NHL,TOR,PIP,2,1,1.0,
1964,NHL,NYR,TOR,5,4,5.0,
1976,NHL,BUF,STL,2,2,0.0,
1977,WHA,WIJ,NEW,7,3,1.0,
1987,NHL,NYI,BUF,2,1,0.0,
2001,NHL,OTT,LAK,0,1,1.0,0
2010,NHL,FLO,EDM,0,1,,0
1997,NHL,FLO,SJS,0,0,2.0,
1982,NHL,MNS,BUF,2,0,1.0,
2009,NHL,TOR,NYI,1,2,,1
1993,NHL,DET,NJD,1,1,0.0,
1941,NHL,CHI,BOS,3,3,2.0,
1970,NHL,VAN,BUF,3,3,0.0,
1981,NHL,LAK,EDM,1,5,2.0,
1992,NHL,WAS,BOS,1,2,0.0,
2011,NHL,TOR,NAS,0,1,,0
1991,NHL,LAK,HAR,0,1,2.0,
1999,NHL,FLO,STL,0,1,1.0,0
1982,NHL,TOR,NYR,0,3,0.0,
