playerid,year,stint,tmid,w,l,sa,ga
mcelhcu01,2009,2,AND,1,2,8,4
legacma01,2005,1,DET,2,2,17,7
valiqst01,2006,1,NYR,1,0,4,2
holmqjo01,2007,1,TBL,1,0,4,1
kolziol01,2005,1,WAS,4,5,44,15
rolosdw01,2005,1,MIN,0,1,8,2
rasktu01,2009,1,BOS,5,4,33,10
dunhami01,2006,1,NYI,1,1,8,3
hedbejo01,2010,1,NJD,2,1,11,3
dipieri01,2010,1,NYI,2,1,9,3
bobrose01,2010,1,PHI,1,4,17,9
johnsbr02,2008,1,WAS,0,1,2,1
nabokev01,2008,1,SJS,5,4,32,11
halakja01,2007,1,MTL,0,1,3,1
elliobr01,2009,1,OTT,2,4,21,7
bacasja01,2005,1,STL,1,0,4,1
enrotjh01,2010,1,BUF,3,0,19,5
lundqhe01,2008,1,NYR,9,4,40,10
kiprumi01,2005,1,CAL,1,7,23,12
johnsbr02,2009,1,PIT,2,0,6,0
masonch02,2008,1,STL,3,4,18,7
marksja02,2011,1,FLO,0,1,3,1
bryzgil01,2009,1,PHO,8,5,62,17
quickjo01,2008,1,LAK,4,1,14,4
pavelon01,2010,1,ATL,3,5,24,9
backsni01,2010,1,MIN,1,4,17,8
crawfco01,2011,1,CHI,6,4,32,6
hillejo01,2010,1,AND,4,2,26,4
fernama01,2008,1,BOS,0,2,9,4
grahajo01,2006,1,CAR,0,1,3,2
legacma01,2008,1,STL,3,1,13,4
legacma01,2007,1,STL,2,3,17,4
huetcr01,2008,1,CHI,2,2,12,5
josepcu01,2005,1,PHO,3,2,19,6
lalimpa01,2007,1,CHI,3,0,9,2
vokouto01,2007,1,FLO,5,6,41,11
hasekdo01,2006,1,DET,1,5,16,8
emeryra01,2011,1,CHI,1,3,13,5
kiprumi01,2010,1,CAL,8,4,41,12
ramoka01,2008,1,TBL,1,3,13,5
gigueje01,2008,1,AND,2,2,12,4
vokouto01,2005,1,NAS,4,3,20,8
hardijo01,2007,1,MIN,2,2,14,6
hardijo01,2008,1,MIN,0,1,2,1
markkju01,2006,1,EDM,0,1,3,2
andercr01,2010,1,COL,1,0,3,0
garnemi01,2005,1,ATL,0,2,8,4
millery01,2006,1,BUF,10,4,46,9
pavelon01,2011,1,WPG,3,3,20,8
rasktu01,2011,1,BOS,2,2,14,6
masonst01,2011,1,CBS,2,2,10,4
bironma01,2011,1,NYR,0,2,7,3
bishobe01,2010,1,STL,1,0,4,2
elliobr01,2011,1,STL,1,3,14,5
schneco01,2008,1,VAN,0,1,3,3
johnsch02,2009,1,NYR,0,1,5,2
millery01,2011,1,BUF,5,4,34,11
legacma01,2009,1,CAR,2,2,16,4
budajpe01,2005,1,COL,0,5,14,9
wardca01,2006,1,CAR,0,4,14,6
bironma01,2005,1,BUF,2,3,12,5
quickjo01,2010,1,LAK,10,0,44,8
leclapa01,2008,1,CBS,0,1,3,2
lundqhe01,2011,1,NYR,4,3,25,7
labarja01,2009,1,PHO,6,1,27,8
dubiewa01,2009,1,MIN,1,0,2,0
smithmi02,2007,1,DAL,2,0,6,0
fleurma01,2009,1,PIT,6,2,23,6
valiqst01,2008,1,NYR,1,2,12,3
lundqhe01,2006,1,NYR,8,4,50,9
johnsbr02,2010,1,PIT,2,1,11,1
theodjo01,2005,1,MTL,1,1,6,1
holtbbr01,2011,1,WAS,0,1,4,2
turcoma01,2010,1,CHI,2,2,13,7
clemmsc01,2011,1,FLO,2,3,20,7
