playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
hallgl01,1961,1,CHI,NHL,70,4200,31,26,13,,9,186,,12,720,6,6,,,2,31,
maroije01,1943,1,TOR,NHL,1,60,1,0,0,,0,4,,,,,,,,,,
rutlewa01,1969,1,LAK,NHL,20,960,2,12,1,0,0,68,,,,,,,,,,
berthda01,1987,1,WIN,NHL,56,3010,22,19,7,0,2,176,1489,5,300,1,4,,0,0,25,154
conneal01,1929,1,OTS,NHL,44,2780,21,15,8,,3,118,,2,120,0,1,1,,0,6,
bergeje01,1992,1,TBL,NHL,21,1163,8,10,1,3,0,71,574,,,,,,,,,
myreph01,1976,1,ATF,NHL,43,2422,17,17,7,0,3,124,,2,120,1,1,,1,0,5,
rolosdw01,2001,1,MIN,NHL,45,2506,14,20,7,0,5,112,1132,,,,,,,,,
baumaga01,1967,1,MNS,NHL,26,1294,5,13,5,0,0,75,,,,,,,,,,
fuhrgr01,1998,1,STL,NHL,39,2193,16,11,8,1,2,89,827,13,790,6,6,,1,1,31,305
howarji01,2009,1,DET,NHL,63,3740,37,15,10,3,3,141,1849,12,720,5,7,,0,1,33,387
ingpe01,1990,1,TOR,NHL,56,3126,16,29,8,3,1,200,1716,,,,,,,,,
pelleje01,1998,1,PHI,NHL,1,60,0,1,0,0,0,5,29,,,,,,,,,
deguimi01,1975,1,QUN,WHA,18,835,6,5,2,1,0,60,460,,,,,,,,,
caprifr01,1985,1,VAN,NHL,7,308,0,3,2,0,0,28,155,,,,,,,,,
drydeda01,1977,1,EDO,WHA,48,2578,21,23,2,5,2,150,1239,2,91,0,1,,1,0,6,
palmami01,1976,1,TOR,NHL,50,2877,23,18,8,4,4,154,,6,360,3,3,,0,0,16,
danisya01,2005,1,MTL,NHL,6,312,3,2,0,0,1,14,152,,,,,,,,,
millegr01,1978,1,PIT,NHL,28,1532,14,11,1,2,2,86,,,,,,,,,,
pennest01,1984,1,MTL,NHL,54,3252,26,18,8,3,1,167,1344,12,733,6,6,,0,1,40,300
garonma01,2001,1,MTL,NHL,5,261,1,4,0,0,0,19,147,,,,,,,,,
stephwa01,1974,1,PHI,NHL,12,639,7,2,1,1,1,29,,2,123,2,0,,0,1,4,
brownan01,1974,1,IND,WHA,52,2979,15,35,0,1,2,206,1627,,,,,,,,,
brownan01,1975,1,IND,WHA,24,1368,9,11,2,0,1,82,751,,,,,,,,,
conneal01,1926,1,OTS,NHL,44,2782,30,10,4,,13,69,,6,400,3,0,3,,2,4,
lemelre01,1978,1,ATF,NHL,18,994,8,8,1,1,0,55,,1,20,0,0,,0,0,0,
mccusre01,1925,1,POR,WCHL,30,1826,12,16,2,,0,110,,,,,,,,,,
leighmi01,2009,2,PHI,NHL,27,1449,16,5,2,0,1,60,735,14,757,8,3,,0,3,31,371
chadwed01,1957,1,TOR,NHL,70,4200,21,38,11,,4,226,,,,,,,,,,
tugnuro01,1991,2,EDM,NHL,3,124,1,1,0,0,0,10,73,2,60,0,0,,0,0,3,34
hedbejo01,2003,1,VAN,NHL,21,1098,8,6,2,0,3,46,459,2,98,1,1,,1,0,4,51
beverbi01,1935,1,MTM,NHL,32,1970,14,13,5,,1,71,,,,,,,,,,
brownan01,1973,1,PIT,NHL,36,1956,13,16,4,0,1,115,,,,,,,,,,
wortero01,1935,1,NYA,NHL,48,3000,16,25,7,,3,122,,5,300,2,3,,,2,11,
kiddtr01,1997,1,CAR,NHL,47,2685,21,21,3,7,3,97,1237,,,,,,,,,
fitzpma01,1999,1,CAR,NHL,3,107,0,2,0,1,0,8,68,,,,,,,,,
drapeto01,1989,1,WIN,NHL,6,359,2,4,0,1,0,26,153,,,,,,,,,
roypa01,1990,1,MTL,NHL,48,2835,25,15,6,3,1,128,1362,13,785,7,5,,0,0,40,394
whitmka01,1988,1,HAR,NHL,3,180,2,1,0,0,0,10,96,2,135,0,2,,0,0,10,73
sawchte01,1950,1,DET,NHL,70,4200,44,13,13,,11,139,,6,463,2,4,,,1,13,
stcrori01,1981,1,PHI,NHL,29,1729,13,9,6,3,0,112,,1,20,0,1,,1,0,1,
billicr01,1994,1,OTT,NHL,9,472,0,6,2,2,0,32,240,,,,,,,,,
mcleaki01,1997,3,FLO,NHL,7,406,4,2,1,0,0,22,207,,,,,,,,,
