playerid,award,year,lgid,note,pos
bauerbo01,Second Team All-Star,1938,NHL,,RW
bossymi01,Conn Smythe,1981,NHL,,
lindste01,First Team All-Star,1955,NHL,,LW
leetcbr01,First Team All-Star,1996,NHL,,D
leclajo01,First Team All-Star,1997,NHL,,LW
crosbsi01,Hart,2006,NHL,,
kiprumi01,Vezina,2005,NHL,,
mooredi01,Art Ross,1958,NHL,,
lemiema01,Calder,1984,NHL,,
bourqra01,First Team All-Star,1995,NHL,,D
bouchbr01,All-Rookie,1999,NHL,,G
stewaja01,First Team All-Star,1948,NHL,,D
jagrja01,Art Ross,2000,NHL,,
gretzwa01,Art Ross,1980,NHL,,
lafonpa01,Masterton,1994,NHL,,
ovechal01,Hart,2008,NHL,,
laflegu01,First Team All-Star,1975,NHL,,RW
lemiema01,First Team All-Star,1995,NHL,,C
watsoph01,Second Team All-Star,1941,NHL,,C
richabr01,All-Rookie,2000,NHL,,F
hallgl01,First Team All-Star,1968,NHL,,G
crosbsi01,Messier,2009,NHL,,
brodema01,Vezina,2003,NHL,,
drydeke01,Vezina,1976,NHL,shared,
coultar01,Second Team All-Star,1937,NHL,,D
bouchfr01,Lady Byng,1927,NHL,,
lawsoda01,First Team All-Star,1972,WHA,,RW
kerrda01,Second Team All-Star,1937,NHL,,G
howego01,First Team All-Star,1968,NHL,,RW
bentldo01,Art Ross,1942,NHL,,
gallage01,Second Team All-Star,1988,NHL,,LW
niedesc01,First Team All-Star,2006,NHL,,D
orrbo01,First Team All-Star,1973,NHL,,D
joliaau01,Second Team All-Star,1931,NHL,,LW
harvedo01,Norris,1955,NHL,,
leswito01,Second Team All-Star,1949,NHL,,LW
coultar01,Second Team All-Star,1939,NHL,,D
leetcbr01,First Team All-Star,1991,NHL,,D
bathgan01,Second Team All-Star,1962,NHL,,RW
shoreed01,Hart,1937,NHL,,
hullbo01,First Team All-Star,1972,WHA,,LW
jonsske01,All-Rookie,1994,NHL,,D
brimsfr01,Second Team All-Star,1946,NHL,,G
brimsfr01,Second Team All-Star,1947,NHL,,G
mccabbr01,Second Team All-Star,2003,NHL,,D
richama01,First Team All-Star,1948,NHL,,RW
petrool01,All-Rookie,1993,NHL,,W
drydeda01,Hatskin,1978,WHA,Best Goaltender,
pronoma01,Second Team All-Star,1957,NHL,,D
seibeea01,Second Team All-Star,1936,NHL,,D
esposto01,Calder,1969,NHL,,
sedinda01,Second Team All-Star,2009,NHL,,LW
gretzwa01,Hart,1982,NHL,,
shoreed01,Hart,1934,NHL,,
brimsfr01,Second Team All-Star,1945,NHL,,G
chabolo01,First Team All-Star,1934,NHL,,G
belivje01,First Team All-Star,1956,NHL,,C
alfreda01,Second Team All-Star,2005,NHL,,RW
clarkbo01,Hart,1974,NHL,,
lidstni01,First Team All-Star,2001,NHL,,D
conacch01,First Team All-Star,1934,NHL,,RW
esposto01,First Team All-Star,1979,NHL,,G
stevesc01,Second Team All-Star,1996,NHL,,D
prattba01,First Team All-Star,1943,NHL,,D
mikitst01,Art Ross,1966,NHL,,
mclarky01,All-Rookie,1995,NHL,,D
schmimi01,First Team All-Star,1939,NHL,,C
essenbo01,All-Rookie,1989,NHL,,G
nugenry01,All-Rookie,2011,NHL,,F
mikitst01,Art Ross,1967,NHL,,
coffepa01,Second Team All-Star,1982,NHL,,D
smithno01,Vezina,1936,NHL,,
leclajo01,Second Team All-Star,1996,NHL,,LW
laflegu01,Pearson,1977,NHL,,
liutmi01,First Team All-Star,1980,NHL,,G
phanedi01,First Team All-Star,2007,NHL,,D
jagrja01,Art Ross,1997,NHL,,
brimsfr01,Vezina,1938,NHL,,
lachel01,Second Team All-Star,1943,NHL,,C
crosbsi01,Pearson,2006,NHL,,
barrato01,Jennings,1984,NHL,shared,
tkachke01,Second Team All-Star,1994,NHL,,LW
barryma01,Lady Byng,1936,NHL,,
conacro01,Art Ross,1948,NHL,,
seibeea01,First Team All-Star,1942,NHL,,D
kingkr01,King Clancy,1995,NHL,,
quickjo01,Conn Smythe,2011,NHL,,
heatlda01,Calder,2001,NHL,,
thompti01,Second Team All-Star,1930,NHL,,G
lemiema01,Second Team All-Star,1991,NHL,,C
delveal01,Lady Byng,1965,NHL,,
dyeba01,Art Ross,1924,NHL,,
belfoed01,All-Rookie,1990,NHL,,G
