year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2000,NHL,COL,COL,WC,NW,1,SC,82,52,16,10.0,4,118,,,270,192,Colorado Avalanche,1138,16,80,363,11,59,342,11
1972,NHL,CLF,CLE,,WD,8,,78,16,46,16.0,,48,,,213,323,California Golden Seals,840,0,41,250,4,56,242,4
1998,NHL,TBL,TBL,EC,SE,4,,82,19,54,9.0,,47,,,179,292,Tampa Bay Lightning,1316,10,43,310,10,68,387,11
1977,WHA,CZE,CZE,,,10,,8,1,6,1.0,,3,,,21,40,Czechoslovakia,87,6,,,,,,
2002,NHL,SJS,SJS,WC,PC,5,,82,28,37,9.0,8,73,,,214,239,San Jose Sharks,1112,30,68,375,10,68,358,5
1996,NHL,BUF,BUF,EC,NE,1,CSF,82,40,30,12.0,,92,,,237,208,Buffalo Sabres,1840,12,43,326,4,59,364,16
1922,NHL,HAM,BKN,,,4,,24,6,18,0.0,,12,,,81,110,Hamilton Tigers,188,,,,,,,
1989,NHL,LAK,LAK,CC,SM,4,DF,80,34,39,7.0,,75,,,338,337,Los Angeles Kings,1844,24,76,343,14,88,366,11
1997,NHL,CHI,CHI,WC,CE,5,,82,30,39,13.0,,73,,,192,199,Chicago Blackhawks,1546,12,47,364,5,58,381,13
1991,NHL,NJD,NJD,WA,PT,4,DSF,80,38,31,11.0,,87,,,289,259,New Jersey Devils,1611,8,59,338,10,68,374,15
2002,NHL,OTT,OTT,EC,NE,1,CF,82,52,21,8.0,1,113,,,263,182,Ottawa Senators,1135,22,83,391,8,50,332,4
1982,NHL,QUE,COL,WA,AD,4,DSF,80,34,34,12.0,,80,,,343,336,Quebec Nordiques,1648,10,61,294,6,92,348,6
1982,NHL,BUF,BUF,WA,AD,3,DF,80,38,29,13.0,,89,,,318,285,Buffalo Sabres,1031,34,67,311,9,48,274,12
1977,NHL,CLE,CLE,WA,AD,4,,80,22,45,13.0,,57,,,230,325,Cleveland Barons,1010,10,42,275,8,61,235,3
1976,NHL,BOS,BOS,WA,AD,1,F,80,49,23,8.0,,106,,,312,240,Boston Bruins,1065,10,46,217,10,41,272,7
2009,NHL,LAK,LAK,WC,PC,3,CQF,82,46,27,,9,101,10,8,241,219,Los Angeles Kings,979,16,64,307,6,60,304,4
1991,NHL,BOS,BOS,WA,AD,2,CF,80,36,32,12.0,,84,,,270,275,Boston Bruins,1752,12,77,406,14,72,363,7
2011,NHL,OTT,OTT,EC,NE,2,CQF,82,41,31,,10,92,6,4,249,240,Ottawa Senators,1145,24,49,270,7,57,310,9
1953,NHL,NYR,NYR,,,5,,70,29,31,10.0,,68,,,161,182,New York Rangers,717,,,,,,,
1972,NHL,MNS,DAL,,WD,3,QF,78,37,30,11.0,,85,,,254,230,Minnesota North Stars,881,0,37,237,7,59,265,1
1977,NHL,BOS,BOS,WA,AD,1,F,80,51,18,11.0,,113,,,333,218,Boston Bruins,1237,8,49,242,2,53,296,7
2008,NHL,BUF,BUF,EC,NE,3,,82,41,32,,9,91,8,5,250,234,Buffalo Sabres,1121,16,75,358,5,61,336,7
1953,NHL,DET,DET,,,1,SC,70,37,19,14.0,,88,,,191,132,Detroit Red Wings,814,,,,,,,
1934,NHL,NYA,BKN,,CA,4,,48,12,27,9.0,,33,,,100,142,New York Americans,250,,,,,,,
1982,NHL,NYI,NYI,WA,PT,2,SC,80,42,26,12.0,,96,,,302,226,New York Islanders,1266,2,69,267,3,55,331,10
1930,NHL,OTS,STE,,CA,5,,44,10,30,4.0,,24,,,91,142,Ottawa Senators,486,,,,,,,
1916,NHA,TOB,TOB,,,4,,14,7,7,0.0,,14,,,73,69,228th Battalion,,,,,,,,
2002,NHL,ANA,ANA,WC,PC,2,F,82,40,27,9.0,6,95,,,203,193,Mighty Ducks of Anaheim,954,20,56,348,5,42,333,8
1975,WHA,CAC,CAC,,CW,3,AVSF,80,41,35,4.0,,86,,,307,282,Calgary Cowboys,1064,,59,271,13,70,297,15
1978,WHA,IND,IND,,,7,,25,5,18,2.0,,12,,,78,130,Indianapolis Racers,557,16,16,,7,27,,0
1999,NHL,COL,COL,WC,NW,1,CF,82,42,28,11.0,1,96,,,233,201,Colorado Avalanche,1118,18,59,302,7,52,335,3
1965,NHL,NYR,NYR,,,6,,70,18,41,11.0,,47,,,195,261,New York Rangers,894,,44,282,2,63,282,2
1943,NHL,CHI,CHI,,,4,F,50,22,23,5.0,,49,,,178,187,Chicago Black Hawks,220,,,,,,,
1979,NHL,ATF,CAL,CC,PT,4,PRE,80,35,32,13.0,,83,,,282,269,Atlanta Flames,1048,14,51,216,7,52,272,6
2008,NHL,TBL,TBL,EC,SE,5,,82,24,40,,18,66,3,10,210,279,Tampa Bay Lightning,1306,26,61,343,9,89,405,4
1924,NHL,OTS,STE,,,4,,30,17,12,1.0,,35,,,83,66,Ottawa Senators,350,,,,,,,
1937,NHL,CHI,CHI,,AM,3,SC,48,14,25,9.0,,37,,,97,139,Chicago Black Hawks,242,,,,,,,
