corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
1,Corp. Apex Key StonesInc., , ,,,,,2004-10-12T10:41:26,3,
4,Корпорация &lt; &lt; Апекс игл &gt; &gt;, , ,,,,,2004-10-12T10:41:26,6,
5,Компания &quot; Apex OperaInc &quot; ., , ,,,,,2004-10-12T10:41:26,3,
8,"Корпорация ""Апекс Ресторанс Инс"".", , ,,,,,2004-10-12T10:41:26,1,
10,Корпорация Apex TransitInc., , ,,,,,2004-10-12T10:41:26,1,
13,Компания &lt; &lt; Бостон механик Инч &gt; &gt; ., , ,,,,,2004-10-12T10:41:26,5,
19,Компания &quot; Бостон сэйлз мейкерз инк. &quot; ., , ,,,,,2004-10-12T10:41:26,3,
23,Компания &quot; Компьютер механик инк. &quot; ., , ,,,,,2004-10-12T10:41:26,6,
24,Компьютерная игла инк., , ,,,,,2004-10-12T10:41:26,5,
30,Corp. Computer TransitInc., , ,,,,,2004-10-12T10:41:26,1,
33,Корпоративная машинная инк., , ,,,,,2004-10-12T10:41:26,1,
35,Корпоративная опера Инс., , ,,,,,2004-10-12T10:41:26,3,
36,Корпорация &lt; &lt; Драйвн петролеум Инк &gt; &gt; ., , ,,,,,2004-10-12T10:41:26,7,
37,"Корпорация ""КвестсИнк"".", , ,,,,,2004-10-12T10:41:26,1,
38,Корп. Ресторанный Инс., , ,,,,,2004-10-12T10:41:26,8,
42,Компания &lt; &lt; Эксперт осветительный инк. &gt; &gt;, , ,,,,,2004-10-12T10:41:26,6,
45,Компания &quot; Эксперимент оперимент &quot; ., , ,,,,,2004-10-12T10:41:26,1,
50,Группа экспертов в области транзитных перевозок, , ,,,,,2004-10-12T10:41:26,6,
52,Компания &quot; Знаменитый свет инстинк &quot; ., , ,,,,,2004-10-12T10:41:26,7,
53,Компания &quot; Знаменитый машинный инк. &quot; ., , ,,,,,2004-10-12T10:41:26,4,
58,Известный ресторанный инк., , ,,,,,2004-10-12T10:41:26,3,
59,Известная компания &quot; Sail MakersInc &quot; ., , ,,,,,2004-10-12T10:41:26,7,
60,Компания &quot; Транзит Инч &quot; ., , ,,,,,2004-10-12T10:41:26,4,
61,Gigant Key StonesInc., , ,,,,,2004-10-12T10:41:26,3,
64,"Корпорация ""Гигантская иглл-рабочая инк.""", , ,,,,,2004-10-12T10:41:26,8,
68,"Корпорация ""Гигантские рестораны Инс"".", , ,,,,,2004-10-12T10:41:26,7,
72,Компьютерная компания Small LightingInc., , ,,,,,2004-10-12T10:41:26,4,
75,Компьютерная опера Inc., , ,,,,,2004-10-12T10:41:26,1,
76,Компьютерная компания &quot; Хамбл петролеум инк. &quot; ., , ,,,,,2004-10-12T10:41:26,4,
77,Компьютерная компания Summble QuestsInc., , ,,,,,2004-10-12T10:41:26,8,
79,Корпоративная компания Summble Sail MakersInc., , ,,,,,2004-10-12T10:41:26,8,
82,"Корпорация ""Имперский свет индастриз"".", , ,,,,,2004-10-12T10:41:26,3,
84,Корпорация &lt; &lt; Империал игллворд инк. &gt; &gt; ., , ,,,,,2004-10-12T10:41:26,5,
87,Корпорация &quot; Империал квестсИнк &quot; ., , ,,,,,2004-10-12T10:41:26,6,
89,Корпорация &lt; &lt; Империал фэйлз мейтс Инч &gt; &gt; ., , ,,,,,2004-10-12T10:41:26,5,
97,"Корп. ""Просто ""КвестсИнк"".", , ,,,,,2004-10-12T10:41:26,7,
99,"""Корп."" ""Просто ""Майкл мейкерс Инк"".", , ,,,,,2004-10-12T10:41:26,5,
100,"Корп. ""Просто Транзит Инс"".", , ,,,,,2004-10-12T10:41:26,1,
102,Компания Apex LightingCo., , ,,,,,2004-10-12T10:41:26,5,
103,Corp. Apex MachineCo., , ,,,,,2004-10-12T10:41:26,8,
105,Корпорация Apex OperaCo., , ,,,,,2004-10-12T10:41:26,7,
106,Компания &quot; Апекс петролеумКо &quot; ., , ,,,,,2004-10-12T10:41:26,2,
107,Corp. Apex QuestsCo., , ,,,,,2004-10-12T10:41:26,8,
109,Corp. Apex SailMakersCo., , ,,,,,2004-10-12T10:41:26,1,
110,Corp. Apex Transit Co., , ,,,,,2004-10-12T10:41:26,7,
112,Компания &quot; Бостон лайтингКо &quot; ., , ,,,,,2004-10-12T10:41:26,7,
113,Компания &quot; Бостон механикКо &quot; ., , ,,,,,2004-10-12T10:41:26,4,
114,Компания &quot; Бостон идлвордКо &quot; ., , ,,,,,2004-10-12T10:41:26,4,
115,Компания &lt; &lt; Бостон оперКо &gt; &gt; ., , ,,,,,2004-10-12T10:41:26,7,
117,Компания &quot; Бостон квестсКо &quot; ., , ,,,,,2004-10-12T10:41:26,1,
119,Компания &quot; Бостон сэйл мейкерзКо &quot; ., , ,,,,,2004-10-12T10:41:26,8,
121,Corp. Computer Key StonesCo., , ,,,,,2004-10-12T10:41:26,2,
123,Компания &quot; Компьютер механикКо &quot; ., , ,,,,,2004-10-12T10:41:26,4,
124,Компьютерная компания &quot; ИдлеворкКо &quot; ., , ,,,,,2004-10-12T10:41:26,4,
126,Компания &quot; Компьютер петролеумКо &quot; ., , ,,,,,2004-10-12T10:41:26,6,
