provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
1,Prov. Apex Key, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
4,Prov. Apex Need, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
5,Prov. Apex Oper, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
7,Prov. Apex Ques, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
8,Prov. Apex Rest, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
17,Prov. Boston Qu, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,5,
18,Prov. Boston Re, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
19,Prov. Boston Sa, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
24,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
29,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
30,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
34,Prov. Driven Ne, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
38,Prov. Driven Re, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
41,Prov. Expert Ke, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
46,Prov. Expert Pe, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
49,Prov. Expert Sa, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
53,Prov. Famous Ma, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
60,Prov. Famous Tr, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
61,Prov. Giant Key, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,3,
63,Prov. Giant Mac, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,6,
67,Prov. Giant Que, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
68,Prov. Giant Res, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
69,Prov. Giant Sai, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
71,Prov. Humble Ke, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
72,Prov. Humble Li, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
75,Prov. Humble Op, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
76,Prov. Humble Pe, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
77,Prov. Humble Qu, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
80,Prov. Humble Tr, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
83,Prov. Imperial, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,6,
84,Prov. Imperial, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,6,
88,Prov. Imperial, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
89,Prov. Imperial, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,6,
90,Prov. Imperial, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
93,Prov. Just Mach, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
94,Prov. Just Need, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,7,
98,Prov. Just Rest, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
101,Prov. Apex Key, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,7,
105,Prov. Apex Oper, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
