season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2014,4,1102,79,1119,68,Н,0,26,49,10,15,17,26,10,30,11,18,8,4,18,23,68,12,44,10,13,14,20,16,13,4,5,24
2014,4,1103,72,1157,63,Н,0,25,59,7,22,15,26,14,24,10,17,13,5,18,23,59,6,14,11,18,15,22,6,20,8,4,22
2014,4,1107,74,1373,62,A,0,21,52,4,10,28,36,14,24,8,14,11,4,22,23,62,4,24,12,23,20,24,12,16,2,6,26
2014,4,1112,73,1142,62,Н,0,24,42,5,11,20,36,10,24,12,11,4,7,15,20,54,11,26,11,13,10,16,13,11,4,0,26
2014,4,1113,96,1420,61,Н,0,27,57,9,23,33,44,13,37,15,11,10,6,21,22,61,6,23,11,25,11,24,12,16,8,1,30
2014,4,1116,99,1188,65,Н,0,33,64,8,16,25,35,16,26,14,13,8,8,14,25,64,9,25,6,9,15,19,10,23,6,1,24
2014,4,1120,76,1311,54,Н,0,22,46,4,15,28,41,11,28,14,13,5,7,19,19,56,6,24,10,22,15,19,11,14,3,1,31
2014,4,1124,72,1160,60,Н,0,24,54,8,20,16,23,12,30,12,13,2,3,23,22,66,2,19,14,22,18,21,10,6,7,3,21
2014,4,1125,87,1252,83,A,0,24,49,6,22,33,52,3,24,10,10,10,2,20,31,59,12,32,9,19,11,31,20,24,6,0,35
2014,4,1129,116,1426,87,Н,0,41,71,13,26,21,28,16,29,18,10,6,3,18,32,73,12,33,11,15,12,14,16,12,3,3,18
2014,4,1133,72,1240,65,Н,0,25,54,6,13,16,21,8,24,12,12,9,3,20,24,54,3,16,14,21,9,24,9,15,5,1,20
2014,4,1140,81,1451,72,Н,0,32,72,3,9,14,20,13,33,18,7,4,5,20,26,66,6,18,14,21,10,30,9,10,3,7,17
2014,4,1143,83,1164,64,Н,0,32,67,9,26,10,20,14,37,23,7,4,8,14,23,69,9,30,9,13,12,25,9,6,5,3,16
