season,slot,strongseed,weakseed
1993,R1Z6,Z06,Z11
2004,R2W4,R1W4,R1W5
2005,R2Z2,R1Z2,R1Z7
1999,R1Y7,Y07,Y10
1998,R1Z2,Z02,Z15
2014,R1X5,X05,X12
2005,R1Z2,Z02,Z15
2007,R1W4,W04,W13
1998,R2X1,R1X1,R1X8
2011,R1Y3,Y03,Y14
1986,R3Z2,R2Z2,R2Z3
1996,R1X2,X02,X15
2004,R4Y1,R3Y1,R3Y2
1988,R2Z3,R1Z3,R1Z6
1999,R1W6,W06,W11
2005,R1W3,W03,W14
2012,R1X3,X03,X14
1993,R2Y1,R1Y1,R1Y8
1998,R2Y1,R1Y1,R1Y8
1996,R1W1,W01,W16
2003,R3X1,R2X1,R2X4
1991,R1Z2,Z02,Z15
1990,R6CH,R5WX,R5YZ
1988,R4X1,R3X1,R3X2
2001,R1Z7,Z07,Z10
2000,R3X1,R2X1,R2X4
2006,R2W4,R1W4,R1W5
2002,R3W2,R2W2,R2W3
1992,R2W3,R1W3,R1W6
1990,R1Y2,Y02,Y15
2006,R2X1,R1X1,R1X8
1990,R1W8,W08,W09
1993,R1W5,W05,W12
1988,R1Z3,Z03,Z14
1995,R4X1,R3X1,R3X2
2006,R1Z7,Z07,Z10
2003,R2Z4,R1Z4,R1Z5
2004,R1X3,X03,X14
1985,R1Z8,Z08,Z09
2013,R2W1,R1W1,R1W8
2003,R2W1,R1W1,R1W8
2012,R1W7,W07,W10
1996,R3W1,R2W1,R2W4
1987,R3W2,R2W2,R2W3
2007,R1Z5,Z05,Z12
2004,R2Z2,R1Z2,R1Z7
2000,R2X1,R1X1,R1X8
1986,R1Z5,Z05,Z12
2010,R1Z4,Z04,Z13
2004,R5YZ,R4Y1,R4Z1
1994,R1Y2,Y02,Y15
2001,R4X1,R3X1,R3X2
2014,R6CH,R5WX,R5YZ
1999,R1Y4,Y04,Y13
2006,R1X4,X04,X13
1991,R2W2,R1W2,R1W7
2009,R2W4,R1W4,R1W5
2005,R1Y6,Y06,Y11
1998,R1W2,W02,W15
2013,R1W3,W03,W14
2001,R1Z1,Z01,Z16
2000,R1X1,X01,X16
2001,R2Y3,R1Y3,R1Y6
1988,R3Z1,R2Z1,R2Z4
2003,R2Z2,R1Z2,R1Z7
2000,R1Z6,Z06,Z11
2014,R2W4,R1W4,R1W5
2000,R2Z4,R1Z4,R1Z5
2011,R1X6,X06,X11
1996,R4W1,R3W1,R3W2
2007,Z16,Z16a,Z16b
