schoolid,schoolname,schoolcity,schoolstate,schoolnick
bethcook,Колледж Бетун-Кукман,Пляж Дейтона,ФЛ,Дикие кошки
lutheria,Лютер Колледж,Декора,IA,Норвежский
williamsma,Уильямский колледж,Вильямстон,МЭТ,Эфы
bethanywv,Колледж Бетани,Бетани,WV,Бизон
indianapa,Университет Индианы Пенсильвании,Индианаa,ПА,Индейцы
heidelberg,Колледж Гейдельберга,Тиффин,Ооо.,Принцы
benedctnks,Бенедиктский колледж,Атчисон,KS,Вороны
thomasmore,Колледж Томаса Мора,Криствью Хиллз,KY,Святые
colorado,Университет Колорадо,Пулевой пузырь,CO,Буйволы
iupufw,Индианский университет-Пурдуский университет Форт-Уэйн,Форт Уэйн,ВНУТРЕННИЕ,Мастодоны
houston,Хьюстонский университет,Хьюстон,TX,Кугары
oregonst,Орегонский государственный университет,Корвальис,ИЛИ,Биверы
kentucky,Кентукский университет,Лексингтон,KY,Дикие кошки
abilchrist,Абилинский христианский университет,Абилин,TX,Дикие кошки
sacheart,Университет Святого Сердца,Фэрфилд,КТ,Пионеры
grambling,Грамблиозный государственный университет,Храмирование,Лос-Анджелес,Тигры
portlandst,Портлендский государственный университет,Портленд,ИЛИ,Викинги
erskine,Эрскинский колледж,Дежурный Вест,ПК,Летающий флот
catholic,Католический университет Америки,Вашингтон,РС,Кардиналы
flinternat,Международный университет Флориды,Майами,ФЛ,Золотые пантеры
umkc,Университет Миссури-Кансас-Сити,Канзас-Сити,МО,Кангуру
pacific,Тихоокеанский университет,Стоктон,КА,Тигры
pepperdine,Пеппердинский университет,Малибу,КА,Волны
columbia,Колумбийский университет,Нью-Йорк,Нью-Йорк,Львы
towson,Университет Тоусона,Тоусон,MD,Тигры
austincol,Остинский колледж,Шерман,TX,Кангуру
etennst,Восточный Теннессиский государственный университет,Джонсон Сити,TN,Букканеры
memphis,Мемфисский университет,Мемфис,TN,Тигры
whittierca,Уиттиерский колледж,Виттье,КА,Поэты
arktech,Технологический университет Арканзаса,Расселвиль,ОАР,Чудесные мальчики
nmhighland,Нью-Мексикоский Хайлендский университет,Лас-Вегас,НМ,Ковбои
boisest,Государственный университет &lt; &lt; Бойз &gt; &gt;,Бойз,Идентификационный номер,Бронкос
kywesleyan,Кентукки Уэслианский колледж,Оуэнсборо,KY,Пантеры
ferrisst,Государственный университет им. Ферриса,Большие быстрые,МИ,Бульдоги
hendrixar,Колледж Хендрикса,Конвей,ОАР,Воины
wlmjewell,Колледж Уильяма Джеуэлла,Свобода,МО,Кардиналы
wiscgbay,Университет Висконсин-Зеленый залив,Зеленый залив,ЖИ,Феникс
sutah,Университет Южной Юты,Седар-Сити,UT,Громкие птицы
fltech,Флоридский технологический институт,Мельбурн,ФЛ,Пантеры
miamioh,Университет Майами,Оксфорд,Ооо.,Красные ястребы
flsouthern,Южный колледж Флориды,Лейкленд,ФЛ,Мокасины
rockhurst,Университет Рокхёрста,Канзас-Сити,МО,Ястребы
ucsd,"Калифорнийский университет, Сан-Диего",Ля Джолла,КА,Тритоны
elon,Элонский университет,Элон,НС,Феникс
auburn,Университет Оберна,Оберн,AL,Тигры
delaware,Университет Делавэра,Ньюарк,DE,Синие курицы
augsburgmn,Авгсбургский колледж,Миннеаполис,МН,Огги
nillinois,Северный Иллинойский университет,DeKalb,Ил,Хаски
wlmpennia,Университет Уильяма Пенна,Оскалуса,IA,Государственные деятели
millersvil,"Университет Миллерсвиля, Пенсильвания",Миллерсвилль,ПА,Мародеры
crngmellon,Университет им. Карнеги Меллона,Питтсбург,ПА,Тартаны
staugustne,Колледж Святого Августина,Роли,НС,Соколы
newhamp,Университет Нью-Гэмпшира,Дурхем,NH,Дикие кошки
morehead,Морехедский государственный университет,Морехед,KY,Орлы
georgtwnky,Джорджтаунский колледж,Джорджтаун,KY,Тигры
nmexico,Университет Нью-Мексико,Альбукерке,НМ,Лобос
sindiana,Университет Южной Индииa,Эвансвилль,ВНУТРЕННИЕ,Кричащие орехи
olemiss,Университет Миссисипи,Оксфорд,MS,Повстанцы
waynest,Университет штата Уэйн,Детройт,МИ,Воины
