managerid,yearid,teamid,lgid,inseason,half,g,w,l,rank
michage01m,1981,NYA,AL,1,1,56,34,22,1
crookja01m,1892,SLN,NL,3,2,15,3,11,11
hanlone01m,1892,BLN,NL,3,1,56,17,39,12
freyji99m,1981,KCA,AL,1,2,20,10,10,1
howarfr01m,1981,SDN,NL,1,2,54,18,36,6
glassja01m,1892,SLN,NL,1,1,4,1,3,9
michage01m,1981,NYA,AL,1,2,26,14,12,6
howarfr01m,1981,SDN,NL,1,1,56,23,33,6
chapmja01m,1892,LS3,NL,1,1,54,21,33,11
larusto01m,1981,CHA,AL,1,1,53,31,22,3
lasorto01m,1981,LAN,NL,1,2,53,27,26,4
waltzjo99m,1892,BLN,NL,2,1,8,2,6,12
garcida99m,1981,CLE,AL,1,2,53,26,27,5
willsma01m,1981,SEA,AL,1,1,25,6,18,6
tebeapa01m,1892,CL4,NL,1,2,79,53,23,1
wardjo01m,1892,BRO,NL,1,1,78,51,26,2
vanhage01m,1892,BLN,NL,1,1,11,1,10,12
amalfjo01m,1981,CHN,NL,1,2,52,23,28,5
howsedi01m,1981,KCA,AL,2,2,33,20,13,1
burnsto01m,1892,PIT,NL,2,1,47,22,25,6
mcnamjo99m,1981,CIN,NL,1,1,56,35,21,2
hanlone01m,1892,BLN,NL,3,2,77,26,46,10
tebeapa01m,1892,CL4,NL,1,1,74,40,33,5
powerpa99m,1892,NY1,NL,1,1,74,31,43,10
wrighha01m,1892,PHI,NL,1,2,78,41,36,5
tannech01m,1981,PIT,NL,1,1,49,25,23,4
herzowh01m,1981,SLN,NL,1,2,52,29,23,2
crookja01m,1892,SLN,NL,3,1,47,24,22,9
powerpa99m,1892,NY1,NL,1,2,79,40,37,6
zimmedo01m,1981,TEX,AL,1,1,55,33,22,2
andersp01m,1981,DET,AL,1,1,57,31,26,4
martibi02m,1981,OAK,AL,1,1,60,37,23,1
mattibo01m,1981,TOR,AL,1,2,48,21,27,7
zimmedo01m,1981,TEX,AL,1,2,50,24,26,3
coxbo01m,1981,ATL,NL,1,2,52,25,27,5
comisch01m,1892,CIN,NL,1,2,78,38,37,8
robinfr02m,1981,SFN,NL,1,2,52,29,23,3
wardjo01m,1892,BRO,NL,1,2,80,44,33,3
torrejo01m,1981,NYN,NL,1,1,52,17,34,5
virdobi01m,1981,HOU,NL,1,2,53,33,20,1
pfefffr01m,1892,LS3,NL,2,2,77,33,42,9
mauchge01m,1981,CAL,AL,2,2,50,20,30,7
robinfr02m,1981,SFN,NL,1,1,59,27,32,5
buckeal99m,1892,PIT,NL,1,1,29,15,14,6
houkra01m,1981,BOS,AL,1,2,52,29,23,2
houkra01m,1981,BOS,AL,1,1,56,30,26,5
wrighha01m,1892,PHI,NL,1,1,77,46,30,3
lemonbo01m,1981,NYA,AL,2,2,25,11,14,6
amalfjo01m,1981,CHN,NL,1,1,54,15,37,6
greenda02m,1981,PHI,NL,1,2,52,25,27,3
ansonca01m,1892,CHN,NL,1,1,71,31,39,8
seleefr99m,1892,BSN,NL,1,1,75,52,22,1
gardnbi02m,1981,MIN,AL,2,1,20,6,14,7
tannech01m,1981,PIT,NL,1,2,54,21,33,6
buckeal99m,1892,PIT,NL,3,2,66,38,27,4
larusto01m,1981,CHA,AL,1,2,53,23,30,6
fanniji01m,1981,MON,NL,2,2,27,16,11,1
goryljo01m,1981,MIN,AL,1,1,37,11,25,7
lachere01m,1981,SEA,AL,2,2,52,23,29,5
coxbo01m,1981,ATL,NL,1,1,55,25,29,4
freyji99m,1981,KCA,AL,1,1,50,20,30,5
martibi02m,1981,OAK,AL,1,2,49,27,22,2
gardnbi02m,1981,MIN,AL,2,2,53,24,29,4
andersp01m,1981,DET,AL,1,2,52,29,23,2
willidi02m,1981,MON,NL,1,1,55,30,25,3
mauchge01m,1981,CAL,AL,2,1,13,9,4,4
virdobi01m,1981,HOU,NL,1,1,57,28,29,3
ansonca01m,1892,CHN,NL,1,2,76,39,37,7
burnsto01m,1892,PIT,NL,2,2,13,5,7,4
lachere01m,1981,SEA,AL,2,1,33,15,18,6
comisch01m,1892,CIN,NL,1,1,77,44,31,4
willidi02m,1981,MON,NL,1,2,26,14,12,1
weaveea99m,1981,BAL,AL,1,2,51,28,23,4
rodgebu01m,1981,ML4,AL,1,2,53,31,22,1
garcida99m,1981,CLE,AL,1,1,50,26,24,6
greenda02m,1981,PHI,NL,1,1,55,34,21,1
mcnamjo99m,1981,CIN,NL,1,2,52,31,21,2
carutbo01m,1892,SLN,NL,5,2,50,16,32,11
pfefffr01m,1892,LS3,NL,2,1,23,9,14,11
fregoji01m,1981,CAL,AL,1,1,47,22,25,4
herzowh01m,1981,SLN,NL,1,1,51,30,20,2
striccu01m,1892,SLN,NL,2,1,23,6,17,9
lasorto01m,1981,LAN,NL,1,1,57,36,21,1
rodgebu01m,1981,ML4,AL,1,1,56,31,25,3
seleefr99m,1892,BSN,NL,1,2,77,50,26,2
mattibo01m,1981,TOR,AL,1,1,58,16,42,7
torrejo01m,1981,NYN,NL,1,2,53,24,28,4
gorege01m,1892,SLN,NL,4,2,16,6,9,11
weaveea99m,1981,BAL,AL,1,1,54,31,23,2
