lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
13,abbotji01,,abbotji01h,1967.0,9.0,19.0,США,МИ,Флинт,,,,,,,Джим,Эбботт,,Джеймс Энтони,,200.0,75.0,L,L,4/8/1989,7/21/1999,Мичиган,abbotji01,abbotji01,abboj001,abbotji01,abbotji01
16,abbotod01,,,1888.0,9.0,5.0,США,ПА,Новый орел,1933.0,4.0,13.0,США,РС,Вашингтон,Оди,Эбботт,,Оди Клеон,,180.0,74.0,Р,Р,9/10/1910,10/15/1910,,abbotod01,abbotod01,abboo101,abbotod01,abbotod01
22,abernte01,,,1921.0,10.0,30.0,США,НС,Мебан,2001.0,11.0,16.0,США,НС,Шарлотта,Тал,Абернати,также зовут Тед.,Талмадж Лафайетт,,210.0,74.0,Р,L,9/19/1942,4/29/1944,,abernte01,abernte01,abert102,abernte01,abernte01
36,ackerji01,,,1958.0,9.0,24.0,США,TX,Свежее,,,,,,,Джим,Аккер,,Джеймс Джастин,,210.0,74.0,Р,Р,4/7/1983,6/14/1992,Техас,ackerji01,ackerji01,ackej001,ackerji01,ackerji01
40,acosted01,,,1944.0,3.0,9.0,Панама,,Бокете,,,,,,,Эд,Acosta,,Эдуардо Эликсбет,,215.0,77.0,B,Р,9/7/1970,10/4/1972,,acosted01,acosted01,acose101,acosted01,acosted01
61,adamsji01,,,1868.0,,,США,Ил,Восточный Сент-Луис,,,,,,,Джим,Адамс,,Джеймс Джей.,,,,,Р,4/21/1890,4/21/1890,,adamsji01,adamsji01,adamj101,adamsji01,adamsji01
78,addybo01,addybo01m,,1845.0,2.0,,США,Нью-Йорк,Рочестер,1910.0,4.0,9.0,США,Идентификационный номер,Покателло,Боб,Эдди,,Роберт Эдвард,Магнет,160.0,68.0,L,L,5/6/1871,,,addybo01,addybo01,addyb101,addybo01,addybo01
86,adlesda01,,,1943.0,7.0,15.0,США,КА,Длинный пляж,,,,,,,Дэйв,Адлеш,,Дэвид Джордж,,187.0,72.0,Р,Р,5/12/1963,9/28/1968,,adlesda01,adlesda01,adled101,adlesda01,adlesda01
89,ageeto01,,ageeto01h,1942.0,8.0,9.0,США,AL,Магнолия,2001.0,1.0,22.0,США,Нью-Йорк,Нью-Йорк,Томми,Возрастe,,Томми Ли,,195.0,71.0,Р,Р,9/14/1962,9/30/1973,,ageeto01,ageeto01,ageet101,ageeto01,ageeto01
108,akersbi01,,,1904.0,12.0,25.0,США,TN,Чаттануга,1962.0,4.0,13.0,США,TN,Чаттануга,Билл,Акеры,,Уильям Г.,Бамп,178.0,71.0,Р,Р,9/8/1929,7/27/1932,,akersbi01,akersbi01,akerb101,akersbi01,akersbi01
111,albanjo01,,,1933.0,6.0,26.0,США,Нью-Йорк,Нью-Йорк,2000.0,6.0,17.0,США,Нью-Йорк,Нью-Йорк,Джо,Альбанье,,Иосиф Питер,,215.0,75.0,Р,Р,7/18/1958,9/9/1958,,albanjo01,albanjo01,albaj101,albanjo01,albanjo01
116,albosed01,,,1918.0,10.0,27.0,США,МИ,Сагинау,2003.0,1.0,7.0,США,МИ,Сагинау,Эд,Альбоста,,Эдвард Джон,Руба,175.0,73.0,Р,Р,9/3/1941,9/24/1946,,albosed01,albosed01,alboe101,albosed01,albosed01
124,alderda01,,,1918.0,3.0,9.0,США,Нет,Бельден,1982.0,2.0,12.0,США,КА,Садовый гроув,Дейл,Ольдерсон,,Дэйл Леонард,,190.0,70.0,Р,Р,9/18/1943,7/5/1944,,alderda01,alderda01,alded101,alderda01,alderda01
127,aldrija01,,,1961.0,4.0,14.0,США,Лос-Анджелес,Александрия,,,,,,,Джей,Алдрих,,Джей Роберт,,210.0,75.0,Р,Р,6/5/1987,4/26/1990,Государство Монтклер,aldrija01,aldrija01,aldrj001,aldrija01,aldrija01
