franchid,franchname,active,naassoc
COL,Колорадо Скалистые горы,Y,
CLI,Кливлендские младенцы,Н,
LOU,Полковники Луисвиля,Н,
TRT,Тройские троянцы,Н,
BNA,Бостонские красные чулки,,АТЛ
BRG,Бруклинские гладиаторы,Н,
WIL,Уилмингтон Быстрые шаги,Н,
PBS,Питтсбургские повстанцы,Н,
CBK,Колумб Бакейс,Н,
RIC,Ричмондские вирджинцы,Н,
CIN,Красные Цинциннати,Y,
KCU,Канзас Сити Ковбои,Н,
KCC,Канзас Сити Ковбои,Н,
CEN,Столетия Филадельфии,,
NYP,Города Нью-Йорка,Н,
SYR,Звезды Сиракуз,Н,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
ECK,Бруклин Экфордс,,
CHP,Чикагские пираты,Н,
CLV,Кливленд Паук,Н,
ATH,Филадельфия Атлетика,Н,PNA
PHA,Филадельфия Атлетика,Н,
TRO,Трой Хеймерс,,
ATL,Атланты Храбрые храбрые,Y,БНА
BTT,Бруклинские таблетки,Н,
PHK,Критерии Филадельфии,Н,
OAK,Аклендская атлетика,Y,
ROC,Рочестер Бронкос,Н,
PWS,Белые чулки Филадельфии,,
BRA,Бруклинские Атлантики,,
STL,Кардиналы Сент-Луиса,Y,
ALT,Горный город Альтоона,Н,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
CLE,Индейцы Кливленда,Y,
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
TOR,Торонтские синие джеи,Y,
PHQ,Филадельфия Атлетика,Н,
BFB,Баффало Бизонс,Н,
BFL,Баффало Бизонс,Н,
CHC,Чикаго Кабс,Y,КНА
NYU,Нью-Йорк Взаимная связь,Н,ННА
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
KCP,Канзас Сити Пакерс,Н,
WST,Вашингтон,Н,
KCN,Канзас Сити Ковбои,Н,
TOL,Синие чулки Толедо,Н,
BAL,Балтимор Ориолс,Y,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
CNA,Белые чулки Чикаго,,CHC
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
SLR,Красные чулки Сент-Луиса,,
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
PRO,Провидцы Грей,Н,
HNA,Хартфорд Тёмный Блюз,,HAR
HAR,Хартфорд Тёмный Блюз,Н,ХНА
NHV,Нью-Хейвен-Элм-Сити,,
CNR,Красные Цинциннати,Н,
CLS,Колумб Солоны,Н,
BOS,Бостонский ред Сокс,Y,
SNA,Сент-Луис Браун Шеллингс,,ПС
IHO,Индианаполис Хусье,Н,
BWW,Чудеса Бруклина Уорда,Н,
MLA,Милуоки Брюэрс,Н,
PHI,Филадельфия Филадельфия,Y,
BRD,Бостонские красные,Н,
BLC,Балтиморские канареи,,
CFC,Кливлендские лесные города,,
WES,Кеокук Вестерн,,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
WAS,Сенаторы Вашингтона,Н,
LAD,Лос-Анджелес Доджерс,Y,
COR,Красные цициннати,Н,
OLY,Олимпийские игры в Вашингтоне,,
NEW,Ньюарк Пеппер,Н,
TLM,Толедо Маумес,Н,
WBL,Голубые ноги Вашингтона,,
BUF,Баффало Бизонс,Н,
SLM,Сент-Луис Марунс,Н,
CBL,Блюз Кливленда,Н,
LGR,Луисвилл Грейс,Н,
ANA,Лос-Анджелесские ангелы Анахейма,Y,
SDP,Сан-Диего Падрес,Y,
IND,Индианаполис Хусье,Н,
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
SYS,Звезды Сиракуз,Н,
SEA,Морские пехотинцы Сиэтла,Y,
MIL,Милуоки Брюэрс,Y,
ARI,Аризона Даймондбэкс,Y,
MLG,Милуоки Грейс,Н,
NYM,Нью-Йорк Метс,Y,
ROK,Рокфордские лесные города,,
BLO,Балтимор Ориолс,Н,
MAN,Мидлтаун Мэнсфилдс,,
BLT,Балтиморские террапины,Н,
MIN,Близнецы из Миннесоты,Y,
CKK,Убийца Цинциннати Келли,Н,
HOU,Хьюстон Астрос,Y,
BRS,Бостонские красные,Н,
BLU,Памятные памятники Балтимора,Н,
PIT,Питтсбургские пираты,Y,
NYI,Нью-Йорк Гиганты,Н,
NYY,Нью-Йорк Янкиз,Y,
KEK,Форт Уэйн Кекионгас,,
MLU,Милуоки Брюэрс,Н,
CHH,Чикагские киты,Н,
STP,Святой Павел Апостолы,Н,
WOR,Вихревые рубиновые ножки,Н,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
PNA,Филадельфия Атлетика,,ATH
FLA,Флорида Марлинс,Y,
SFG,Сан-Франциско Гиганты,Y,
MAR,Балтимор Мэрилендс,,
RES,Элизабет Резолютес,,
TEX,Техасские рейнджеры,Y,
KCR,Канзас-Сити Роялс,Y,
IBL,Индианаполис Блюз,Н,
CHW,Чикаго Уайт Сокс,Y,
TBD,Tampa Bay Rays,Y,
PBB,Питтсбургские бургеры,Н,
