yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
2007,CIN,NL,miltoer01,6,6.0,6,6,6,0,0,0,0,0,0,0,0,0,0.0,0.0
1924,BOS,AL,flagsir01,149,,149,149,0,0,0,0,0,0,0,143,1,144,,
1980,SFN,NL,rowlami01,19,0.0,19,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0
1959,CHN,NL,donneed02,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
1886,BL2,AA,taylobi01,10,,10,10,8,1,1,0,0,0,0,0,0,0,,
1931,SLA,AL,klozana01,3,,3,3,0,0,0,0,0,0,0,0,3,3,,
1998,ARI,NL,garcika01,113,84.0,113,103,0,0,0,0,0,0,0,8,100,103,0.0,14.0
1983,OAK,AL,almonbi01,143,109.0,143,133,0,0,38,5,40,52,9,1,14,22,2.0,20.0
1879,PRO,NL,allisdo01,1,,1,1,0,1,0,0,0,0,0,0,0,0,,
2012,PHI,NL,hallaro01,25,25.0,25,25,25,0,0,0,0,0,0,0,0,0,0.0,0.0
1923,CHN,NL,fussefr01,28,,28,28,28,0,0,0,0,0,0,0,0,0,,
1983,ML4,AL,brouhma01,56,47.0,56,42,0,0,0,0,0,0,37,0,8,42,7.0,7.0
1925,NY1,NL,cartebl01,1,,1,1,0,0,0,0,0,0,1,0,0,1,,
1981,SLN,NL,shirlbo01,28,11.0,28,28,28,0,0,0,0,0,0,0,0,0,0.0,0.0
1912,NY1,NL,marquru01,43,,43,43,43,0,0,0,0,0,0,0,0,0,,
1957,BRO,NL,rosebjo01,35,,35,35,0,19,5,0,0,0,0,0,0,0,,
1972,PHI,NL,mccarti01,45,,45,45,0,40,0,0,0,0,0,0,0,0,,
2004,OAK,AL,dyeje01,137,134.0,137,134,0,0,0,0,0,0,0,0,134,134,2.0,2.0
1931,BOS,AL,morried02,37,,37,37,37,0,0,0,0,0,0,0,0,0,,
1973,NYA,AL,beenefr01,0,,0,0,19,0,0,0,0,0,0,0,0,0,,
1913,BRO,NL,collibi02,32,,32,32,0,0,0,0,0,0,13,15,0,27,,
2001,HOU,NL,botteke01,13,8.0,12,13,13,0,0,0,0,0,0,0,0,0,0.0,0.0
