playerid,awardid,yearid,lgid,tie,notes
smithoz01,TSN All-Star,1986,NL,,СС
hartnga01,TSN All-Star,1937,ML,,C
careyma01,Baseball Magazine All-Star,1925,NL,,CF
musiast01,TSN All-Star,1948,ML,,В ЛЮБОЙ ЧАСТИ
rodrial01,Silver Slugger,2001,AL,,СС
luquedo01,Baseball Magazine All-Star,1923,ML,,С2
deandi01,Most Valuable Player,1934,NL,,
gehrilo01,Baseball Magazine All-Star,1931,ML,,1B
richabo01,TSN All-Star,1963,AL,,2B
riverma01,World Series MVP,1999,ML,,
niekrph01,Gold Glove,1983,NL,,Р
cuellmi01,Cy Young Award,1969,AL,Y,
willibi01,TSN All-Star,1970,NL,,В ЛЮБОЙ ЧАСТИ
posadjo01,Silver Slugger,2000,AL,,C
canoro01,Gold Glove,2012,AL,,2B
spencst01,Baseball Magazine All-Star,1944,AL,,CF
ziskri01,TSN All-Star,1981,AL,,ДГ
jeterde01,Silver Slugger,2009,AL,,СС
rosepe01,Lou Gehrig Memorial Award,1969,ML,,
gaettga01,Silver Slugger,1995,AL,,3B
boyerke01,TSN Major League Player of the Year,1964,ML,,
fisheed02,TSN Fireman of the Year,1965,AL,,
lordha01,Baseball Magazine All-Star,1909,ML,,3B
robinbr01,Gold Glove,1972,AL,,3B
boggswa01,Silver Slugger,1991,AL,,3B
johnswa01,Pitching Triple Crown,1924,AL,,
wallati01,TSN All-Star,1985,NL,,3B
grimebu01,Baseball Magazine All-Star,1921,NL,,С1
spahnwa01,TSN Pitcher of the Year,1961,NL,,
mazerbi01,Gold Glove,1958,NL,,2B
jonesto02,TSN Fireman of the Year,2000,AL,,
vanceda01,Baseball Magazine All-Star,1925,ML,,С2
mcdanli01,TSN Fireman of the Year,1963,NL,,
rodriiv01,Most Valuable Player,1999,AL,,
wagnele01,All-Star Game MVP,1962,ML,,Первая игра
spahnwa01,Baseball Magazine All-Star,1950,NL,,С1
mizejo01,Baseball Magazine All-Star,1942,ML,,1B
smoltjo01,Silver Slugger,1997,NL,,Р
colemvi01,Rookie of the Year,1985,NL,,
parrila02,Silver Slugger,1990,AL,,C
zimmehe01,Baseball Magazine All-Star,1913,NL,,3B
caminke01,Gold Glove,1995,NL,,3B
guerrpe01,TSN All-Star,1982,NL,,В ЛЮБОЙ ЧАСТИ
whitefr01,ALCS MVP,1980,AL,,
parkeda01,All-Star Game MVP,1979,ML,,
salmoti01,TSN All-Star,1995,AL,,В ЛЮБОЙ ЧАСТИ
traynpi01,Baseball Magazine All-Star,1929,ML,,3B
applilu01,Baseball Magazine All-Star,1936,AL,,СС
johnsra05,TSN All-Star,1995,AL,,LHP
maisefr01,Baseball Magazine All-Star,1915,AL,,3B
grovele01,TSN All-Star,1932,ML,,Р
winebo01,Gold Glove,1963,NL,,СС
maranra01,Baseball Magazine All-Star,1920,ML,,СС
mccovwi01,TSN Player of the Year,1969,NL,,
jonesan01,Gold Glove,2000,NL,,В ЛЮБОЙ ЧАСТИ
geronce01,Gold Glove,1976,NL,,В ЛЮБОЙ ЧАСТИ
foxxji01,TSN All-Star,1929,ML,,1B
greenha01,TSN Guide MVP,1940,AL,,
speaktr01,Baseball Magazine All-Star,1923,ML,,В ЛЮБОЙ ЧАСТИ
coopemo01,Most Valuable Player,1942,NL,,
eckerde01,Cy Young Award,1992,AL,,
pettiga01,Gold Glove,1988,AL,,В ЛЮБОЙ ЧАСТИ
papeljo01,Babe Ruth Award,2007,AL,,Р
hartnga01,Baseball Magazine All-Star,1935,NL,,C
slaugen01,Baseball Magazine All-Star,1941,NL,,RF
mcnalda01,TSN All-Star,1968,AL,,Р
fostege01,Most Valuable Player,1977,NL,,
antonjo02,TSN All-Star,1954,ML,,Р
murraed02,TSN All-Star,1990,NL,,1B
bancrda01,Baseball Magazine All-Star,1926,NL,,СС
rodriiv01,NLCS MVP,2003,NL,,
friscfr01,Baseball Magazine All-Star,1921,NL,,3B
chambch01,TSN All-Star,1976,AL,,1B
tebbebi01,TSN All-Star,1948,ML,,C
smoltjo01,TSN Pitcher of the Year,1996,NL,,
carltst01,TSN Pitcher of the Year,1980,NL,,
murphdw01,Gold Glove,1980,AL,,В ЛЮБОЙ ЧАСТИ
ramirma02,TSN All-Star,2004,AL,,В ЛЮБОЙ ЧАСТИ
aparilu01,TSN All-Star,1972,AL,,СС
glavito02,TSN All-Star,1992,NL,,LHP
dawsoan01,Rookie of the Year,1977,NL,,
chancfr01,Baseball Magazine All-Star,1909,NL,,1B
baylodo01,Most Valuable Player,1979,AL,,
evansdw01,Gold Glove,1985,AL,Y,В ЛЮБОЙ ЧАСТИ
davisjo02,Gold Glove,1986,NL,,C
maricju01,TSN All-Star,1963,NL,,Р
munsoth01,Gold Glove,1974,AL,,C
jenkife01,TSN All-Star,1967,NL,,Р
ottme01,Baseball Magazine All-Star,1938,NL,,CF
edwarbr01,Baseball Magazine All-Star,1947,NL,,C
jacksre01,TSN All-Star,1980,AL,,В ЛЮБОЙ ЧАСТИ
nettlgr01,ALCS MVP,1981,AL,,
benchjo01,Hutch Award,1981,ML,,
terrybi01,Baseball Magazine All-Star,1935,NL,,1B
musiast01,TSN Guide MVP,1943,NL,,
lonboji01,Cy Young Award,1967,AL,,
alomaro01,Gold Glove,2000,AL,,2B
kalinal01,TSN All-Star,1955,ML,,В ЛЮБОЙ ЧАСТИ
valvejo01,TSN All-Star,2007,NL,,РП
hornsro01,Baseball Magazine All-Star,1926,ML,,2B
eversjo01,Baseball Magazine All-Star,1912,NL,,2B
tiantlu01,Babe Ruth Award,1975,AL,,Р
wettejo01,World Series MVP,1996,ML,,
koufasa01,TSN Major League Player of the Year,1965,ML,,
carewro01,TSN All-Star,1975,AL,,2B
whitebi03,TSN All-Star,1964,NL,,1B
ordonma01,Silver Slugger,2000,AL,,В ЛЮБОЙ ЧАСТИ
peskyjo01,TSN All-Star,1946,ML,,СС
carewro01,TSN All-Star,1972,AL,,2B
oliveal01,TSN All-Star,1982,NL,,1B
eckstda01,Babe Ruth Award,2006,AL,,СС
mcdougi01,Lou Gehrig Memorial Award,1958,ML,,
clemero02,TSN Pitcher of the Year,1986,AL,,
hernake01,TSN All-Star,1986,NL,,1B
penato01,Gold Glove,1984,NL,,C
edmonji01,Gold Glove,1997,AL,,В ЛЮБОЙ ЧАСТИ
smithoz01,TSN All-Star,1982,NL,,СС
victosh01,Lou Gehrig Memorial Award,2008,ML,,
grovele01,Baseball Magazine All-Star,1931,AL,,С1
cobbty01,Baseball Magazine All-Star,1914,AL,,В ЛЮБОЙ ЧАСТИ
groatdi01,Most Valuable Player,1960,NL,,
hrbekke01,Lou Gehrig Memorial Award,1991,ML,,
bancrda01,Baseball Magazine All-Star,1923,ML,,СС
gehrich01,Baseball Magazine All-Star,1936,ML,,2B
loberha01,Baseball Magazine All-Star,1911,NL,,3B
rosepe01,Gold Glove,1969,NL,,В ЛЮБОЙ ЧАСТИ
daubeja01,Baseball Magazine All-Star,1912,ML,,1B
karroer01,Rookie of the Year,1992,NL,,
giustda01,TSN Fireman of the Year,1971,NL,,
robinja02,TSN All-Star,1949,ML,,2B
wilsoha01,Baseball Magazine All-Star,1927,NL,,CF
suttebr01,Babe Ruth Award,1982,NL,,РП
reesepe01,Baseball Magazine All-Star,1946,NL,,СС
wagneho01,Baseball Magazine All-Star,1911,ML,,СС
ramirma02,Silver Slugger,1995,AL,,В ЛЮБОЙ ЧАСТИ
gonzaad01,Gold Glove,2008,NL,,1B
gracema01,Gold Glove,1995,NL,,1B
bergewa01,Baseball Magazine All-Star,1933,ML,,CF
kellge01,Baseball Magazine All-Star,1950,AL,,3B
sislege01,Baseball Magazine All-Star,1918,AL,,1B
powervi01,Gold Glove,1962,AL,,1B
molitpa01,Lou Gehrig Memorial Award,1997,ML,,
robinfr02,World Series MVP,1966,ML,,
hartnga01,Baseball Magazine All-Star,1936,NL,,C
greenha01,Baseball Magazine All-Star,1940,ML,,LF
kaatji01,TSN All-Star,1966,AL,,Р
hansero02,Rookie of the Year,1960,AL,,
