yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
2004,НЛДС1,hernajo01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2011,НЛДС1,gloadro01,PHI,NL,3,2,0,1,0,0,0,0,0,0.0,0,1,,,,,
1921,WS,pippwa01,NYA,AL,8,26,1,4,1,0,0,2,1,1.0,2,3,0.0,0.0,3.0,0.0,0.0
2011,НЛДС2,fieldpr01,MIL,NL,5,18,2,5,2,0,1,3,0,0.0,2,5,,,,,
1979,NLCS,spilmha01,CIN,NL,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1887,WS,twitcla01,DTN,NL,6,20,5,5,1,0,1,3,1,,0,1,0.0,,,,
1990,NLCS,reynorj01,PIT,NL,6,10,0,2,0,0,0,0,1,0.0,2,2,0.0,0.0,0.0,0.0,0.0
1937,WS,wickeke01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1984,NLCS,gwynnto01,SDN,NL,5,19,6,7,3,0,0,3,0,0.0,1,2,1.0,0.0,0.0,1.0,0.0
1998,НЛДС2,verasqu01,SDN,NL,4,15,1,2,0,0,0,0,0,0.0,1,6,0.0,1.0,0.0,0.0,0.0
2000,ALCS,mclemma01,SEA,AL,5,16,2,4,3,0,0,2,0,0.0,2,1,0.0,0.0,1.0,0.0,0.0
1975,ALCS,tenacge01,OAK,AL,3,9,0,0,0,0,0,0,0,0.0,3,2,0.0,0.0,0.0,0.0,1.0
2004,НЛДС1,venafmi01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1981,WS,rodriau01,NYA,AL,4,12,1,5,0,0,0,0,0,0.0,1,2,1.0,0.0,0.0,0.0,0.0
2003,НЛДС2,wrighja02,ATL,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1969,WS,dalrycl01,BAL,AL,2,2,0,2,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1999,WS,hernaor01,NYA,AL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
1997,WS,nagych01,CLE,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1928,WS,duganjo01,NYA,AL,3,6,0,1,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0
1937,WS,dimagjo01,NYA,AL,5,22,2,6,0,0,1,4,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
2002,НЛДС1,derosma01,ATL,NL,4,7,2,3,1,1,0,3,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1919,WS,gandich01,CHA,AL,8,30,1,7,0,1,0,5,1,1.0,1,3,0.0,0.0,0.0,0.0,0.0
