driverstandingsid,raceid,driverid,points,position,positiontext,wins
22767,484,207,3.0,6,6,0
19824,400,140,26.0,5,5,0
51859,804,541,0.0,74,74,0
43336,836,776,0.0,50,50,0
51194,703,411,0.0,36,36,0
10738,211,49,10.0,4,4,1
64979,860,17,12.0,4,4,0
10253,243,79,0.0,15,15,0
1517,85,25,6.0,15,15,0
11311,187,35,0.0,22,22,0
9661,286,55,13.0,6,6,0
43484,838,789,0.0,58,58,0
20979,435,172,16.0,9,9,0
1460,83,23,32.0,6,6,0
52103,807,680,0.0,37,37,0
20496,422,160,0.0,16,16,0
56211,584,224,24.0,3,3,1
11234,184,14,30.0,5,5,1
49240,770,595,0.0,54,54,0
54546,650,289,7.0,10,10,0
3115,160,60,0.0,20,20,0
12797,107,46,0.0,25,25,0
20902,433,117,72.0,1,1,5
20098,409,118,0.0,27,27,0
44177,818,611,4.0,6,6,0
13782,43,20,1.0,17,17,0
66694,903,813,0.0,20,20,0
67891,961,826,23.0,14,14,0
67789,957,815,47.0,8,8,0
48621,735,465,0.0,33,33,0
67110,929,18,0.0,17,17,0
47267,781,592,0.0,56,56,0
20162,411,77,6.0,9,9,0
58482,512,178,0.0,9,9,0
46772,789,514,0.0,32,32,0
21416,448,189,0.0,28,28,0
49575,774,486,0.0,60,60,0
20088,409,119,1.0,13,13,0
43284,835,762,0.0,51,51,0
21476,449,172,5.0,14,14,0
48688,737,453,0.0,21,21,0
63642,727,436,0.0,29,29,0
50829,713,341,10.0,7,7,0
64687,852,817,0.0,27,27,0
49418,773,577,12.0,7,7,0
9516,281,87,6.0,8,8,0
64740,854,808,34.0,9,9,0
48618,735,438,0.0,24,24,0
7163,302,79,0.0,24,24,0
62433,763,513,0.0,28,28,0
63970,345,37,0.0,18,18,0
49125,769,547,0.0,26,26,0
11154,180,15,1.0,12,12,0
23157,493,218,0.0,38,38,0
52979,661,346,13.0,4,4,0
58237,555,269,0.0,46,46,0
51467,799,625,2.0,5,5,0
55762,601,317,0.0,41,41,0
17191,308,100,0.0,25,25,0
64532,848,4,87.0,5,5,0
18368,361,146,0.0,31,31,0
58820,524,199,20.0,7,7,0
12129,109,50,0.0,14,14,0
44367,821,592,0.0,26,26,0
51324,706,340,0.0,35,35,0
54103,625,290,0.0,18,18,0
21891,462,160,0.0,27,27,0
20785,429,181,0.0,27,27,0
64417,843,814,2.0,14,14,0
67148,931,807,6.0,13,13,0
250,30,6,8.0,15,15,0
55622,599,199,10.0,9,9,1
10279,244,93,0.0,19,19,0
52686,685,359,0.0,32,32,0
63805,339,808,0.0,23,23,0
11241,184,15,1.0,15,15,0
63427,721,376,0.0,18,18,0
57017,573,229,0.0,23,23,0
11803,126,11,0.0,16,16,0
58040,552,223,1.0,17,17,0
57851,547,237,0.0,28,28,0
46663,787,526,0.0,64,64,0
20548,424,112,0.0,19,19,0
50208,754,519,0.0,50,50,0
56081,580,243,0.0,16,16,0
18363,361,112,0.0,25,25,0
12622,100,15,46.0,4,4,1
20846,431,160,0.0,22,22,0
67261,936,822,77.0,4,4,0
63506,724,364,12.0,5,5,0
16015,325,95,7.0,8,8,0
10198,240,63,0.0,7,7,0
10978,221,14,30.0,5,5,2
51720,803,509,0.0,69,69,0
6965,295,79,0.0,23,23,0
17199,309,117,11.0,3,3,0
