resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
13431,550,187,34,7,2,5.0,5,5,2.0,72,+18.735,6435135.0,,,,,1
1974,112,8,1,6,20,,R,20,0.0,0,,,,,,,4
14197,577,290,56,30,21,13.0,13,13,0.0,39,,,,,,,11
6416,302,129,25,3,15,,R,22,0.0,27,,,,,,,6
12294,509,137,34,5,5,1.0,1,1,9.0,60,1:38:07.52,5887520.0,,,,,1
16640,680,341,11,7,3,,R,10,0.0,32,,,,,,,5
10494,445,188,53,20,0,,F,28,0.0,0,,,,,,,81
9105,392,166,25,4,14,,R,15,0.0,44,,,,,,,36
7327,330,123,3,5,1,1.0,1,1,9.0,77,1:49:30.597,6570597.0,,,,,1
1051,67,30,6,5,2,1.0,1,1,10.0,53,1:14:51.975,4491975.0,14.0,2.0,1:22.575,252.555,1
17765,734,465,97,27,19,,R,20,0.0,7,,,,,,,22
18934,786,594,113,34,31,,R,21,0.0,173,,,,,,,5
7874,356,95,6,27,6,1.0,1,1,9.0,61,1:38:58.744,5938744.0,,,,,1
18652,772,289,32,25,22,,R,17,0.0,4,,,,,,,108
1700,99,14,1,5,3,6.0,6,6,3.0,70,+35.520,5453653.0,11.0,10.0,1:16.303,208.112,1
19862,825,501,105,32,17,12.0,12,12,0.0,38,,,,,,,14
6595,308,88,26,30,20,,R,21,0.0,24,,,,,,,5
21535,872,819,206,25,20,16.0,16,16,0.0,52,,,44.0,20.0,1:29.753,232.357,11
4823,243,64,28,21,26,,R,25,0.0,17,,,,,,,6
15734,636,333,199,19,20,,R,17,0.0,31,,,,,,,5
11298,474,172,27,26,19,,R,20,0.0,8,,,,,,,69
5569,272,98,33,20,25,,R,15,0.0,56,,,,,,,6
20237,800,730,134,33,26,,R,31,0.0,101,,,,,,,23
13764,561,229,64,24,24,15.0,15,15,0.0,74,,,,,,,14
8279,366,119,3,6,5,,R,19,0.0,20,,,,,,,4
537,43,5,4,4,6,15.0,15,15,0.0,69,,,69.0,11.0,1:17.206,205.678,11
3866,200,74,18,23,19,,R,14,0.0,30,,,,,,,20
6635,309,120,39,18,0,,F,27,0.0,0,,,,,,,81
23246,962,154,210,8,20,,W,22,0.0,0,,,,0.0,,,54
9586,411,117,1,1,5,2.0,2,2,6.0,80,+17.128,5856400.0,,,,,1
15205,615,304,1,7,8,12.0,12,12,0.0,14,+3:38.7,6341700.0,,,,,1
9992,426,112,50,10,23,,R,21,0.0,8,,,,,,,69
11507,481,170,53,36,22,,R,23,0.0,2,,,,,,,5
12482,516,199,32,2,8,2.0,2,2,6.0,75,+20.94,5972780.0,,,,,1
20798,841,813,3,12,15,,R,20,0.0,9,,,7.0,18.0,1:34.102,202.873,7
17916,741,404,172,6,10,4.0,4,4,3.0,52,+1:10.3,8127800.0,,,,,1
6138,293,99,36,15,22,,R,22,0.0,24,,,,,,,5
19715,819,475,151,32,10,,R,22,0.0,0,,,,,,,5
7279,328,145,22,19,13,,R,23,0.0,15,,,,,,,4
23484,974,832,5,55,6,6.0,6,6,8.0,78,+12.038,6296378.0,39.0,14.0,1:16.649,156.730,1
9575,410,170,22,19,17,,R,17,0.0,38,,,,,,,6
19397,807,643,105,10,11,4.0,4,4,3.0,79,,,,,,,11
8860,383,156,25,3,0,,F,27,0.0,0,,,,,,,81
12995,534,212,32,25,21,12.0,12,12,0.0,68,,,,,,,12
12178,504,152,51,23,9,,R,20,0.0,8,,,,,,,64
3729,194,74,18,23,19,8.0,8,8,0.0,60,,,,,,,12
2859,154,37,19,19,10,,R,17,0.0,1,,,,,,,4
15506,627,314,63,15,12,14.0,14,14,0.0,13,,,,,,,11
5736,278,123,17,15,23,,R,24,0.0,12,,,,,,,22
109,23,1,1,22,3,1.0,1,1,10.0,76,2:00:42.742,7242742.0,71.0,6.0,1:18.510,153.152,1
15053,609,304,1,7,2,7.0,7,7,0.0,67,,,,,,,13
9722,416,157,21,17,16,8.0,8,8,0.0,49,,,,,,,12
17658,730,456,26,26,12,,R,11,0.0,44,,,,,,,22
7183,325,114,39,18,0,,F,32,0.0,0,,,,,,,97
6369,301,30,22,19,6,3.0,3,3,4.0,53,+24.373,4719722.0,,,,,1
7794,13,22,23,23,5,1.0,1,1,10.0,53,1:16:21.706,4581706.0,48.0,5.0,1:24.967,245.445,1
3670,191,74,18,23,17,,R,15,0.0,22,,,,,,,5
12646,522,202,25,3,10,7.0,7,7,0.0,53,,,,,,,11
11791,491,201,54,9,21,6.0,6,6,1.0,67,,,,,,,11
8138,362,161,48,39,0,,F,33,0.0,0,,,,,,,97
22814,940,829,209,28,18,19.0,19,19,0.0,50,,,44.0,19.0,1:41.452,206.060,13
16302,662,304,187,9,5,,R,7,0.0,11,,,,,,,7
3132,167,18,3,10,18,5.0,5,5,2.0,70,,,,,,,11
14910,603,324,63,19,22,10.0,10,10,0.0,78,,,,,,,12
8964,387,94,18,23,14,7.0,7,7,0.0,80,,,,,,,12
22696,934,1,131,44,1,1.0,1,1,25.0,52,1:31:27.729,5487729.0,29.0,1.0,1:37.093,218.425,1
18013,744,456,170,40,18,6.0,6,6,1.0,42,,,,,,,11
7715,9,20,9,15,4,2.0,2,2,8.0,60,+9.252,5812562.0,42.0,4.0,1:34.089,196.970,1
17403,719,356,172,3,16,9.0,9,9,0.0,77,,,,,,,6
19210,798,663,118,44,17,,R,20,0.0,0,,,,,,,98
13423,549,237,37,9,0,,F,28,0.0,0,,,,,,,81
6592,308,87,34,8,19,,R,18,0.0,41,,,,,,,20
7485,334,139,35,21,16,,R,25,0.0,0,,,,,,,37
15640,632,224,180,2,5,,R,14,0.0,58,,,,,,,5
14904,603,231,64,24,8,4.0,4,4,3.0,80,+15.669,6041805.0,,,,,1
21579,874,814,10,11,11,12.0,12,12,0.0,53,+83.460,5419702.0,48.0,10.0,1:37.535,214.335,1
11837,492,95,32,12,15,,R,22,0.0,12,,,,,,,95
9820,420,117,1,2,6,1.0,1,1,9.0,61,1:41:26.115,6086115.0,,,,,1
22209,903,813,208,13,22,14.0,14,14,0.0,53,,,34.0,15.0,1:43.067,190.396,11
128,23,7,5,14,16,,R,20,0.0,7,,,7.0,19.0,1:41.150,118.872,4
20770,355,807,3,10,15,16.0,16,16,0.0,55,+1:04.763,6041600.0,51.0,9.0,1:42.397,195.263,1
22143,900,824,206,17,18,,N,14,0.0,49,,,55.0,16.0,1:35.635,199.621,18
20015,832,633,6,4,5,,R,11,0.0,48,,,,,,,80
22294,907,18,1,22,11,11.0,11,11,0.0,71,+50.966,5325942.0,60.0,8.0,1:12.858,213.752,1
22398,912,822,3,77,3,4.0,4,4,12.0,53,+40.786,4791022.0,50.0,5.0,1:28.559,235.490,1
19958,829,747,105,15,15,,R,18,0.0,45,,,,,,,5
13720,559,200,1,2,8,,R,16,0.0,28,,,,,,,5
13231,542,178,3,27,5,9.0,9,9,0.0,70,+1:28.942,7158138.0,,,,,1
17361,717,433,172,17,17,5.0,5,5,2.0,107,,,,,,,13
11381,477,176,21,29,20,13.0,13,13,0.0,52,,,,,,,12
11716,488,177,56,20,0,,F,21,0.0,0,,,,,,,81
14066,572,239,63,18,24,14.0,14,14,0.0,50,,,,,,,12
2953,159,30,6,3,3,1.0,1,1,10.0,71,1:31:35.271,5495271.0,,,,,1
16984,699,373,172,5,1,1.0,1,1,9.0,85,2:06:46.0,7606000.0,,,,,1
7005,320,138,25,3,24,,R,26,0.0,4,,,,,,,20
15030,608,304,1,5,2,6.0,6,6,1.0,74,,,,,,,11
15916,644,359,37,16,14,5.0,5,5,2.0,88,,,,,,,12
22796,940,1,131,44,2,1.0,1,1,25.0,53,,,33.0,1.0,1:36.145,217.434,1
17519,724,440,176,20,16,5.0,5,5,2.0,14,,,,,,,11
1263,77,24,9,15,14,9.0,9,9,0.0,59,+1:11.529,5578177.0,43.0,13.0,1:31.971,201.506,1
8363,368,110,35,22,19,,R,25,0.0,17,,,,,,,10
13441,550,258,37,27,20,15.0,15,15,0.0,69,,,,,,,13
