raceid,driverid,lap,position,time,milliseconds
55,2,8,7,2:27.108,147108
192,49,17,3,1:21.547,81547
15,20,25,1,1:33.513,93513
956,3,55,1,1:13.459,73459
973,832,62,8,1:26.721,86721
869,17,55,8,1:20.358,80358
849,30,26,12,1:38.826,98826
882,819,1,21,1:57.049,117049
863,30,41,12,1:38.491,98491
174,48,8,14,1:44.174,104174
12,20,15,1,1:47.771,107771
78,11,3,8,1:18.199,78199
944,154,70,9,1:16.214,76214
874,30,38,11,1:37.747,97747
204,14,6,2,1:27.619,87619
354,10,16,20,1:24.404,84404
930,829,8,20,1:36.974,96974
888,823,44,17,1:38.827,98827
954,807,10,8,1:19.749,79749
223,30,25,3,1:26.757,86757
911,825,12,9,2:08.360,128360
224,57,30,6,2:06.391,126391
884,18,46,9,1:34.399,94399
226,85,50,11,1:35.773,95773
109,2,40,8,1:40.633,100633
75,35,32,13,1:41.966,101966
849,10,21,19,1:44.348,104348
201,23,14,4,1:51.299,111299
354,16,2,20,1:20.968,80968
917,1,39,2,1:14.788,74788
28,16,1,20,1:39.686,99686
223,14,65,2,1:25.683,85683
57,31,25,5,1:35.161,95161
69,8,4,9,1:36.225,96225
76,33,47,14,1:21.752,81752
114,21,1,11,1:34.391,94391
71,22,25,2,1:45.023,105023
865,819,8,16,1:22.232,82232
119,2,50,10,1:18.928,78928
178,30,65,1,1:23.498,83498
101,47,57,16,1:20.528,80528
978,840,50,16,1:35.408,95408
880,4,11,7,1:32.440,92440
965,20,21,6,1:43.810,103810
345,808,39,12,1:41.256,101256
104,31,23,3,1:23.481,83481
353,3,12,5,2:38.655,158655
956,817,27,4,1:40.395,100395
216,71,21,13,1:50.462,110462
190,69,25,17,1:46.206,106206
73,17,53,5,1:35.073,95073
152,44,36,7,1:44.200,104200
981,817,40,5,1:24.438,84438
223,50,2,19,1:28.496,88496
182,55,20,8,1:30.513,90513
121,30,28,1,1:23.230,83230
209,15,2,15,2:29.226,149226
981,826,42,11,1:27.630,87630
963,826,31,17,1:40.907,100907
60,33,33,16,1:28.198,88198
906,822,11,4,1:21.624,81624
135,23,23,2,1:16.880,76880
871,39,27,16,2:01.008,121008
348,16,9,12,1:28.433,88433
161,65,55,13,1:29.082,89082
954,807,58,8,1:17.392,77392
852,3,44,6,1:52.723,112723
185,41,28,12,1:24.271,84271
94,15,14,3,1:18.546,78546
53,23,25,14,1:34.112,94112
227,49,9,7,1:23.005,83005
161,35,14,7,1:29.365,89365
166,63,47,12,1:41.002,101002
70,23,5,8,2:07.042,127042
339,153,40,10,1:39.856,99856
