constructorresultsid,raceid,constructorid,points,status
1272,140,3,3.0,
12384,593,64,0.0,
14595,879,3,0.0,
11321,673,187,3.0,
67,24,7,8.0,
341,50,6,9.0,
3473,317,35,0.0,
12344,619,57,0.0,
15511,976,3,15.0,
4988,416,22,2.0,
1487,159,20,0.0,
13272,552,67,0.0,
2073,213,6,10.0,
2388,241,1,0.0,
999,114,1,10.0,
13145,543,27,0.0,
5076,422,51,0.0,
14317,856,15,0.0,
14256,851,3,0.0,
381,53,13,0.0,
111,28,11,0.0,
5683,463,27,0.0,
3985,356,37,4.0,
11371,677,194,0.0,
5621,459,53,0.0,
3370,312,3,10.0,
728,87,1,18.0,
14408,864,131,6.0,
12395,594,25,4.0,
4451,380,21,0.0,
4910,410,6,3.0,
12643,581,56,0.0,
14446,867,3,1.0,
13679,513,32,4.0,
13337,556,64,0.0,
4362,375,27,0.0,
14163,843,164,0.0,
15135,939,6,40.0,
5363,442,32,4.0,
11837,655,32,0.0,
11848,632,199,0.0,
62,23,4,0.0,
1733,182,3,4.0,
6322,503,3,9.0,
3333,309,42,0.0,
10353,732,172,0.0,
15064,931,131,40.0,
14159,843,3,0.0,
14648,884,3,0.0,
5075,422,25,0.0,
3657,327,46,0.0,
14863,904,207,0.0,
1816,189,16,0.0,
4751,398,45,0.0,
4752,398,34,0.0,
14128,75,7,11.0,
5220,432,21,0.0,
14044,349,1,25.0,
15282,954,15,0.0,
14458,868,10,0.0,
14197,846,205,0.0,
4576,387,22,2.0,
5032,419,49,0.0,
2921,282,18,0.0,
352,51,5,8.0,
3140,297,17,0.0,
2938,283,26,0.0,
1449,156,15,1.0,
4096,361,18,0.0,
4875,407,49,0.0,
3374,312,17,1.0,
5696,464,27,0.0,
11532,657,180,0.0,
14965,914,1,10.0,
14281,853,166,0.0,
10949,704,176,0.0,
5137,426,18,0.0,
2790,272,18,0.0,
12459,598,34,0.0,
15500,975,9,15.0,
9662,774,32,0.0,
