qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
34,19,14,9,9,12,1:36.058,1:35.408,
368,35,16,10,20,20,1:13.508,,
750,53,32,9,15,8,1:34.308,1:32.106,1:33.112
886,59,24,5,20,12,1:15.314,1:14.969,
1127,70,17,3,9,11,1:11.973,1:11.650,
1371,88,27,18,21,13,1:50.843,,
1494,156,56,19,18,14,1:13.189,,
1502,156,62,18,20,22,1:15.247,,
2035,224,77,22,4,7,1:34.344,,
2261,243,22,17,14,8,1:23.705,,
2359,247,55,6,27,6,1:29.874,,
2682,261,14,3,2,9,1:23.782,,
2844,267,110,15,29,15,2:25.695,,
3449,342,13,6,7,4,1:14.757,1:14.405,1:14.283
3600,348,18,1,1,11,1:21.422,1:21.292,
3620,349,22,3,9,7,1:55.757,1:47.797,1:46.602
3820,110,50,18,19,19,1:16.542,,
4047,122,30,6,1,7,1:12.194,,
4133,92,13,15,12,13,1:32.536,,
4222,97,18,16,9,2,1:12.341,,
4388,106,14,1,5,8,1:36.156,,
4595,843,808,4,10,10,1:35.370,1:35.149,
4845,854,817,164,22,23,1:52.404,,
5366,876,10,206,24,21,1:29.613,,
5400,878,13,6,6,7,1:37.667,1:36.549,1:36.937
5425,879,4,6,5,8,1:16.097,1:13.856,1:13.253
5947,853,816,166,25,22,1:27.609,,
5952,903,20,9,1,3,1:55.926,1:54.499,1:54.960
6049,907,18,1,22,12,1:10.252,1:09.780,
6070,908,154,208,8,11,1:43.121,1:38.496,
6088,909,4,6,14,7,1:18.389,1:17.866,1:17.649
7269,975,807,4,27,10,1:13.804,1:13.406,1:13.271
7273,975,154,210,8,14,1:13.780,1:13.839,
