driverstandingsid,raceid,driverid,points,position,positiontext,wins
31,20,5,14.0,5,5,0
84,22,22,0.0,17,17,0
9483,279,121,2.0,14,14,0
9549,282,65,9.0,8,8,0
9687,287,70,1.0,20,20,0
16310,332,152,0.0,38,38,0
21173,441,177,11.5,6,6,0
22361,475,158,10.0,8,8,0
50004,751,435,0.0,62,62,0
53955,621,304,15.0,1,1,1
56778,568,275,0.0,31,31,0
58051,552,253,0.0,20,20,0
58347,557,269,0.0,49,49,0
58810,523,232,0.0,31,31,0
59015,501,117,3.0,12,12,0
62550,764,568,0.0,65,65,0
63438,722,373,27.0,1,1,3
64614,851,67,12.0,13,13,0
65430,876,811,26.0,16,16,0
66664,902,818,4.0,13,13,0
66900,912,827,0.0,23,23,0
68092,948,807,6.0,7,7,0
68251,973,4,0.0,18,18,0
